PC,explained_variance,explained_percent,cumulative_percent
1,0.4007225388389865,40.072253883898654,40.072253883898654
2,0.25756875487382025,25.756875487382025,65.82912937128067
3,0.0754458145622295,7.54458145622295,73.37371082750363
4,0.06692189772006718,6.692189772006718,80.06590059951034
5,0.032848058924497055,3.2848058924497057,83.35070649196005
6,0.026582989815311032,2.6582989815311033,86.00900547349116
7,0.025479775619979928,2.547977561997993,88.55698303548914
8,0.022446008271276987,2.2446008271276985,90.80158386261684
9,0.020385368485306147,2.038536848530615,92.84012071114745
10,0.015726838811531953,1.5726838811531954,94.41280459230065
11,0.013444337377476504,1.3444337377476503,95.7572383300483
12,0.008663900295265032,0.8663900295265031,96.6236283595748
13,0.007701175064095064,0.7701175064095064,97.3937458659843
14,0.0062797025535077655,0.6279702553507766,98.02171612133507
15,0.004070856039014171,0.40708560390141707,98.4288017252365
16,0.003804615239860182,0.3804615239860182,98.80926324922251
17,0.0034202763084659536,0.3420276308465954,99.15129088006911
18,0.0027375611974221987,0.27375611974221986,99.42504699981133
19,0.0022319765191784156,0.22319765191784158,99.64824465172917
20,0.0016127236467062447,0.16127236467062447,99.8095170163998
21,0.0008854431650347223,0.08854431650347223,99.89806133290327
22,0.000761366577920804,0.0761366577920804,99.97419799069534
23,0.00015614962463789508,0.015614962463789508,99.98981295315915
24,8.138170916415818e-05,0.008138170916415818,99.99795112407556
25,2.048875924435613e-05,0.002048875924435613,99.99999999999999
26,7.902858618274624e-32,7.902858618274625e-30,99.99999999999999
27,2.6799183594803163e-33,2.6799183594803162e-31,99.99999999999999
