SampleId_1404,Region_1404,Group_1404,OriginalSampleName_1404,SampleId_1394,Region_1394,Group_1394,OriginalSampleName_1394,Distance,SameRegion
8,اصفهان,G2,04-21,13,اراک,G4,94-9,388.9735278648249,False
8,اصفهان,G2,04-21,20,خراسان شمالی,G5,94-13,2096.604763749363,False
8,اصفهان,G2,04-21,24,خراسان رضوی,G6,94-21,1277.048755580082,False
8,اصفهان,G2,04-21,25,خراسان رضوی,G6,94-22,611.0403535173241,False
8,اصفهان,G2,04-21,26,خراسان رضوی,G6,94-25,958.5505945473902,False
8,اصفهان,G2,04-21,27,خراسان رضوی,G6,94-26,670.9027209357777,False
8,اصفهان,G2,04-21,28,خراسان رضوی,G6,94-27,1419.1451788023246,False
8,اصفهان,G2,04-21,29,خراسان رضوی,G6,94-28,999.3235496511084,False
8,اصفهان,G2,04-21,34,فارس,G7,94-30,1243.5132098968247,False
8,اصفهان,G2,04-21,36,فارس,G7,94-32,1325.4306732403306,False
8,اصفهان,G2,04-21,37,قم,G8,94-33,417.85696228347723,False
8,اصفهان,G2,04-21,39,یزد,G9,94-35,1002.0715990984862,False
8,اصفهان,G2,04-21,40,یزد,G9,94-36,1287.5723709710326,False
11,زنجان,G3,04-13,1,سمنان,G1,94-1,1155.0711402948752,False
11,زنجان,G3,04-13,2,سمنان,G1,94-2,881.5999320652961,False
11,زنجان,G3,04-13,4,اصفهان,G2,94-5,1212.3355276736818,False
11,زنجان,G3,04-13,9,زنجان,G3,94-7,1198.075257125064,True
11,زنجان,G3,04-13,10,زنجان,G3,94-8,783.6545503421589,True
11,زنجان,G3,04-13,13,اراک,G4,94-9,1057.0668186473565,False
11,زنجان,G3,04-13,20,خراسان شمالی,G5,94-13,2073.982145673242,False
11,زنجان,G3,04-13,24,خراسان رضوی,G6,94-21,819.0784972643183,False
11,زنجان,G3,04-13,25,خراسان رضوی,G6,94-22,637.556917088529,False
11,زنجان,G3,04-13,26,خراسان رضوی,G6,94-25,729.108206035056,False
11,زنجان,G3,04-13,27,خراسان رضوی,G6,94-26,777.0429493876303,False
11,زنجان,G3,04-13,28,خراسان رضوی,G6,94-27,1165.3688857957443,False
11,زنجان,G3,04-13,29,خراسان رضوی,G6,94-28,1157.3198515692413,False
11,زنجان,G3,04-13,34,فارس,G7,94-30,725.7816265349676,False
11,زنجان,G3,04-13,36,فارس,G7,94-32,1592.393153585781,False
11,زنجان,G3,04-13,37,قم,G8,94-33,1069.833831633701,False
11,زنجان,G3,04-13,39,یزد,G9,94-35,724.5667461541843,False
11,زنجان,G3,04-13,40,یزد,G9,94-36,1421.2079255552849,False
12,زنجان,G3,04-22,1,سمنان,G1,94-1,810.7886815341908,False
12,زنجان,G3,04-22,2,سمنان,G1,94-2,718.7161963984855,False
12,زنجان,G3,04-22,4,اصفهان,G2,94-5,1133.9043508353784,False
12,زنجان,G3,04-22,9,زنجان,G3,94-7,1288.5266661430107,True
12,زنجان,G3,04-22,10,زنجان,G3,94-8,1457.1895830090127,True
12,زنجان,G3,04-22,13,اراک,G4,94-9,1169.2545360486536,False
12,زنجان,G3,04-22,20,خراسان شمالی,G5,94-13,1626.1816387274575,False
12,زنجان,G3,04-22,24,خراسان رضوی,G6,94-21,1046.6710094532843,False
12,زنجان,G3,04-22,25,خراسان رضوی,G6,94-22,880.9219879877098,False
12,زنجان,G3,04-22,26,خراسان رضوی,G6,94-25,1260.8419177646886,False
12,زنجان,G3,04-22,27,خراسان رضوی,G6,94-26,559.6350853978764,False
12,زنجان,G3,04-22,28,خراسان رضوی,G6,94-27,1340.9095878655387,False
