SampleId,group,RegionLabel,HarvestYear,OriginalSampleName,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
1,G1,سمنان,1394,94-1,-289.5176759540083,-219.68885939362266,-273.3771278543997,255.84411144501362,42.31922828895298,72.72990231912935,-333.6240465876988,-135.23530722197683
2,G1,سمنان,1394,94-2,-208.53784600740843,-31.007028260760716,67.90112200060194,335.07800853751655,266.4045598856598,-63.39669248442025,-27.035967303451848,-59.632090691433355
3,G1,سمنان,1404,04-10,1870.5692171131666,-276.93788312932185,-382.5316411325805,-155.78904137975002,309.5309312347659,71.778502742123,34.06694879506075,-28.04498336323412
4,G2,اصفهان,1394,94-5,87.93811814855647,-384.5248803318382,-162.6368611271769,147.99538597931874,-372.33923665905775,-379.9048113733008,60.62228090865197,311.4287983716164
5,G2,اصفهان,1404,04-27,-310.77272166493265,-367.47026827594465,-113.2608128014165,-307.4540146934492,119.71464577975668,-19.381590540283746,-28.928566063517927,38.986311305771245
6,G2,اصفهان,1404,04-19,-247.9699281407446,570.6154873527161,103.35740591140834,-232.98046215812207,-68.30785825874483,112.25281136029116,146.1585849199824,-159.12490373187092
7,G2,اصفهان,1404,04-20,-2241.0993264961958,-264.73816257814013,399.1868771453611,-74.48326080407931,77.08634298231179,196.01696883449156,205.81759586817014,-169.23182356557314
8,G2,اصفهان,1404,04-21,210.85196793667092,-228.68381278746557,172.67582870193075,147.79751450593886,-67.21392953396524,88.0284809761169,281.0336504382165,-46.834862429952786
9,G3,زنجان,1394,94-7,217.7568137678175,-591.1316404400059,150.42828763478752,409.40759499340885,-181.60949273252152,12.583048143732743,84.88300297591904,-5.908628327720635
10,G3,زنجان,1394,94-8,594.4514142163458,143.93657519973652,523.9692224832988,334.8740705188281,-96.54379531069829,330.5815396545036,-245.30749340932226,80.47037992668713
11,G3,زنجان,1404,04-13,172.61877898234997,332.3685808068371,450.1949410668597,-178.93721717211713,88.30084716110805,37.073378087502235,-149.2467125913742,121.43525586858907
12,G3,زنجان,1404,04-22,-640.4702738264887,157.7811300065048,124.39903599989741,-98.9510436885193,-14.808155476489384,-145.6595609488394,-140.52751491892462,3.9685807662630483
13,G4,اراک,1394,94-9,247.2201750778824,-356.9101807382131,95.64569986408334,317.343441667036,-171.43690033969258,-85.89609841165037,111.09506697613634,-216.73184938830983
14,G4,اراک,1404,04-4,1663.130379137508,126.3393740697665,320.1588856649884,-151.9849046209488,256.3305320935562,-269.9605259228013,30.824822083185325,-149.77439880679006
15,G4,اراک,1404,04-5,191.89546409817322,-234.8971561531824,32.45791390593516,-275.2353639872342,168.5183252368141,77.94894066910688,-52.170158820954086,71.32080397485198
16,G4,اراک,1404,04-6,-143.71611901196297,25.628769455311865,273.16667866776635,-147.88551849216842,245.8897433292302,50.94624591951388,-182.71776991496156,52.499383579255664
17,G4,اراک,1404,04-7,-895.6159408575937,-410.4153224843338,54.37858843359722,-157.21091651452613,-35.1133892666098,-195.5654513609935,26.282930646814638,12.149277279371425
18,G4,اراک,1404,04-14,-273.24010334906933,-369.68057505289266,-49.85759101472545,-303.51941404904716,-29.430567183128858,-65.92818964553526,-191.56491954672558,-43.46721870477661
19,G4,اراک,1404,04-15,-432.1059561130875,-141.6641355821685,-64.73903242433299,-343.23656764840905,-251.15429289383582,-330.6499747996291,-10.705454523762322,75.43639871642016
20,G5,خراسان شمالی,1394,94-13,-907.3958661438373,975.1623754526296,-949.338762937146,622.3638448781909,327.2893769046342,68.76369415925072,101.08436488259483,106.50133702246855
21,G5,خراسان شمالی,1404,04-3,1918.5576406515913,-489.1767618089282,-498.61270500496767,-80.89299816068706,61.69375035010415,41.701370957869564,49.78087014675066,7.318860149266416
22,G5,خراسان شمالی,1404,04-12,422.8818837224577,-446.6013776762486,-67.4210217062012,165.1227113419708,-32.306285822986396,53.17356991387028,127.38137624920017,-52.11523932450647
23,G5,خراسان شمالی,1404,04-23,137.00469928706335,1770.0659178969488,68.59534999056983,-271.48804553821975,-84.13539925815606,48.790835079177505,56.40969730058186,30.856388605545916
24,G6,خراسان رضوی,1394,94-21,-50.15053732842857,954.5798937250495,235.11672521518,-25.394880557636647,-228.04909403468744,13.759594448809642,-26.560887539047418,-99.0414570285225
25,G6,خراسان رضوی,1394,94-22,85.30217516774762,54.39396759571627,232.72609250214566,328.2273539758277,139.4437832607516,-2.707087571269802,-151.82685248532349,7.983050824763095
26,G6,خراسان رضوی,1394,94-25,372.05030936679424,323.18464710900497,632.6899381196671,401.76474238023303,84.32057220422747,-273.6976911581588,-116.6303882626995,-32.07038474187556
27,G6,خراسان رضوی,1394,94-26,-198.60043981542552,39.72800452373939,66.3813177746014,147.83676906866734,58.8585542009337,-245.33351012452962,14.31239829437953,-15.995863294340023
28,G6,خراسان رضوی,1394,94-27,135.35520474233448,1034.7022391534474,-405.86585799483896,-82.54121251191297,-55.59154997995857,93.10198904792979,152.21183151090136,40.38134818293311
29,G6,خراسان رضوی,1394,94-28,-344.29484303137605,73.7556220130097,-424.36127379041113,152.28901559281218,42.703540971860114,-277.9503069347545,-25.6675883178333,2.445100281051879
30,G6,خراسان رضوی,1404,04-1,-577.5293902575698,-433.32566734960574,573.9649118062686,82.3456865639415,-130.97228482216738,14.497589919170652,100.00317463319831,88.31777413711642
31,G6,خراسان رضوی,1404,04-11,1299.2762296741653,144.06967890426378,-48.520605561689955,-136.18442447602717,-91.4514900537171,-261.53379193343477,90.84045760678448,-112.2123357711855
32,G6,خراسان رضوی,1404,04-16,502.2004313168566,-506.33344644629005,-93.77819275395493,-216.1841069344558,-130.1290480862172,221.31056136067622,90.28895830988743,23.78844280115638
33,G6,خراسان رضوی,1404,04-18,11.144150863445976,-323.7961028648946,100.49899840620822,-126.98114045681618,106.56230637777487,274.32609921826133,65.81865413844102,-41.2777690575528
34,G7,فارس,1394,94-30,127.34297219827951,938.3359293730075,136.23585115371012,-33.52400879275744,-25.626464857475508,-46.13196624169922,-64.31867443040025,18.081501787687877
