number,name,class,mean,std,minimum,maximum,area
1,sunset yellow(127),pure_artificial_color,43.80974857156955,137.2953068572195,-7.29927,926.339,172.721212737925
2,orange 2,pure_artificial_color,47.60872013776064,108.75481869555942,-11.2892,625.822,196.37788376955
3,Amuranth,pure_artificial_color,3.2698964781510997,8.466168322916804,-0.0687542,71.6047,11.448909197227996
4,Azorubin,pure_artificial_color,50.49421557941474,117.12832108232791,-5.06911,705.972,181.20955521122102
5,Quinoline yellow,pure_artificial_color,5.412791425592688,7.052418839036887,0.624984,50.7099,18.947682181799998
6,Ponceau 4R (96),pure_artificial_color,14.680809120602685,32.531538543067576,-0.482071,222.061,51.40762294291504
7,Erythrosin,pure_artificial_color,8.905154937589263,35.21828159414518,-0.487494,635.465,31.182576468955013
8,Orange GG,pure_artificial_color,23.478998312101968,54.20977289729431,-0.422069,373.016,82.20638163293395
9,Tartarazin,pure_artificial_color,22.582793156255924,85.27550742469344,-0.664572,755.854,79.189600911425
10,saffron + sunset yellow(127),saffron_plus_artificial_color,5.820739683494545,6.687008270374968,-1.32394,40.477,20.855601171460602
11,saffron + orange GG,saffron_plus_artificial_color,5.129334482619252,5.471054793577966,-1.44943,26.2337,18.43253438016
12,saffron + Quinoline yellow,saffron_plus_artificial_color,0.44645816492430734,0.22016456746474722,0.0606606,1.65532,1.5627074281600004
13,saffron + orange 2,saffron_plus_artificial_color,4.449105094779491,7.55938356876901,-4.23698,28.2621,22.027412475073007
14,saffron + Ponceau 4R (96),saffron_plus_artificial_color,3.789357249168809,5.6824570335079,-2.92054,25.9562,15.549802016980012
15,saffron + Erythrosin,saffron_plus_artificial_color,4.869653147246501,4.466987002691314,-0.334683,19.7973,17.048559150800006
16,saffron + orange 2,saffron_plus_artificial_color,5.129334482619252,5.471054793577966,-1.44943,26.2337,18.43253438016
17,saffron,real_saffron,3.550717714081691,7.0490085102082976,-3.49213,31.9921,17.51919912391
18,650,unknown_adulterated_saffron,1.1956240652128247,5.792403048972932,-2.71647,36.5107,10.2007975509811
19,651,unknown_adulterated_saffron,3.17463893173379,1.4842946109448492,1.34182,10.7529,11.110347138800002
20,saffron + Quinoline yellow 10 %,saffron_plus_artificial_color,0.34179438536132534,0.27794743982937725,-0.154035,1.8095,1.2351418844701998
21,saffron 2,real_saffron,0.7152904982511569,0.9260365210524959,-0.213966,4.27633,2.6451668015973997
22,445,artificial_color_adulterated_saffron,1.296562425346187,2.6799206753394236,-0.998831,12.1842,6.365754044606001
23,372,artificial_color_adulterated_saffron,3.386797606754927,4.343388409866834,-0.320739,20.614,11.9759615449095
24,544,artificial_saffron,3.286611386576692,4.4830255501415435,-0.703684,20.9677,12.16467157387513
25,647,small_amount_artificial_color,3.956915616109683,3.7029111647840565,0.369326,17.4172,13.848996475330003
26,648,small_amount_artificial_color,0.5335582849243072,1.5372953709052344,-1.32059,6.2394,4.310299556565001
27,646,small_amount_artificial_color,1.661599248631248,1.9951661706647457,-0.466865,9.20565,6.181359247584001
