ppm,mean_class_1,mean_class_2,absolute_mean_difference,standardized_effect
8.39494,4.61895,0.7263830217391304,3.8925669782608696,1.2407160659169378
8.39394,4.663995,0.8651412173913041,3.798853782608696,1.2206247328784086
8.39594,4.607655,0.7050425652173912,3.902612434782609,1.1986669235811063
8.39294,4.504284999999999,0.8989870434782609,3.6052979565217385,1.1445509863098988
8.39194,4.322035,0.9104313478260869,3.4116036521739126,1.0900501152628048
8.39694,3.972475,0.764044,3.208431,1.014960845278852
8.39094,3.9709700000000003,1.0103316521739132,2.9606383478260874,0.9588217967385262
5.56496,15.17831,7.62738970869565,7.55092029130435,0.9367736006816682
5.56396,15.396329999999999,7.683339899999999,7.7129901,0.9367038705515157
5.56796,14.565930000000002,7.442647652173912,7.123282347826089,0.9349285305859156
5.55996,15.710105,7.893429304347828,7.816675695652172,0.9297036435334725
5.56696,14.569795,7.520595782608695,7.049199217391304,0.9230265054756612
5.56896,14.417065000000001,7.429610826086957,6.987454173913044,0.9222116466372259
5.56296,15.350655,7.7425620434782605,7.608092956521739,0.9210328851952337
5.57196,13.85585,7.255505582608697,6.6003444173913035,0.9102917811677144
5.56596,14.740915000000001,7.650160652173912,7.090754347826089,0.9100057603479644
5.56096,15.405460000000001,7.837031100000002,7.5684289,0.9090738869180562
5.56196,15.281884999999999,7.789312434782609,7.49257256521739,0.9054207995576078
5.57096,13.85537,7.367312608695653,6.4880573913043476,0.8912826426920514
5.57296,13.519775,7.167272260869564,6.352502739130435,0.8874548685559704
8.39794,3.5985300000000002,0.8014082608695653,2.797121739130435,0.885225109647927
5.55696,15.726469999999999,8.14036436521739,7.586105634782609,0.8845263259176089
5.56996,13.95424,7.412155999999999,6.542084000000002,0.8836089803409888
5.55496,15.9554,8.251906352173915,7.703493647826084,0.8803754490543176
5.55596,15.807279999999999,8.215519782608697,7.591760217391302,0.879357915231448
5.57396,13.322745000000001,7.098314173913043,6.224430826086958,0.8765708490747594
5.55896,15.379114999999999,7.9969367652173915,7.382178234782607,0.8731808012181052
5.55796,15.4026,8.062607491304348,7.3399925086956515,0.866520909592061
5.55396,15.79746,8.280246021739131,7.517213978260868,0.8518146100015137
5.57496,12.88175,7.057401782608696,5.824348217391305,0.8357534693027276
5.57596,12.57007,6.859110269565218,5.710959730434781,0.8322116019347571
5.54896,16.328219999999998,8.68217352173913,7.6460464782608675,0.8279829656464103
5.55296,15.745775,8.418715782608697,7.327059217391303,0.826172262389794
5.54996,16.164625,8.620254304347828,7.544370695652173,0.8252715348880467
5.55196,15.935929999999999,8.516451983913043,7.419478016086956,0.823826565120405
5.55096,16.029525,8.598104391304346,7.431420608695653,0.819575965128478
5.57696,12.079625,6.683005108695652,5.396619891304348,0.8048034112584599
5.54796,16.16922,8.739446886956523,7.429773113043476,0.796843366454978
5.54696,16.245565,8.828763869565218,7.416801130434781,0.7877260103984277
6.37895,17.55507,8.880359382608697,8.674710617391304,0.7774841614828941
5.57896,11.720675,6.695959365217392,5.024715634782608,0.7728971606421356
6.37795,17.747519999999998,9.0103261,8.737193899999998,0.7722900813375102
6.38195,17.06401,8.644940304347825,8.419069695652174,0.771658199113126
8.38994,3.44446,1.0733837391304346,2.3710762608695655,0.7713221030031628
6.38395,16.964335,8.537344586956522,8.426990413043477,0.770187455753823
5.54596,16.09123,8.889097739130435,7.202132260869565,0.7700682730757751
6.37995,17.36264,8.82335827826087,8.53928172173913,0.7687347447707462
6.38295,16.946145,8.552909113043478,8.393235886956523,0.7686449619711074
6.38795,17.04564,8.564916434782608,8.48072356521739,0.7684166247890204
6.38595,16.971944999999998,8.56222735652174,8.409717643478258,0.7666050331251417
