ppm,reference_mean,target_mean,mean_difference,standardized_effect,absolute_effect
6.15696,0.6303268771502264,1.1857551731399005,0.5554282959896741,21524.86432536571,21524.86432536571
8.05694,-0.7642964143702784,1.7085590532159403,2.4728554675862187,13727.373795428346,13727.373795428346
7.79094,-0.6429904468429504,0.11810367693556176,0.7610941237785122,11216.734498925547,11216.734498925547
8.65594,-0.8376027370409731,-1.2188179735322724,-0.3812152364912993,-7773.201086298399,7773.201086298399
8.54894,-0.9072162799006779,-1.3808797289046242,-0.4736634490039463,-5847.041870631872,5847.041870631872
8.43694,-0.8486717339435219,-1.2792792248045133,-0.43060749086099137,-4441.14966250148,4441.14966250148
6.75895,-0.24883452092410607,-0.5825827554329215,-0.3337482345088154,-4217.131882810353,4217.131882810353
6.10696,0.812396571667158,1.15308352843767,0.340686956770512,3699.3617241633165,3699.3617241633165
8.08394,-0.7768654237208441,1.4582275515380971,2.235092975258941,3483.2170648050505,3483.2170648050505
7.74094,-0.8077659953717654,0.34520776553140986,1.1529737609031754,3133.235645740357,3133.235645740357
8.22794,-0.8501005030922091,-1.28808088889432,-0.43798038580211096,-3070.3504069594687,3070.3504069594687
8.07294,-0.8180056577018111,1.9159867598190015,2.7339924175208123,3004.5471339518067,3004.5471339518067
8.15694,-0.7535879420345074,-0.16896138849184367,0.5846265535426638,2928.506027679899,2928.506027679899
7.64694,-0.7177646456087281,0.8859035175493275,1.6036681631580556,2905.9343983597205,2905.9343983597205
7.78094,-0.6452962085661815,-0.3111717287787134,0.3341244797874681,2811.408706225842,2811.408706225842
7.74394,-0.7211771941532639,0.39543308873845057,1.1166102828917144,2794.319133590365,2794.319133590365
8.94494,-0.9318328990369215,-1.5390794231597413,-0.6072465241228199,-2643.830024553446,2643.830024553446
6.87495,-0.061211977810355825,-0.335510862840005,-0.27429888502964916,-2476.926500416087,2476.926500416087
7.69694,-0.6963917221720666,5.093717054950315,5.790108777122382,2433.763989821566,2433.763989821566
