number,name,class,artificial_color,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1,sunset yellow(127),pure_artificial_color,True,43.1282375052882,24.075589608568546,-30.141766576752364,-25.85133922047097,-7.477451169897422,-5.281446129349381,-13.819996317612064,31.18692474741924,-23.73919581902052,-8.496765676446083
2,orange 2,pure_artificial_color,True,8.936504682256365,43.02759787434242,14.018578434108889,-16.257266207343253,6.450405433417339,50.26511647284847,11.189231909455986,-6.8311423340986135,-12.534348984456296,11.507614455180356
3,Amuranth,pure_artificial_color,True,52.42783108987547,-19.67787801267024,14.443353920840307,3.349263543938979,-4.883517820189608,8.562374576151107,-15.921610649740547,0.6922198495132819,7.963618073950357,-27.439025191396166
4,Azorubin,pure_artificial_color,True,52.34338494116063,-9.84713944892552,20.323467106754926,30.921188758829874,36.77804286622191,-6.327981517186749,12.92844316174715,25.111636216474697,-7.6424580848413886,12.415311584395276
5,Quinoline yellow,pure_artificial_color,True,58.33113276848267,-30.46032603360246,14.674702384091814,-7.154074978735082,-2.012522929842138,12.09077183846391,-0.8574338307288178,3.6335316283082957,26.644452386233215,3.0126688565968616
6,Ponceau 4R (96),pure_artificial_color,True,56.801840088489634,6.7487144326188915,-12.033179342152897,44.26472248166132,-13.441325997795781,-3.3270126209657276,-7.999661565016029,-29.520384094863893,-22.041365510317938,-0.06265257969258575
7,Erythrosin,pure_artificial_color,True,51.46412949613616,11.674748026886263,-6.854667036808989,-5.904309528162456,-2.8900708563727835,6.004781836385836,-6.525914442543366,-1.5231365476033922,5.801949033248079,-3.142145290917225
8,Orange GG,pure_artificial_color,True,39.89712558188746,20.965058065798925,-2.8588403567123857,-25.454951487459184,14.900778587457019,-21.435864676391038,37.983664995502735,-21.726495292961314,3.6987484456847097,-16.180896650700458
9,Tartarazin,pure_artificial_color,True,49.88062494657277,3.6797184124116455,-16.29206424458625,-7.516393671760234,-10.064904331524387,1.692851559654185,-13.513774686887407,-6.556333203602568,19.624923953383423,20.316976542175986
10,saffron + sunset yellow(127),saffron_plus_artificial_color,True,-9.329205997422925,-19.78143934501049,-19.721145659193816,-1.271976736924403,-17.850205359234923,-3.497558834314629,15.887443459741792,2.190866663735717,-6.796626188264397,7.940673025878892
11,saffron + orange GG,saffron_plus_artificial_color,True,-23.155262465170058,-6.731637839630912,-19.492134908302106,18.099580096159613,-13.513614152362692,8.102161488997266,20.0721931029317,9.621413600629852,7.617391391643431,-2.028297067851498
12,saffron + Quinoline yellow,saffron_plus_artificial_color,True,-12.482797865120359,-54.444675135941495,17.32143603487968,-17.03897310035716,-11.992458208675354,2.4470669754744487,2.8954974880331976,-5.893399237151013,-18.717941461651343,2.881328397860412
13,saffron + orange 2,saffron_plus_artificial_color,True,-41.43475526637139,-10.852820341395338,-16.403365375312177,2.29816112613761,42.082664136952864,8.36696008709717,-15.96323652489253,-11.950866379237501,-2.770757389020891,-6.069106732922076
14,saffron + Ponceau 4R (96),saffron_plus_artificial_color,True,-33.30604168424346,-0.4979675535122179,-21.07246543060089,9.096893307039647,11.976588784901107,11.727660672740095,-5.838885486850843,3.57626954432335,7.360589958680401,-12.876186669533835
15,saffron + Erythrosin,saffron_plus_artificial_color,True,-33.77042606836334,5.595931575186013,-4.251155361077056,5.653239945488278,1.9456933420175861,1.596652700373264,3.182231694492079,5.554267309577579,4.461640986924588,-6.292573713136322
16,saffron + orange 2,saffron_plus_artificial_color,True,-23.155262465170058,-6.731637839630912,-19.492134908302106,18.099580096159613,-13.513614152362695,8.102161488997265,20.0721931029317,9.621413600629852,7.617391391643441,-2.0282970678514993
17,saffron,real_saffron,False,-24.23297734536408,14.811869045169473,10.673264273444081,4.627646126877292,-2.8760234983131783,-5.080058932829552,-4.090201634232192,1.9854229259054266,4.658418147765723,-2.0093120342244615
18,650,unknown_adulterated_saffron,False,27.74811226821993,-7.658015070741003,6.108801685501813,-8.313991180530058,8.68037613586496,-23.67530512643063,-1.4399773366154998,3.6030887441242587,-3.219586650261017,8.53770091424688
19,651,unknown_adulterated_saffron,False,-23.738364552663175,-15.651925906750398,-32.2732476579434,-14.436095031766381,13.481805667982394,-9.888696410273122,-8.788525295117724,-10.754703123105886,5.271674474208896,16.291376112206624
20,saffron + Quinoline yellow 10 %,saffron_plus_artificial_color,True,-25.788479266102673,-51.33082266055343,11.735469921729099,-12.661271869749484,-2.169187129358756,7.9843486335378016,1.1130864191386505,-2.58427317411619,-13.12684200194473,-3.3125249810481856
21,saffron 2,real_saffron,False,-25.250773931762957,19.60352909256222,17.332285843638008,0.19236218593534615,-7.529291535530333,-9.582991058959367,-2.4769409172379713,2.7170422022000253,3.0501897033611303,1.6849662582682692
22,445,artificial_color_adulterated_saffron,True,-18.423799232868422,18.3939900835752,19.705216855948194,0.635651938975993,-11.592991657893746,-9.778061161467953,-4.875403320843328,-1.3287212298562463,-0.1521259598470639,2.8817434995501925
23,372,artificial_color_adulterated_saffron,True,-19.705917191848133,15.706909177512106,15.11724223567386,3.7305285706173565,-6.280459287355392,-6.287470224017354,-5.884498483944478,-1.3308559559953892,1.6693677202878434,-0.036895634962631346
24,544,artificial_saffron,True,-24.693059059379923,15.723297585905978,13.037004224938558,1.9017130837565381,-3.5664550232310885,-5.519076356501243,-6.880076808317133,-1.7431016945291191,1.865091181960777,-0.36374351642488223
25,647,small_amount_artificial_color,True,-27.560479715652296,10.474241330237268,8.854896086169568,4.173761997538296,-2.7005070802424527,-3.9266563652530126,-4.107198950531637,0.19456827007267619,0.658104872358152,0.21648962355588972
26,648,small_amount_artificial_color,True,-40.50842013064568,10.148484056951844,6.71278777577419,-2.2134059259863013,0.6700007178955854,-4.299547674196314,-1.5893827431121923,2.713425085093275,2.69914399315552,0.6292734123917473
27,646,small_amount_artificial_color,True,-34.422901130220346,13.03660682063771,10.827660074251405,-2.9702443198707615,-2.611755482528036,-9.03518124258478,-4.751266339751187,-0.6586781208864078,0.07855233513590261,2.022300124800524
