Model,PLSComponents,Preprocessing,PreprocessingCode,Modality,Split,Repeat,Fold,Accuracy,BalancedAccuracy,MacroF1
PLS-DA,4,Raw,raw,250 nm,17,9,1,0.14285714285714285,0.06818181818181818,0.03409090909090909
PLS-DA,4,Raw,raw,250 nm,18,9,2,0.05263157894736842,0.025,0.0106951871657754
PLS-DA,4,Raw,raw,250 nm,19,10,1,0.19047619047619047,0.1590909090909091,0.06168831168831169
PLS-DA,4,Raw,raw,250 nm,20,10,2,0.21052631578947367,0.125,0.06333333333333332
PLS-DA,4,Raw,raw,250 nm,21,11,1,0.25,0.19696969696969696,0.13403263403263405
PLS-DA,4,Raw,raw,250 nm,22,11,2,0.25,0.125,0.07464114832535886
PLS-DA,4,Raw,raw,250 nm,23,12,1,0.19047619047619047,0.09090909090909091,0.06439393939393939
PLS-DA,4,Raw,raw,250 nm,24,12,2,0.2631578947368421,0.15,0.08225108225108224
PLS-DA,4,Raw,raw,250 nm,25,13,1,0.2,0.11363636363636363,0.06363636363636363
PLS-DA,4,Raw,raw,250 nm,26,13,2,0.15,0.075,0.03896103896103896
PLS-DA,4,Raw,raw,250 nm,27,14,1,0.19047619047619047,0.11363636363636363,0.0606060606060606
PLS-DA,4,Raw,raw,250 nm,28,14,2,0.10526315789473684,0.125,0.061764705882352944
PLS-DA,4,Raw,raw,250 nm,29,15,1,0.19047619047619047,0.18181818181818182,0.0926916221033868
PLS-DA,4,Raw,raw,250 nm,30,15,2,0.15789473684210525,0.075,0.03208556149732621
PLS-DA,4,Raw,raw,250 nm,31,16,1,0.19047619047619047,0.17424242424242423,0.081002331002331
PLS-DA,4,Raw,raw,250 nm,32,16,2,0.2631578947368421,0.125,0.07333333333333333
PLS-DA,4,Raw,raw,250 nm,33,17,1,0.2,0.17424242424242423,0.08333333333333331
PLS-DA,4,Raw,raw,250 nm,34,17,2,0.25,0.125,0.06857142857142857
PLS-DA,4,Raw,raw,250 nm,35,18,1,0.15,0.1515151515151515,0.07342657342657342
PLS-DA,4,Raw,raw,250 nm,36,18,2,0.1,0.075,0.03398692810457517
PLS-DA,4,Raw,raw,250 nm,37,19,1,0.25,0.19696969696969696,0.12494172494172494
PLS-DA,4,Raw,raw,250 nm,38,19,2,0.3,0.15,0.08831168831168831
PLS-DA,4,Raw,raw,250 nm,39,20,1,0.15,0.09090909090909091,0.028708133971291863
PLS-DA,4,Raw,raw,250 nm,40,20,2,0.05,0.025,0.011363636363636364
PLS-DA,4,Raw,raw,308 nm,1,1,1,0.25,0.22727272727272727,0.1515151515151515
PLS-DA,4,Raw,raw,308 nm,2,1,2,0.25,0.225,0.16607142857142856
PLS-DA,4,Raw,raw,308 nm,3,2,1,0.23809523809523808,0.20454545454545456,0.09696969696969697
PLS-DA,4,Raw,raw,308 nm,4,2,2,0.2631578947368421,0.125,0.08444444444444445
PLS-DA,4,Raw,raw,308 nm,5,3,1,0.15,0.1590909090909091,0.11095571095571097
PLS-DA,4,Raw,raw,308 nm,6,3,2,0.2,0.175,0.1212121212121212
PLS-DA,4,Raw,raw,308 nm,7,4,1,0.25,0.20454545454545456,0.11212121212121212
PLS-DA,4,Raw,raw,308 nm,8,4,2,0.25,0.2,0.11818181818181818
PLS-DA,4,Raw,raw,308 nm,9,5,1,0.2,0.20454545454545456,0.13216783216783218
PLS-DA,4,Raw,raw,308 nm,10,5,2,0.35,0.275,0.2424242424242424
PLS-DA,4,Raw,raw,308 nm,11,6,1,0.15,0.10606060606060605,0.08333333333333333
PLS-DA,4,Raw,raw,308 nm,12,6,2,0.15,0.15,0.065
PLS-DA,4,Raw,raw,308 nm,13,7,1,0.15,0.18181818181818182,0.0818181818181818
PLS-DA,4,Raw,raw,308 nm,14,7,2,0.15,0.075,0.028708133971291863
