SampleId,ActualClass,Modality,SilhouetteCorrelation,SilhouetteEuclidean,CorrelationStructure,EuclideanStructure
32,خراسان رضوی,308 nm,-0.6180147489546561,-0.34328542752422153,OutsideOwnCluster,OutsideOwnCluster
15,اراک,308 nm,-0.616352611895413,-0.25049429664458817,OutsideOwnCluster,OutsideOwnCluster
12,زنجان,308 nm,-0.6151950354661715,-0.37733109508833085,OutsideOwnCluster,OutsideOwnCluster
13,اراک,308 nm,-0.5736832105243354,-0.34904698416148533,OutsideOwnCluster,OutsideOwnCluster
4,اصفهان,308 nm,-0.5724571585391293,-0.35867781937644366,OutsideOwnCluster,OutsideOwnCluster
38,قم,308 nm,-0.540202317235019,-0.32220962923401436,OutsideOwnCluster,OutsideOwnCluster
8,اصفهان,308 nm,-0.49883688095817136,-0.24634604553032333,OutsideOwnCluster,OutsideOwnCluster
14,اراک,308 nm,-0.4870763095728466,-0.2135030831605136,OutsideOwnCluster,OutsideOwnCluster
20,خراسان شمالی,308 nm,-0.4829828804183236,-0.2809380115525638,OutsideOwnCluster,OutsideOwnCluster
18,اراک,308 nm,-0.34451901048265743,-0.2547528314011315,OutsideOwnCluster,OutsideOwnCluster
10,زنجان,308 nm,-0.20111237859259165,-0.08296552551292838,OutsideOwnCluster,OutsideOwnCluster
26,خراسان رضوی,308 nm,-0.15298082659440557,-0.07887766431321837,OutsideOwnCluster,OutsideOwnCluster
24,خراسان رضوی,308 nm,-0.0956913320543993,-0.052374572158614026,OutsideOwnCluster,OutsideOwnCluster
23,خراسان شمالی,440 nm,-0.990950757175759,-0.9037981084208933,OutsideOwnCluster,OutsideOwnCluster
27,خراسان رضوی,440 nm,-0.982558263147826,-0.8515286190467842,OutsideOwnCluster,OutsideOwnCluster
20,خراسان شمالی,440 nm,-0.9706884897005601,-0.8339937617809237,OutsideOwnCluster,OutsideOwnCluster
37,قم,440 nm,-0.9706397395189093,-0.8333017832215508,OutsideOwnCluster,OutsideOwnCluster
4,اصفهان,440 nm,-0.9693931944709806,-0.8283704894417929,OutsideOwnCluster,OutsideOwnCluster
13,اراک,440 nm,-0.9660860422304861,-0.8211707066424833,OutsideOwnCluster,OutsideOwnCluster
28,خراسان رضوی,440 nm,-0.959751047311391,-0.7745091212089399,OutsideOwnCluster,OutsideOwnCluster
5,اصفهان,440 nm,-0.9556676694162701,-0.7195923658564222,OutsideOwnCluster,OutsideOwnCluster
30,خراسان رضوی,440 nm,-0.9552599447436171,-0.7576915686310535,OutsideOwnCluster,OutsideOwnCluster
33,خراسان رضوی,440 nm,-0.9326330631722015,-0.7039875415765422,OutsideOwnCluster,OutsideOwnCluster
11,زنجان,440 nm,-0.9308832820145728,-0.7507716624305688,OutsideOwnCluster,OutsideOwnCluster
19,اراک,440 nm,-0.9262447769542563,-0.7157464175011637,OutsideOwnCluster,OutsideOwnCluster
