SampleId,HPLCNumber,Group,Region,HarvestYear,Min,Median,Mean,Std,Max,PeakTimeMin,AUC,NegativePoints,MissingPoints
1,1,G1,سمنان,1394,-26114.75,681.625,7167.698333333334,39949.09044279092,505608.25,13.2,215072.92823250248,680,0
3,04-10,G1,سمنان,1404,-3.115833e-05,0.0011637955,0.005936623660140333,0.022290858485207562,0.2758108,17.91667,0.17809305418581522,93,0
4,3,G2,اصفهان,1394,-25428.0,506.0,11181.294444444444,65218.06602205124,813967.3333333334,13.15,335481.06915650336,727,0
5,04-27,G2,اصفهان,1404,-1.573563e-05,0.0008093118999999999,0.005997722837920612,0.028097328726490862,0.4592593,14.33333,0.17993042353320837,26,0
6,04-19,G2,اصفهان,1404,-2.550334e-05,0.0009565428,0.0055608052658911115,0.028344720442599086,0.4886017,14.36667,0.16682237960701232,108,0
7,04-20,G2,اصفهان,1404,-1.759082e-05,0.0011280105,0.005328210176250388,0.025060170737709844,0.4327624,14.33333,0.15984426196474086,62,0
8,04-21,G2,اصفهان,1404,-1.563132e-05,0.00048600135,0.006387000891898333,0.042893402353459426,0.7670046,14.33333,0.19160923729361332,65,0
9,5,G3,زنجان,1394,-29603.666666666668,137.16666666666666,8070.650925925926,60102.98873494376,872195.0,13.13333,242162.55600523832,771,0
10,6,G3,زنجان,1394,-20219.0,928.8333333333334,9361.201296296296,51612.05910984308,679588.6666666666,13.11667,280878.48446557997,696,0
11,04-13,G3,زنجان,1404,-1.803041e-05,0.00090262295,0.005177389454935309,0.021541362682521815,0.268072,14.33333,0.15531997291067545,66,0
12,04-22,G3,زنجان,1404,-1.644343e-05,0.00070811065,0.005902051577525166,0.03380460299749859,0.5977504,14.41667,0.1770601855640172,89,0
13,7,G4,اراک,1394,-14053.333333333334,1422.6666666666665,11594.993333333334,55776.161041237894,714902.6666666666,13.13333,347893.7995999733,617,0
14,04-4,G4,اراک,1404,-0.000134185,0.0007558316,0.005672010378728722,0.024613954211892067,0.3106337,17.93333,0.17015734130345717,274,0
