Wavelength,ActualClass,AUC_mean,AUC_median,AUC_std,AbsAUC_mean,AbsAUC_median,AbsAUC_std,MaxIntensity_mean,MaxIntensity_median,MaxIntensity_std,MinIntensity_mean,MinIntensity_median,MinIntensity_std,MeanIntensity_mean,MeanIntensity_median,MeanIntensity_std,MedianIntensity_mean,MedianIntensity_median,MedianIntensity_std,StdIntensity_mean,StdIntensity_median,StdIntensity_std,RangeIntensity_mean,RangeIntensity_median,RangeIntensity_std,P95Intensity_mean,P95Intensity_median,P95Intensity_std,P05Intensity_mean,P05Intensity_median,P05Intensity_std
250,G1,107536.55316277833,107536.55316277833,152079.40007204388,159647.62881213584,159647.62881213584,225775.5899501107,252804.2629054,252804.2629054,357518.8271711762,-13057.375015579166,-13057.375015579166,18465.916791959127,3583.852134978497,3583.852134978497,5068.323899172668,340.81308189775,340.81308189775,481.9808367985905,19974.5563668247,19974.5563668247,28248.256992314964,265861.6379209792,265861.6379209792,375984.7439631353,14663.127960592998,14663.127960592998,20736.76837719168,-2785.7750001057984,-2785.7750001057984,3939.6807865702876
250,G10,0.17640263813333135,0.17640263813333135,0.015518917576703808,0.17642010626712834,0.17642010626712834,0.015499322102319942,0.4752692,0.4752692,0.10293310987325699,-1.9311905e-05,-1.9311905e-05,7.312481138030375e-06,0.005880124929420912,0.005880124929420912,0.0005173049916319155,0.0007599592249999999,0.0007599592249999999,6.163973555289836e-05,0.02931466446549538,0.02931466446549538,0.00590954754235373,0.475288511905,0.475288511905,0.10292579739211895,0.016872779249999994,0.016872779249999994,0.0007327970312072224,6.198883499999999e-06,6.198883499999999e-06,1.371879998622272e-05
250,G11,0.15471657320071,0.15471657320071,0.004377484939233617,0.15472052970740663,0.15472052970740663,0.0043800717002694094,0.3929766,0.3929766,0.053851413977536344,-1.0270626e-05,-1.0270626e-05,4.694105739489898e-06,0.005157248136483722,0.005157248136483722,0.00014591123485296263,0.0007472448,0.0007472448,8.317152594875844e-05,0.023972819474047873,0.023972819474047873,0.0026461778873017026,0.392986870626,0.392986870626,0.05385610808327582,0.015155892249999997,0.015155892249999997,1.2976470094942134e-05,8.2068145e-06,8.2068145e-06,1.1537698714061226e-06
250,G2,67096.35347256115,0.17993042353320837,150031.61709781268,89059.60504370957,0.17993505679929017,199142.94058275182,162793.89619226666,0.4886017,364017.0176474276,-5085.600014892222,-1.759082e-05,11371.747298047925,2236.263543636723,0.005997722837920612,5000.424288760577,101.20067597331,0.0009565428,226.2897014425337,13043.6380835347,0.028344720442599086,29166.391889422626,167879.4962071589,0.48862720334000004,375388.7649454748,8557.340544391296,0.013770194499999975,19134.76569140446,-1113.0166643450657,2.488494e-06,2488.7809280547053
250,G3,130760.34321274419,121081.36653271194,151813.8741335017,184141.2670297101,180003.2705333154,212735.17537792618,387946.1331222667,339794.6322085333,454809.87422186614,-12455.666675285127,-10109.500009015204,14884.113586952113,4357.965825415814,4035.3284139887514,5059.645295078222,266.5004026834,68.58378464480833,446.26456914974193,27928.77579768813,25806.04645722304,32435.103566980215,400401.79979755176,349904.132216755,469640.00411775557,13884.356692950492,13363.565310896582,16054.79936501436,-2743.379164939622,-2655.85,3171.0044615991515
250,G4,49699.268337472015,0.18571703197320316,131491.42867334274,62578.806093486935,0.18580025296948588,165567.47664996987,102129.21665828094,0.3106337,270207.69312421075,-2007.6192524142093,-5.019456e-05,5311.660637050179,1656.4327560755082,0.006190729616931667,4382.493279562473,203.23888088490236,0.0010940505,537.7171104968997,7968.044025243113,0.025211422343727394,21081.39804576635,104136.83591069515,0.310767885,275519.3537612609,5364.2496397125715,0.016006889499999948,14192.427533395008,-778.6763595970621,-9.685755e-06,2060.1834772719053
250,G5,40412.43491602087,0.20081304035483594,80824.50817166446,70029.97144257708,0.20081457616803391,140059.5812176555,103616.53859165,0.3952393,207232.30760556774,-6570.2500066049415,-1.318008e-05,13140.499995596705,1346.6658634439348,0.006693952771530227,2693.319671284496,51.000783544125,0.00125595945,101.99947763813628,8624.537465880074,0.027679257641105518,17249.022037614573,110186.78859825493,0.39525248008,220372.80760116442,4898.441214265036,0.018102592499999987,9796.850301602593,-1589.087487591059,1.03041515e-05,3178.175008272627
250,G6,133348.75294158372,92598.10131428727,150684.2283530941,186877.44731251025,147726.3330449653,206570.31603998964,338826.0929137167,219540.87681155,391286.51554592716,-12853.916698784262,-11767.833432258434,13779.580041779265,4444.23140129244,3085.8813827681056,5022.062279110079,262.52113647697087,223.16711370521665,287.4924777213227,26115.12804541039,18116.77229424393,29778.25660885988,351680.0096125009,232415.3769104751,404303.38205605326,15008.461559071975,11350.525699481665,16768.96416777511,-2813.2104371435207,-2608.6084142816735,3013.7975042689204
250,G7,348850.1162883509,348850.1162883509,36652.18259898398,456306.03097784915,456306.03097784915,27200.098746326006,931950.0,931950.0,56419.1072618331,-23186.0,-23186.0,2515.885927461736,11626.954629629628,11626.954629629628,1221.8794703247538,548.4166666666666,548.4166666666666,137.5322689407835,71062.25955428848,71062.25955428848,5149.290918898952,955136.0,955136.0,53903.22133437136,35355.41666666664,35355.41666666664,2962.7774131716137,-5531.016666666666,-5531.016666666666,402.1316264607901
250,G8,173725.87714864835,173725.87714864835,245685.22854801532,222462.2998135392,222462.2998135392,314608.9384520761,459325.3416816167,459325.3416816167,649583.6327307664,-10920.666678226242,-10920.666678226242,15444.154893808072,5790.212081597937,5790.212081597937,8188.587686358883,228.66721413916665,228.66721413916665,323.3827270196132,34264.87641811688,34264.87641811688,48457.813689401686,470246.00835984293,470246.00835984293,665027.7876245745,17835.924930239664,17835.924930239664,25223.783560899312,-2554.3416506888966,-2554.3416506888966,3612.3846505306747
250,G9,292709.48354218923,292709.48354218923,19188.840641370127,402694.37969387753,402694.37969387753,27332.058290661167,785343.6666666667,785343.6666666667,193814.19748706627,-26533.666666666664,-26533.666666666664,2102.4641627280016,9755.476388888888,9755.476388888888,639.6070225829808,648.3333333333333,648.3333333333333,381.8376618407356,58804.40127381445,58804.40127381445,12841.7356537716,811877.3333333334,811877.3333333334,195916.66164979435,31097.800000000003,31097.800000000003,889.6581818628741,-5795.233333333334,-5795.233333333334,188.8682212549271
308,G1,137551.49422981121,137551.49422981121,194526.79552082907,172716.07278531056,172716.07278531056,244257.01911752074,168298.95887386665,168298.95887386665,238009.84368592346,-10257.833374169964,-10257.833374169964,14506.766962811098,4584.413059176606,4584.413059176606,6483.326018995986,491.6675337876667,491.6675337876667,695.3204418724933,14902.311086783959,14902.311086783959,21075.001845537947,178556.79224803663,178556.79224803663,252516.61064873458,21791.10285281914,21791.10285281914,30817.241554306715,-2312.5416876191885,-2312.5416876191885,3270.4277589215403
308,G10,0.3516451741155841,0.3516451741155841,0.028766855492549877,0.3518284440062443,0.3518284440062443,0.028815882834917813,0.55399475,0.55399475,0.07684787000460722,-6.6287815e-05,-6.6287815e-05,2.074678873165796e-05,0.011721534822098943,0.011721534822098943,0.0009588968609535091,0.00232159325,0.00232159325,0.00027310125590360266,0.03815844310000351,0.03815844310000351,0.00015440626524828734,0.554061037815,0.554061037815,0.07682712321587556,0.031233846499999985,0.031233846499999985,0.0002578196177019848,-3.3147634999999997e-05,-3.3147634999999997e-05,7.934141135778334e-06
308,G11,0.30662567621266046,0.30662567621266046,0.008577538085919541,0.30671846981471873,0.30671846981471873,0.008507461070402254,0.45814540000000004,0.45814540000000004,0.06843223864831542,-4.8581509999999996e-05,-4.8581509999999996e-05,1.3766209374580932e-05,0.010220894134860778,0.010220894134860778,0.0002859264584651122,0.0021619165,0.0021619165,4.782092450486536e-05,0.031964031421494295,0.031964031421494295,0.0023388229343275376,0.45819398151,0.45819398151,0.06841847243894089,0.024820233499999983,0.024820233499999983,5.463743387551533e-05,-1.4153869849999999e-05,-1.4153869849999999e-05,1.457543672923848e-05
308,G2,44962.9122021015,0.37959280015288654,100539.33335053273,62586.53884717547,0.37959398206311235,139946.96039806178,84305.02890218,0.5390136,188510.57665233623,-3398.066694819431,-4.093349e-05,7598.308043004911,1498.4559231012327,0.012653400466133332,3350.6228116911957,134.63582445443336,0.003615104,301.04789279510186,6090.756691323677,0.03557236561546255,13619.268143817935,87703.09559699942,0.539021981903,196108.88469534056,6660.597982649328,0.03315268249999997,14893.480963069713,-1110.006665122012,-1.2132523999999997e-05,2482.0503630081053
308,G3,172957.87177803347,169432.16495919225,199797.18545431548,205092.2478396427,199184.54702241457,237016.21123307678,114466.57599153333,101618.07881428333,133829.01438750298,-4022.9166912126043,-2685.8333623384433,5132.827939191348,5764.511870875381,5646.975639562434,6659.040510134095,496.126127880125,454.5014669895,576.8930319535829,13874.210626163833,12484.448173913646,16180.470916827055,118489.49268274593,106978.0788343701,138104.64767644147,30003.269627750804,28751.4047383399,34705.02697843524,-2667.4291694122053,-2637.0083457981555,3080.4824727604732
308,G4,65854.66847849249,0.2895703189130238,174234.34178154674,73790.00374697735,0.29156337934684984,195229.2547153345,39926.38216772857,0.5960184,105633.87784621872,-1900.9288895588513,-0.0001134053,5029.384119815046,2194.950740454019,0.009652234737735887,5807.269343295705,251.07265212381222,0.0016452895,664.272021778186,5249.262038090986,0.03576359707923569,13888.15477298487,41827.31105728743,0.5964410341999999,110663.26196603138,10315.041889626353,0.0230237755,27290.972445825297,-726.3181061128923,-7.12052e-05,1921.6563129999427
308,G5,62246.792771680244,0.27335649141011775,124493.05690228716,76029.72536355104,0.2736104895170099,152058.92174720654,36697.541317,0.6125931499999999,73393.97245537846,-3466.3750485070177,-9.46373e-05,6932.749967661988,2074.552024700771,0.009111863977832833,4149.086427977286,138.938952635875,0.0020987055,277.8740315761887,4658.067897796801,0.03169267490332155,9316.073563697775,40163.916365507015,0.6126375293849999,80326.72242303652,10771.941239337993,0.022950597999999996,21543.839173774733,-1207.7500062830752,-4.018247175e-05,2415.4999958112835
308,G6,150064.89536745142,111639.58938056455,169524.35625516876,178764.5923488682,150014.90158602124,196786.9710310288,134787.93018871252,107586.53363801667,149056.21981516603,-7836.395919248776,-3850.0002634451,10092.44866776149,5001.386834349675,3720.6108199979585,5650.015118175268,267.063073386475,195.50064884875,300.597577270889,13862.81873866827,11942.959541119199,14929.147028489504,142624.32610796127,115979.11699092267,157046.88224564385,26068.304980107263,19376.7012316935,30156.346324306112,-2650.4750543011305,-2423.050191466493,2843.0439833093255
