Model,PLSComponents,Preprocessing,Modality,AccuracyMean,AccuracyStd,BalancedAccuracyMean,BalancedAccuracyStd,MacroF1Mean,MacroF1Std,TotalSplits,ChanceBalancedAccuracy
PLS-DA,10,AsLS + SNV,250 nm,0.30375,0.08871410433348415,0.2799242424242424,0.07706620328782057,0.22536544263816988,0.06782285257780434,40,0.09090909090909091
PLS-DA,10,AsLS + SNV,308 nm,0.33625,0.08396236947096888,0.30757575757575756,0.07280169722107402,0.26473704325977054,0.06251647944263987,40,0.09090909090909091
PLS-DA,10,AsLS + SNV,440 nm,0.34625,0.08577512340341922,0.34924242424242424,0.07619917911122132,0.29565713327076965,0.0725143211739456,40,0.09090909090909091
PLS-DA,10,AsLS + SNV,Combined,0.37,0.09792723619986214,0.34602272727272726,0.08776932838179502,0.29865293797111975,0.07012398337138931,40,0.09090909090909091
