TopK,FeatureCount,AccuracyMean,AccuracyStd,BalancedAccuracyMean,BalancedAccuracyStd,MacroF1Mean,MacroF1Std,Splits
10,10,0.24874999999999997,0.08950540737138706,0.16818181818181815,0.07203765245509845,0.11794480771753499,0.05314982289663481,40
20,20,0.24874999999999997,0.07802654052078063,0.1621212121212121,0.062301461164969846,0.11382680450862268,0.04469782531392859,40
30,30,0.24125000000000002,0.07916835355827608,0.1581439393939394,0.06306183045035249,0.10825937431552404,0.044161801358739726,40
40,40,0.2425,0.08208032338617757,0.15113636363636362,0.06579724633092308,0.10421047386956477,0.045882184420714144,40
50,50,0.23875000000000002,0.07965269161837081,0.14564393939393938,0.061700670166685824,0.10148897819352365,0.041324266872767745,40
60,60,0.24375,0.08100925873009825,0.1494318181818182,0.05559053165445885,0.1042801590863088,0.03819082301519145,40
