Wavelength,MedianMax_1394,MedianMax_1404,MedianMaxRatio_1394_to_1404,MedianAUC_1394,MedianAUC_1404,MedianAUCRatio_1394_to_1404
440 nm,2527594.0,1.932395,1308011.0432908386,908730.36648441,0.4791086183212324,1896710.5406463908
250 nm,813967.3333333334,0.3765453,2161671.7386549064,306278.04288281006,0.17809305418581522,1719764.1103018634
308 nm,257483.66666666666,0.5390136,477694.19299748034,248986.37812510997,0.2779945440519019,895652.0314967906
