Modality,Samples,Groups,SilhouetteCorrelation,SilhouetteEuclidean,MeanSampleSilhouetteCorrelation,MedianSampleSilhouetteCorrelation,NegativeCorrelationFraction,PositiveCorrelationFraction,MeanSampleSilhouetteEuclidean,MedianSampleSilhouetteEuclidean,NegativeEuclideanFraction,PositiveEuclideanFraction
250 nm,40,11,-0.4947201317299482,-0.3511120653103664,-0.4947201317299482,-0.7980379494675838,0.825,0.175,-0.3511120653103664,-0.5391224347132368,0.825,0.175
308 nm,40,11,-0.31057390539360186,-0.17739092296680187,-0.31057390539360186,-0.5730701845317323,0.725,0.275,-0.17739092296680187,-0.3106276344823439,0.725,0.275
440 nm,40,11,-0.5427775745399848,-0.3994941081817422,-0.5427775745399848,-0.865644792895266,0.825,0.175,-0.3994941081817422,-0.5737812324560694,0.825,0.175
Combined,40,11,-0.39342852495740843,-0.233712600086587,-0.39342852495740843,-0.6564608441345905,0.8,0.2,-0.233712600086587,-0.3734142769629556,0.8,0.2
