SampleId,Modality,ActualClass,Year,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1,250 nm,G1,1394,-34.97978246693371,-0.17183611720918668,0.8286919096481186,-9.19017484906178,-1.630477909726058,0.28263808925061706,0.14127191082538293,3.154346464236401,1.6960569073095346,0.5664162511465223
3,250 nm,G1,1404,17.404114300910372,23.19872674520248,-8.999767498441152,0.6784429314723197,-1.4235149071389246,-10.547159207727045,0.1694636117070484,-1.5377392212429204,2.4809858221668812,-1.8232096088985192
4,250 nm,G2,1394,-35.888898052111564,-0.40414300574692247,1.5216182598240746,3.595333999685331,-0.3961379984086284,0.023616320748451283,0.1329092451960104,0.8586195436565199,0.1769216893194295,0.06076110164282785
5,250 nm,G2,1404,23.154470480858468,4.149309103425352,13.114642165849572,-0.7603185622328209,2.084132793982115,2.700892606722079,-1.0450250716120504,-1.03236371970265,1.478856007479515,2.30268759323706
6,250 nm,G2,1404,22.84316090794771,-12.009804825156365,4.052443609052071,-0.16263571629046975,0.6678608390679672,0.9712241084350973,7.0976718105769026,1.0572937848306263,-1.1438159051383416,-1.3039675347432826
7,250 nm,G2,1404,22.307685557545064,3.595092698474714,15.284252839156844,-1.1589427897961955,3.087033739437753,0.20970196563515836,-4.819963460604569,-1.1478417019547535,0.8260008025935868,1.0928880186475751
8,250 nm,G2,1404,22.57408480162506,3.6596779797242927,14.520415191846945,-0.9715296933009696,2.2088785049728257,0.8338791975960349,-1.622105935604116,0.5743180779887285,-1.910609792020694,2.1300749212277443
9,250 nm,G3,1394,-34.92753606563742,-0.545878840977096,1.6798993699855778,9.98408654332448,0.34874799161780584,-0.21705491050562747,-0.04534260894616759,2.5001319825911286,1.9776561716232994,-0.02434640951078709
10,250 nm,G3,1394,-34.22648003821579,-0.3598784143328815,1.396623521935319,13.178114116275673,1.1888148536025924,-0.14327903494740515,-0.014186524061157745,-3.1689055800635573,-1.9969464826846801,-0.3418148254653891
11,250 nm,G3,1404,23.066476301320524,5.48062732230299,-3.925367200318207,2.0692090607573346,-6.935157091978187,9.1065104624899,0.693395388796552,2.0606117833375537,-2.3690651006653756,0.9077060261915567
12,250 nm,G3,1404,16.38101736642547,-22.12835715655314,-17.16429911425276,0.4678871141114482,-0.7393287525615827,-8.218604164673046,-0.12023443771112996,-0.5476788168062489,0.31102645998840306,5.1906335869686115
13,250 nm,G4,1394,-35.196889629133906,-0.4016567878760366,1.577499896925927,8.902521210533493,0.18194253261929577,-0.14335088145502264,0.015623995582153587,-0.6406941779632023,-0.44701304983338547,-0.13427166570195345
14,250 nm,G4,1404,19.951868914101784,20.21295180297184,-5.744541094893807,1.3912077610220914,-5.836259752983684,-3.3316965502935454,2.0807744557357224,0.061738905892584385,-0.1323598601020397,0.8594061297951502
15,250 nm,G4,1404,18.637430832658747,22.044530157199752,-7.47895652395721,0.9158269230439854,-2.798040167668473,-8.625985795894762,2.6932682142775604,-0.46610530884765133,0.9046956901164446,-2.8086293321264098
16,250 nm,G4,1404,19.05810342816173,21.925867712844653,-7.363952440252963,1.3106186834120424,-5.051551494687696,-5.592690490825168,1.5147926959568256,-0.837293966909529,1.2097324204038864,-0.20395965892150253
17,250 nm,G4,1404,15.236031792175103,-10.910555438673725,-23.272436601866218,2.543075207690192,-7.389929295978872,11.89536284590365,-4.412442184815244,-5.792543846340128,7.1387690472437,-1.5358944183648968
18,250 nm,G4,1404,22.595390544093053,-5.199822578355096,0.8542673946427041,-0.2567000195357107,1.3803158863057134,-6.151550809772132,-13.374688697393161,0.6755434862841733,0.7482214343894145,0.9285500256926843
19,250 nm,G4,1404,22.791077388719852,-0.8800590683172156,-4.664354636719418,1.9903119354964687,-6.491863347429488,12.01180917484306,1.3471552048046465,0.4471178367496755,-0.08961177744934773,-1.6100402589800673
20,250 nm,G5,1394,-35.11511092457847,-0.4653124181997583,1.2920709774901373,-1.3094437972338322,-1.6814941251520792,-0.10779453723448976,0.044155749755212796,-0.08611038558547116,0.16417163397280693,-0.5657474524808613
21,250 nm,G5,1404,2.474103666366975,10.967566698259082,-18.89809208616996,-5.276585913387052,37.90324050888525,6.265015292692075,0.49929298079061235,1.6043868480255816,-0.6945933715896186,0.0882973240066858
22,250 nm,G5,1404,22.869056959613015,7.4980730907316,-4.517568206509265,1.9415354537049863,-6.7542231344960095,5.291492085320691,0.911678909873564,4.097355763876725,-5.339217222546441,1.0248891759628458
23,250 nm,G5,1404,23.112448213676952,-5.555187148224651,12.217882917028327,-1.0323321322326038,3.613793916826299,-0.7820207528671702,0.17130128205574432,-0.2529347440374854,0.09904457766020042,-3.3170767510633663
24,250 nm,G6,1394,-33.87109499928225,-0.3449693870408189,1.3113761073462489,14.487103082375091,1.5299783683914299,-0.1864493419080885,-0.17951898095120145,-2.7303603896837196,-1.788622747260332,-0.1559081703041732
26,250 nm,G6,1394,-26.98061515304437,0.4496344716874562,-2.0327516472172404,-28.268882501420745,-3.203905542884648,0.13170940808770423,-0.100829745903726,-9.247296150560409,-5.883660459766963,-0.037387019482096294
27,250 nm,G6,1394,-34.424722482213625,-0.1346004456585092,0.443320825408333,-12.297917224980312,-3.081488668580805,0.35648634655174,-0.09562141139916232,2.6017771331508017,1.4006680449565314,-0.33368086754261544
28,250 nm,G6,1394,-34.745401607443114,-0.31391444131123303,0.7944686313959485,-11.257748678922958,-3.0372315657332556,0.17801302083470527,0.09659253952833755,1.1665347880561892,0.4491496961405841,-0.20417782575766355
30,250 nm,G6,1404,21.858873512109508,-15.466157200670622,-0.6156058281449647,-0.26832871563477434,1.4149873673670157,-5.4396564156528795,6.499499370287721,1.157279465918518,-0.9988813303039531,1.8814959360037835
31,250 nm,G6,1404,22.85160282703327,5.903972926843152,-4.358568671214276,2.0714127884121907,-7.195127960545254,8.600852689902222,1.5800459120130548,2.328344570259817,-2.8950821428471185,1.0647703825125572
32,250 nm,G6,1404,22.127714759885528,-14.774589691335352,4.677636839813222,-0.6727441907684318,2.610459758861597,-4.076853326401137,4.458515162967969,0.8735592951846862,-1.226955027333303,-2.637927030483381
33,250 nm,G6,1404,19.20458519112109,-20.73736110143052,-10.733055903779638,0.31289353955273463,-0.4174644229784362,-5.493343132628271,3.8349887831814127,-1.0460306869821652,1.757564987682823,3.4990552455967316
34,250 nm,G7,1394,-33.0128389234201,-0.062158981593331476,-0.021175080725871123,-17.204460197571933,-3.2941253295760036,0.3220027630066068,-0.029377260734048845,2.657072072847075,1.5799480293171468,-0.07869513423790178
36,250 nm,G7,1394,-35.81783193115906,-0.32926045101247714,1.4194558269270723,2.5817517813362687,-1.0208440173513682,0.002535705825916449,-0.025325209212515475,2.686300426300172,1.5042857399099125,-0.07914488432750141
37,250 nm,G8,1394,-32.84740445192063,-0.3503142749748294,1.1443960286228285,16.19240904979091,2.5537774301681506,-0.25546096335658464,-0.08643428093816602,-7.01614006908895,-4.804509624296451,0.20124218730700602
38,250 nm,G8,1404,20.81096742417848,-12.506331890125344,-9.285565811523917,0.804957435072454,-1.980681817908238,-4.592036837047312,-8.937690383830802,4.995049792840424,-6.50604912939284,-4.1472960691705945
39,250 nm,G9,1394,-35.19643303495086,-0.22325234373854855,1.453589112716283,4.5471637307775135,0.2398227144342626,-0.08257944144161077,0.14495501060600507,1.798881614561973,1.2885950966150626,0.5346646819075227
40,250 nm,G9,1394,-35.578031517114326,-0.39688855273529816,1.5994491745142392,3.442477839682567,-0.45236762183502227,-0.13978046974751104,0.0007813500432791432,4.210988535907765,2.6954168192501835,0.3661482445532298
41,250 nm,G10,1404,22.44600261728702,9.321116824742399,12.878571529925994,-0.7465511383118314,1.5181813683565732,2.1854232253522374,-0.729183062111182,-1.3577732412541383,1.5878067051840914,4.723287410090119
42,250 nm,G10,1404,22.991055376576192,3.4119743408316796,13.926152454053643,-0.884710291781246,2.33189449340985,1.8171964617691736,-1.1897582136831693,-1.3059262198044697,1.6171077780511909,2.6096635605254743
43,250 nm,G11,1404,22.861163496688658,-9.687230890089952,9.96643447434885,-0.8527479132671096,3.0615475318427157,0.49577419098317843,1.8754418040873047,-2.2359674191263537,3.4141932188581654,-4.686873977212771
44,250 nm,G11,1404,23.200584616079617,-7.459600423902562,11.120899287528605,-0.8355858617987831,2.8858043254534707,0.4452111024285202,0.8241520808625926,-1.1175465265432591,1.7201182429980908,-4.002588908239935
1,308 nm,G1,1394,-32.982787295889054,10.77597343623889,10.114940512749573,5.438591967939645,-1.6863116581398445,-11.525053954582567,0.8168577673764958,5.6283936370479095,5.529823665322208,-4.558600498856965
3,308 nm,G1,1404,11.747453757021354,18.31155328672211,-11.110651021724822,-4.044634177380321,1.5692647906010753,-4.870979333700752,3.2912454369645117,-10.85485606170191,0.3061555084716211,0.08619455202436854
4,308 nm,G2,1394,-23.67094847449072,0.22916317438193481,-8.938731540095347,20.774152734323437,-3.8581910763434113,-3.6685907602417127,-8.583031063411987,-2.0090865895173557,-4.959152925734636,6.6604616320492855
5,308 nm,G2,1404,19.2938812093723,3.658530929974627,2.4353058529405276,1.0388395706069657,9.069769940835913,-2.5248648754965988,-1.8687405688853727,1.1837541940417984,-0.97010864767409,-0.16568055990933553
6,308 nm,G2,1404,16.862417735317734,-12.460735162216839,11.544029578950529,2.32133660777961,6.153165647621503,-4.727204504458101,0.4302706170044828,-2.1448610578133316,-0.6770613202559702,0.42673783410859206
7,308 nm,G2,1404,18.704470670422126,1.0851924427404769,3.2557363923534073,2.6683505029651475,3.0698800306810026,3.8589027739316535,-3.0325477118786464,7.876079304010795,-0.4417707927406063,0.2848179111467876
8,308 nm,G2,1404,16.04729682999067,-6.995211063705258,5.903491634903586,3.655681500999952,-8.021806174345507,6.990380618675722,-3.5535708967690756,8.379525919588092,1.0779643934361671,-0.46393574310950153
9,308 nm,G3,1394,-18.372991242906508,-15.570526124687806,-17.957250844911563,8.148861070922381,10.098306938579052,18.414196909454393,11.68068961334382,0.5683057898093756,-3.8664526037608473,1.1929302073947237
10,308 nm,G3,1394,-25.647551206074183,-8.239186692423425,-14.47234157786823,20.14292406348318,3.300767440163271,7.368459951735135,2.0200927907420065,-4.511929116775836,-7.0357343303785385,5.781290674788638
11,308 nm,G3,1404,18.593269097321972,11.015963471492908,-3.605423719013898,-0.20983574823487142,5.31807917708688,-0.4011714951234891,-1.082454710112581,0.9309451928756297,-0.14432803627084265,0.060186874234500795
12,308 nm,G3,1404,8.50724941681813,-21.071932720054345,12.564090377222737,0.45171112176140327,4.5797813254030935,-7.483790501915982,6.744906719375658,-12.65089829016461,-0.5368880395297011,0.46550146133465287
13,308 nm,G4,1394,-29.050169253049813,1.9029907680293416,-2.7665561752090353,17.311445990981312,-3.2580947532767706,-10.3355188665376,-1.9538904647516273,2.397320845858532,-6.046911410942108,5.953005849896943
14,308 nm,G4,1404,10.24056165828679,18.71337565581161,-13.441364996535759,-3.0830010017502487,-8.670207613621997,2.373652104848338,1.662430331363993,-5.315029577265122,1.501011311865649,-0.36531772313359273
15,308 nm,G4,1404,13.46722572346576,17.641928027889286,-10.348301694418417,-3.6215244747816366,1.41940268654379,-3.4728887827195734,2.6336572643030447,-9.02228092684353,0.6933837462186496,-0.05880310993018766
16,308 nm,G4,1404,14.054731281572177,16.766536575781387,-9.645766285927714,-3.4344491418874066,1.462637080862019,-3.6996386882666195,2.688429718817871,-9.1722174512407,0.8335335421254126,0.002343701865930256
17,308 nm,G4,1404,19.308594099910664,-2.689756120939012,5.767472113900887,2.165550973207122,8.27238427710109,-1.1346852666651832,-2.2368900346967497,3.744220000223736,-1.3089292490146371,0.12625762101702953
18,308 nm,G4,1404,7.847431208227326,-17.130256434137873,4.16924467021886,-2.1001986240650656,-21.018691179407373,-0.004987409363651487,3.992099588616766,-8.643593213458782,5.415360259752073,-1.40197222031175
19,308 nm,G4,1404,14.642113401464387,17.288238023547915,-8.780873972575273,-2.4842686153048006,4.338203991541856,-1.9863777758237413,1.185745154572457,-3.95912067313699,-0.09289870317862509,0.27742561439226143
20,308 nm,G5,1394,-29.497103920554753,-0.2502378538186699,-1.7216701665348835,8.895523211783264,11.118830373892841,10.38337109605524,18.442112138022384,0.9519310230108091,17.61743654206709,-3.33691619896109
21,308 nm,G5,1404,13.272089262066682,11.944940423208811,-8.201588522328779,-0.2547534308794881,-12.331155308634669,6.637206772893703,-1.281651962507429,2.893418476175318,2.0504012432409304,-0.8933350008263494
22,308 nm,G5,1404,16.42360050410581,8.085330290693005,-3.3916502799253028,1.7505985865192577,-6.63122545037966,7.67308372860355,-3.0216671124939367,8.463423810228079,0.9239842194509058,-0.21832000921845812
23,308 nm,G5,1404,15.738094155254734,-12.046689939712405,11.247191941572465,0.9531570876124508,14.639326185328397,-8.493033527329226,1.4529338927162845,-4.677083756557558,-1.9737985416074086,0.6485611616670838
24,308 nm,G6,1394,-17.730608760866346,-19.226002308662792,-20.238345136846462,-2.9623694648331247,-2.1188681201332225,-0.08475236859893794,-15.613909341263682,-7.948229083041835,-10.57650122141716,-6.207461778939842
26,308 nm,G6,1394,-11.423318229096125,2.452209196591841,-5.01740654881014,-12.677581432534414,-10.678086523821754,-14.87300688535298,22.565774601609974,15.869205200236289,-16.643707429735677,1.2445185461559776
