Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,ValidationPredictions,CorrectPredictions,UniqueSamples,MeanDecisionMargin,ErrorPredictions,Recall,ErrorRate
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,80,1,4,0.226807791904877,79,0.0125,0.9875
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,40,2,2,0.08796557393031332,38,0.05,0.95
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,40,4,2,0.0900435480666689,36,0.1,0.9
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,100,45,5,0.13200030956763154,55,0.45,0.55
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,160,79,8,0.20997951692589387,81,0.49375,0.50625
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,140,89,7,0.2943872975419524,51,0.6357142857142857,0.3642857142857143
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,40,0,2,0.1454979483550096,40,0.0,1.0
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G10,40,0,2,0.06804670219418218,40,0.0,1.0
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G11,40,0,2,0.07014522842850535,40,0.0,1.0
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G8,40,0,2,0.36122086869070724,40,0.0,1.0
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,80,1,4,0.18903287150539655,79,0.0125,0.9875
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,80,21,4,0.18469103756215427,59,0.2625,0.7375
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,40,12,2,0.07300185412109243,28,0.3,0.7
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,100,37,5,0.0778563447668572,63,0.37,0.63
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,160,65,8,0.31342767827718765,95,0.40625,0.59375
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,140,70,7,0.12342876947340697,70,0.5,0.5
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G9,40,37,2,0.26770503296462056,3,0.925,0.07499999999999996
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,40,0,2,0.2035267626692369,40,0.0,1.0
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G10,40,0,2,0.13467729272978082,40,0.0,1.0
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,40,0,2,0.08139990763449866,40,0.0,1.0
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,80,0,4,0.2983049096144192,80,0.0,1.0
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,40,0,2,0.07450389825583716,40,0.0,1.0
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,40,0,2,0.35417744930810335,40,0.0,1.0
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,80,1,4,0.17791114751968748,79,0.0125,0.9875
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,100,17,5,0.14156375815459488,83,0.17,0.83
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,40,11,2,0.0771251942320291,29,0.275,0.725
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,140,46,7,0.1815921746165312,94,0.32857142857142857,0.6714285714285715
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,160,86,8,0.20756989349853425,74,0.5375,0.4625
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G1,40,0,2,0.2580304460414117,40,0.0,1.0
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G10,40,0,2,0.10161420811312079,40,0.0,1.0
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G11,40,0,2,0.06669942295236085,40,0.0,1.0
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G8,40,0,2,0.20895983441805618,40,0.0,1.0
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,80,1,4,0.19827749001044778,79,0.0125,0.9875
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,80,7,4,0.20261484925189244,73,0.0875,0.9125
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,40,12,2,0.05402678953050327,28,0.3,0.7
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,100,34,5,0.113403620965807,66,0.34,0.6599999999999999
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,160,86,8,0.20925930040906646,74,0.5375,0.4625
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,140,93,7,0.24476802778013834,47,0.6642857142857143,0.33571428571428574
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G9,40,34,2,0.07224662537765161,6,0.85,0.15000000000000002
Raw | 250 nm,Raw,raw,250 nm,G1,40,0,2,0.1290073270744605,40,0.0,1.0
Raw | 250 nm,Raw,raw,250 nm,G10,40,0,2,0.07926175156773402,40,0.0,1.0
Raw | 250 nm,Raw,raw,250 nm,G11,40,0,2,0.07926176131820338,40,0.0,1.0
Raw | 250 nm,Raw,raw,250 nm,G3,80,0,4,0.14006971408146368,80,0.0,1.0
Raw | 250 nm,Raw,raw,250 nm,G5,80,0,4,0.13906367068594833,80,0.0,1.0
Raw | 250 nm,Raw,raw,250 nm,G8,40,0,2,0.1156987357888654,40,0.0,1.0
Raw | 250 nm,Raw,raw,250 nm,G9,40,0,2,0.2420702074196095,40,0.0,1.0
Raw | 250 nm,Raw,raw,250 nm,G2,100,9,5,0.09092625423116722,91,0.09,0.91
Raw | 250 nm,Raw,raw,250 nm,G6,160,44,8,0.1452360494571771,116,0.275,0.725
Raw | 250 nm,Raw,raw,250 nm,G7,40,12,2,0.13451361544169574,28,0.3,0.7
Raw | 250 nm,Raw,raw,250 nm,G4,140,61,7,0.1306582853137663,79,0.4357142857142857,0.5642857142857143
Raw | 308 nm,Raw,raw,308 nm,G1,40,0,2,0.10594018994633543,40,0.0,1.0
Raw | 308 nm,Raw,raw,308 nm,G10,40,0,2,0.0792654322916377,40,0.0,1.0
Raw | 308 nm,Raw,raw,308 nm,G11,40,0,2,0.07926547527040728,40,0.0,1.0
Raw | 308 nm,Raw,raw,308 nm,G5,80,0,4,0.13369884152917177,80,0.0,1.0
Raw | 308 nm,Raw,raw,308 nm,G8,40,0,2,0.08741007373310059,40,0.0,1.0
Raw | 308 nm,Raw,raw,308 nm,G2,100,12,5,0.08805303727902304,88,0.12,0.88
Raw | 308 nm,Raw,raw,308 nm,G6,160,30,8,0.30789297442603586,130,0.1875,0.8125
Raw | 308 nm,Raw,raw,308 nm,G3,80,21,4,0.1604841614142054,59,0.2625,0.7375
Raw | 308 nm,Raw,raw,308 nm,G4,140,60,7,0.09694910784790033,80,0.42857142857142855,0.5714285714285714
Raw | 308 nm,Raw,raw,308 nm,G9,40,18,2,0.16392575808988374,22,0.45,0.55
Raw | 308 nm,Raw,raw,308 nm,G7,40,36,2,0.14455586650179644,4,0.9,0.09999999999999998
Raw | 440 nm,Raw,raw,440 nm,G1,40,0,2,0.08775955082081056,40,0.0,1.0
Raw | 440 nm,Raw,raw,440 nm,G10,40,0,2,0.07910044045205102,40,0.0,1.0
Raw | 440 nm,Raw,raw,440 nm,G11,40,0,2,0.07910046080034958,40,0.0,1.0
Raw | 440 nm,Raw,raw,440 nm,G3,80,0,4,0.14389430943354226,80,0.0,1.0
Raw | 440 nm,Raw,raw,440 nm,G5,80,0,4,0.2723934201912603,80,0.0,1.0
Raw | 440 nm,Raw,raw,440 nm,G8,40,0,2,0.21164906165812,40,0.0,1.0
Raw | 440 nm,Raw,raw,440 nm,G2,100,12,5,0.10929904799005855,88,0.12,0.88
Raw | 440 nm,Raw,raw,440 nm,G7,40,9,2,0.08771666129745494,31,0.225,0.775
Raw | 440 nm,Raw,raw,440 nm,G6,160,54,8,0.16368030654231597,106,0.3375,0.6625
Raw | 440 nm,Raw,raw,440 nm,G4,140,51,7,0.11373201606678382,89,0.36428571428571427,0.6357142857142857
Raw | 440 nm,Raw,raw,440 nm,G9,40,24,2,0.1359431744955988,16,0.6,0.4
Raw | Combined,Raw,raw,Combined,G1,40,0,2,0.07797922977336519,40,0.0,1.0
Raw | Combined,Raw,raw,Combined,G10,40,0,2,0.0797109772647615,40,0.0,1.0
Raw | Combined,Raw,raw,Combined,G11,40,0,2,0.0797109836235804,40,0.0,1.0
Raw | Combined,Raw,raw,Combined,G5,80,0,4,0.16863066519582473,80,0.0,1.0
Raw | Combined,Raw,raw,Combined,G8,40,0,2,0.07468749349691274,40,0.0,1.0
Raw | Combined,Raw,raw,Combined,G3,80,1,4,0.1432986021491967,79,0.0125,0.9875
Raw | Combined,Raw,raw,Combined,G2,100,13,5,0.09196889188886669,87,0.13,0.87
Raw | Combined,Raw,raw,Combined,G6,160,53,8,0.19348618072346901,107,0.33125,0.66875
Raw | Combined,Raw,raw,Combined,G4,140,57,7,0.11830575635553672,83,0.40714285714285714,0.5928571428571429
Raw | Combined,Raw,raw,Combined,G9,40,20,2,0.055564342040759926,20,0.5,0.5
Raw | Combined,Raw,raw,Combined,G7,40,23,2,0.07920058360736505,17,0.575,0.42500000000000004
SNV | 250 nm,SNV,snv,250 nm,G1,40,0,2,0.4241641002841855,40,0.0,1.0
SNV | 250 nm,SNV,snv,250 nm,G10,40,0,2,0.1492448046944113,40,0.0,1.0
SNV | 250 nm,SNV,snv,250 nm,G5,80,0,4,0.2379774096440251,80,0.0,1.0
SNV | 250 nm,SNV,snv,250 nm,G7,40,0,2,0.1507488578708486,40,0.0,1.0
SNV | 250 nm,SNV,snv,250 nm,G8,40,0,2,0.17986469485394058,40,0.0,1.0
SNV | 250 nm,SNV,snv,250 nm,G9,40,0,2,0.13006147529283135,40,0.0,1.0
SNV | 250 nm,SNV,snv,250 nm,G3,80,1,4,0.2258167520774609,79,0.0125,0.9875
SNV | 250 nm,SNV,snv,250 nm,G11,40,12,2,0.11141853485612074,28,0.3,0.7
SNV | 250 nm,SNV,snv,250 nm,G2,100,45,5,0.1627515138671761,55,0.45,0.55
SNV | 250 nm,SNV,snv,250 nm,G6,160,86,8,0.1865737004239753,74,0.5375,0.4625
SNV | 250 nm,SNV,snv,250 nm,G4,140,84,7,0.2894668932392846,56,0.6,0.4
SNV | 308 nm,SNV,snv,308 nm,G1,40,0,2,0.18406003406788962,40,0.0,1.0
SNV | 308 nm,SNV,snv,308 nm,G10,40,0,2,0.0829042950764768,40,0.0,1.0
SNV | 308 nm,SNV,snv,308 nm,G11,40,0,2,0.08936603021817525,40,0.0,1.0
SNV | 308 nm,SNV,snv,308 nm,G5,80,0,4,0.15623372876781813,80,0.0,1.0
SNV | 308 nm,SNV,snv,308 nm,G8,40,0,2,0.2877716122096417,40,0.0,1.0
SNV | 308 nm,SNV,snv,308 nm,G3,80,9,4,0.1318352510162848,71,0.1125,0.8875
SNV | 308 nm,SNV,snv,308 nm,G2,100,27,5,0.11155969567555962,73,0.27,0.73
SNV | 308 nm,SNV,snv,308 nm,G6,160,51,8,0.22107663709283618,109,0.31875,0.68125
SNV | 308 nm,SNV,snv,308 nm,G4,140,81,7,0.14550066668591624,59,0.5785714285714286,0.4214285714285714
SNV | 308 nm,SNV,snv,308 nm,G7,40,24,2,0.05258301371243355,16,0.6,0.4
SNV | 308 nm,SNV,snv,308 nm,G9,40,33,2,0.14436749310277341,7,0.825,0.17500000000000004
SNV | 440 nm,SNV,snv,440 nm,G1,40,0,2,0.23070780586399184,40,0.0,1.0
SNV | 440 nm,SNV,snv,440 nm,G10,40,0,2,0.11568399468696007,40,0.0,1.0
SNV | 440 nm,SNV,snv,440 nm,G11,40,0,2,0.10215819177930381,40,0.0,1.0
SNV | 440 nm,SNV,snv,440 nm,G3,80,0,4,0.1811313202606478,80,0.0,1.0
SNV | 440 nm,SNV,snv,440 nm,G8,40,0,2,0.39434468088589114,40,0.0,1.0
SNV | 440 nm,SNV,snv,440 nm,G5,80,1,4,0.2860529177406065,79,0.0125,0.9875
SNV | 440 nm,SNV,snv,440 nm,G7,40,1,2,0.11235662283008667,39,0.025,0.975
SNV | 440 nm,SNV,snv,440 nm,G2,100,13,5,0.15529315949995381,87,0.13,0.87
SNV | 440 nm,SNV,snv,440 nm,G9,40,8,2,0.07020978789906462,32,0.2,0.8
SNV | 440 nm,SNV,snv,440 nm,G4,140,46,7,0.19229136156030244,94,0.32857142857142857,0.6714285714285715
SNV | 440 nm,SNV,snv,440 nm,G6,160,90,8,0.21554156990735956,70,0.5625,0.4375
SNV | Combined,SNV,snv,Combined,G1,40,0,2,0.2572356321816773,40,0.0,1.0
SNV | Combined,SNV,snv,Combined,G10,40,0,2,0.10407270731850202,40,0.0,1.0
SNV | Combined,SNV,snv,Combined,G11,40,0,2,0.08491612326827583,40,0.0,1.0
SNV | Combined,SNV,snv,Combined,G8,40,0,2,0.1457620819379727,40,0.0,1.0
SNV | Combined,SNV,snv,Combined,G5,80,1,4,0.19271466499180961,79,0.0125,0.9875
SNV | Combined,SNV,snv,Combined,G3,80,5,4,0.1751574521458807,75,0.0625,0.9375
SNV | Combined,SNV,snv,Combined,G2,100,19,5,0.14903570081810952,81,0.19,0.81
SNV | Combined,SNV,snv,Combined,G7,40,13,2,0.03177400694992758,27,0.325,0.675
SNV | Combined,SNV,snv,Combined,G9,40,19,2,0.02098797592915033,21,0.475,0.525
SNV | Combined,SNV,snv,Combined,G6,160,84,8,0.21461548393116522,76,0.525,0.475
SNV | Combined,SNV,snv,Combined,G4,140,97,7,0.23326667498470216,43,0.6928571428571428,0.30714285714285716
