Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ConfusionRate,WithinActualRate,UniqueSamplesAffected,IsError
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G6,22,0.0275,0.15714285714285714,5,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G4,22,0.0275,0.1375,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G8,G4,22,0.0275,0.55,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G4,20,0.025,0.5,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G2,20,0.025,0.25,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G2,18,0.0225,0.45,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G3,18,0.0225,0.1125,7,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G8,G6,14,0.0175,0.35,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G4,13,0.01625,0.1625,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G6,13,0.01625,0.325,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G3,9,0.01125,0.09,3,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G5,9,0.01125,0.05625,3,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G2,9,0.01125,0.225,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G9,8,0.01,0.2,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G5,8,0.01,0.05714285714285714,3,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G1,8,0.01,0.05,3,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G6,7,0.00875,0.175,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,G2,7,0.00875,0.175,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G6,6,0.0075,0.15,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G1,6,0.0075,0.06,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G4,6,0.0075,0.06,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G1,6,0.0075,0.04285714285714286,3,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G4,6,0.0075,0.15,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G6,5,0.00625,0.125,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G4,5,0.00625,0.125,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G5,5,0.00625,0.125,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G9,5,0.00625,0.05,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G2,5,0.00625,0.0625,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G3,5,0.00625,0.03571428571428571,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G8,5,0.00625,0.03571428571428571,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G9,5,0.00625,0.0625,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,G3,5,0.00625,0.125,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G3,4,0.005,0.05,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G1,4,0.005,0.1,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G5,3,0.00375,0.075,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G4,3,0.00375,0.075,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G11,3,0.00375,0.03,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G9,3,0.00375,0.02142857142857143,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G1,3,0.00375,0.0375,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G11,3,0.00375,0.0375,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G3,3,0.00375,0.075,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G3,2,0.0025,0.05,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G11,2,0.0025,0.05,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G10,G5,2,0.0025,0.05,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G8,2,0.0025,0.02,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G2,2,0.0025,0.014285714285714285,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G8,2,0.0025,0.025,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G8,G2,2,0.0025,0.05,2,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G8,G3,2,0.0025,0.05,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G8,2,0.0025,0.05,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G1,G2,1,0.00125,0.025,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G3,1,0.00125,0.025,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G5,1,0.00125,0.01,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G1,1,0.00125,0.0125,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G5,1,0.00125,0.0125,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G10,1,0.00125,0.0125,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G9,1,0.00125,0.00625,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,G9,1,0.00125,0.025,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G5,1,0.00125,0.025,1,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G4,89,0.11125,0.6357142857142857,7,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G6,79,0.09875,0.49375,7,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,G2,45,0.05625,0.45,4,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,G11,4,0.005,0.1,1,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G9,2,0.0025,0.05,1,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,G3,1,0.00125,0.0125,1,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G4,60,0.075,0.375,7,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,G6,33,0.04125,0.2357142857142857,5,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G4,29,0.03625,0.29,5,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G2,29,0.03625,0.18125,5,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,G4,26,0.0325,0.325,4,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G6,25,0.03125,0.25,5,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G4,24,0.03,0.6,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,G2,23,0.02875,0.2875,3,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G10,G2,22,0.0275,0.55,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G11,G2,22,0.0275,0.55,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,G4,18,0.0225,0.225,4,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,G2,17,0.02125,0.2125,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G8,G4,17,0.02125,0.425,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,G2,16,0.02,0.11428571428571428,5,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,G3,16,0.02,0.2,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G9,15,0.01875,0.375,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G10,G4,14,0.0175,0.35,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,G3,14,0.0175,0.1,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,G6,14,0.0175,0.175,3,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,G6,13,0.01625,0.1625,3,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G8,G9,12,0.015,0.3,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,G5,11,0.01375,0.1375,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G11,G6,10,0.0125,0.25,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G11,G4,8,0.01,0.2,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G8,G7,8,0.01,0.2,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,G5,7,0.00875,0.05,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G7,5,0.00625,0.125,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G2,4,0.005,0.1,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G10,G6,4,0.005,0.1,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G3,4,0.005,0.025,3,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G2,4,0.005,0.1,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G4,4,0.005,0.1,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G8,4,0.005,0.1,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G8,3,0.00375,0.075,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G9,3,0.00375,0.075,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G3,3,0.00375,0.03,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G5,3,0.00375,0.03,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G7,3,0.00375,0.03,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G8,G6,3,0.00375,0.075,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G9,G7,2,0.0025,0.05,2,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G5,1,0.00125,0.025,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G5,1,0.00125,0.00625,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G9,1,0.00125,0.00625,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G6,1,0.00125,0.025,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G9,G4,1,0.00125,0.025,1,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,G4,70,0.0875,0.5,7,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G6,65,0.08125,0.40625,8,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G2,37,0.04625,0.37,5,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G9,G9,37,0.04625,0.925,2,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,G3,21,0.02625,0.2625,2,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G7,12,0.015,0.3,2,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,G5,1,0.00125,0.0125,1,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G6,38,0.0475,0.475,4,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G4,36,0.045,0.36,5,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G6,36,0.045,0.36,5,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,G6,34,0.0425,0.425,4,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G4,30,0.0375,0.1875,7,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G6,29,0.03625,0.20714285714285716,6,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G2,28,0.035,0.2,5,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G4,26,0.0325,0.65,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G10,G4,23,0.02875,0.575,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,G4,21,0.02625,0.2625,3,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G8,20,0.025,0.14285714285714285,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G5,18,0.0225,0.1125,6,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G4,17,0.02125,0.425,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,G2,17,0.02125,0.2125,3,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G1,17,0.02125,0.425,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G4,15,0.01875,0.1875,3,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G6,15,0.01875,0.375,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,G2,13,0.01625,0.325,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G10,G2,12,0.015,0.3,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,G6,12,0.015,0.3,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G5,12,0.015,0.15,4,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G2,11,0.01375,0.1375,3,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G2,11,0.01375,0.06875,5,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G9,10,0.0125,0.25,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G3,10,0.0125,0.0625,5,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,G4,9,0.01125,0.225,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G6,9,0.01125,0.225,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G3,8,0.01,0.2,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G6,7,0.00875,0.175,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G9,7,0.00875,0.05,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G10,G6,5,0.00625,0.125,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G5,5,0.00625,0.05,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G5,5,0.00625,0.03571428571428571,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G1,5,0.00625,0.125,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,G5,4,0.005,0.1,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G1,4,0.005,0.02857142857142857,3,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,G1,4,0.005,0.05,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,G3,4,0.005,0.05,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G4,4,0.005,0.1,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G9,4,0.005,0.1,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G6,4,0.005,0.1,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G5,3,0.00375,0.075,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G3,3,0.00375,0.03,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G9,3,0.00375,0.03,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G8,3,0.00375,0.0375,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G1,3,0.00375,0.01875,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G2,3,0.00375,0.075,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G4,3,0.00375,0.075,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,G3,2,0.0025,0.05,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G3,2,0.0025,0.05,2,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G5,2,0.0025,0.05,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G2,1,0.00125,0.025,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G3,1,0.00125,0.025,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G8,1,0.00125,0.025,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G3,1,0.00125,0.007142857142857143,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G7,1,0.00125,0.00625,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G8,1,0.00125,0.00625,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G8,1,0.00125,0.025,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G2,1,0.00125,0.025,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G7,1,0.00125,0.025,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G9,1,0.00125,0.025,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G2,1,0.00125,0.025,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G3,1,0.00125,0.025,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G8,1,0.00125,0.025,1,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G6,86,0.1075,0.5375,8,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G4,46,0.0575,0.32857142857142857,7,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G2,17,0.02125,0.17,3,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G9,11,0.01375,0.275,2,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G3,1,0.00125,0.0125,1,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G6,33,0.04125,0.33,5,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,G6,33,0.04125,0.4125,4,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G2,33,0.04125,0.20625,3,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G4,27,0.03375,0.16875,3,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G6,26,0.0325,0.18571428571428572,5,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G6,25,0.03125,0.3125,3,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G4,24,0.03,0.3,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,G9,22,0.0275,0.55,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G1,G4,21,0.02625,0.525,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G10,G2,20,0.025,0.5,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G11,G2,19,0.02375,0.475,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G4,18,0.0225,0.18,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,G4,17,0.02125,0.2125,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G8,G4,17,0.02125,0.425,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G11,G4,14,0.0175,0.35,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G2,14,0.0175,0.175,3,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G1,G9,13,0.01625,0.325,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,G2,13,0.01625,0.1625,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G8,G9,13,0.01625,0.325,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G3,12,0.015,0.15,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G10,G4,11,0.01375,0.275,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,G5,10,0.0125,0.125,3,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G5,9,0.01125,0.06428571428571428,5,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G10,G6,8,0.01,0.2,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G3,8,0.01,0.05714285714285714,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G5,8,0.01,0.05,3,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G11,G6,6,0.0075,0.15,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G9,6,0.0075,0.06,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G9,G7,6,0.0075,0.15,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G3,5,0.00625,0.03125,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G8,G6,5,0.00625,0.125,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G8,G7,5,0.00625,0.125,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G1,G6,4,0.005,0.1,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G7,3,0.00375,0.03,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,G2,3,0.00375,0.075,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G1,G5,2,0.0025,0.05,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G1,2,0.0025,0.02,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G3,2,0.0025,0.02,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G1,2,0.0025,0.014285714285714285,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G1,2,0.0025,0.025,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G9,2,0.0025,0.025,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,G6,2,0.0025,0.05,2,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G10,G3,1,0.00125,0.025,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G11,G5,1,0.00125,0.025,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G5,1,0.00125,0.01,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G8,1,0.00125,0.01,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G7,1,0.00125,0.007142857142857143,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G9,1,0.00125,0.007142857142857143,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G9,1,0.00125,0.00625,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,G8,1,0.00125,0.025,1,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G4,93,0.11625,0.6642857142857143,7,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G6,86,0.1075,0.5375,7,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G2,34,0.0425,0.34,3,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G9,G9,34,0.0425,0.85,2,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,G7,12,0.015,0.3,1,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,G3,7,0.00875,0.0875,2,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G5,1,0.00125,0.0125,1,False
Raw | 250 nm,Raw,raw,250 nm,G6,G4,57,0.07125,0.35625,4,True
Raw | 250 nm,Raw,raw,250 nm,G2,G4,54,0.0675,0.54,4,True
Raw | 250 nm,Raw,raw,250 nm,G4,G6,41,0.05125,0.29285714285714287,7,True
Raw | 250 nm,Raw,raw,250 nm,G5,G4,38,0.0475,0.475,3,True
Raw | 250 nm,Raw,raw,250 nm,G3,G4,32,0.04,0.4,3,True
Raw | 250 nm,Raw,raw,250 nm,G4,G2,28,0.035,0.2,6,True
Raw | 250 nm,Raw,raw,250 nm,G3,G6,26,0.0325,0.325,4,True
Raw | 250 nm,Raw,raw,250 nm,G10,G4,24,0.03,0.6,2,True
