Wavelength,MappedGroup,Year,MedianAbs,MaxAbs,AbsAUC
250,اراک,1394,5129.333333333334,714902.6666666666,438050.55045032664
250,اراک,1404,0.0010666550000000001,0.30978425,0.18398398173602656
250,اصفهان,1394,4969.5,813967.3333333334,445297.32694949664
250,اصفهان,1404,0.0008829273499999999,0.47393050000000003,0.17339637558366522
250,خراسان رضوی,1394,5065.833333333334,685236.0,376995.60346467915
250,خراسان رضوی,1404,0.000639751575,0.67487315,0.19453983692623267
250,خراسان شمالی,1394,4620.0,414465.0,280119.343269055
250,خراسان شمالی,1404,0.0008853674,0.3765453,0.18377730334050904
250,زنجان,1394,4456.416666666667,775891.8333333333,368282.3678527492
250,زنجان,1404,0.0008053667999999999,0.4329112,0.16620667105757736
250,سمنان,1394,4690.375,505608.25,319295.07949225244
250,سمنان,1404,0.0011637955,0.2758108,0.17813201923367378
250,فارس,1394,5028.5,892055.6666666666,437072.6567053783
250,قزوین,1404,0.0007599592249999999,0.4752692,0.17642010626712834
250,قم,1394,4352.5,918650.3333333334,444924.4136149034
250,قم,1404,0.001094945,0.3500299,0.18601217498802589
250,لرستان,1404,0.0007472448,0.3929766,0.15472052970740663
250,یزد,1394,4852.416666666667,785343.6666666667,402694.37969387753
308,اراک,1394,4190.5,279481.5,516528.3379937675
308,اراک,1404,0.00164137775,0.5641615,0.28568361860620206
308,اصفهان,1394,4280.666666666667,421523.0,312931.272202775
308,اصفهان,1404,0.0030525365,0.5177975,0.3785842446947891
308,خراسان رضوی,1394,4238.166666666666,266873.5833333334,337170.65176099417
308,خراسان رضوی,1404,0.0012183972499999998,0.58406275,0.25429299069852956
308,خراسان شمالی,1394,4054.0,146788.5,304118.10798436
308,خراسان شمالی,1404,0.002002634,0.608792,0.27182973050663034
308,زنجان,1394,4686.666666666666,228932.66666666666,410184.20556786074
308,زنجان,1404,0.0022557602499999998,0.4853164,0.29011142459432293
308,سمنان,1394,4311.5,336597.3333333333,345431.86735572165
308,سمنان,1404,0.001734242,0.5844144,0.2782148994601863
308,فارس,1394,4445.5,338887.0,305871.9436353284
308,قزوین,1404,0.00232159325,0.55399475,0.3518284440062443
308,قم,1394,4183.5,257483.66666666666,267542.6627411333
308,قم,1404,0.001433045,0.3071636,0.22160719523805392
308,لرستان,1404,0.0021619165,0.45814540000000004,0.30671846981471873
308,یزد,1394,4333.833333333334,268921.3333333333,284711.344679725
440,اراک,1394,1530.0,2527990.6666666665,1128523.5253002401
440,اراک,1404,0.000103570525,1.9611795,0.5059839750237215
440,اصفهان,1394,1827.1666666666665,2586113.0,1044758.5438272784
440,اصفهان,1404,0.000162653625,1.891574,0.44073618340249066
440,خراسان رضوی,1394,1615.1666666666665,2116233.166666667,888852.9552317508
440,خراسان رضوی,1404,0.0001287088,1.954023,0.48479646249972064
440,خراسان شمالی,1394,1711.0,1944272.0,663372.7095148984
440,خراسان شمالی,1404,0.0001817495,1.952964,0.4527996021438618
440,زنجان,1394,1453.9166666666667,2497848.5,885332.980065051
440,زنجان,1404,0.00011473892749999999,1.9094695000000002,0.45792347926149457
440,سمنان,1394,1359.1666666666665,1845250.0,778380.7602785766
440,سمنان,1404,0.000110507,1.952058,0.47939331076412417
440,فارس,1394,1978.1666666666665,2532105.3333333335,970179.6027158101
440,قزوین,1404,0.00016770510000000001,1.882138,0.5082208863267883
440,قم,1394,1301.8333333333335,2529674.3333333335,994841.9227811949
440,قم,1404,0.0002422184,1.534754,0.4536481433717626
440,لرستان,1404,0.000138714925,1.8700465,0.45263707662915054
440,یزد,1394,1568.8333333333333,2519111.0,951077.4237399467
