Modality,GeographySilhouette,YearSilhouette,Groups,Years
250 nm,-0.3622432008195555,0.6017842753511996,11,2
308 nm,-0.21793635476725423,0.3912131152059287,11,2
440 nm,-0.41829129782892105,0.5882328908643452,11,2
Combined,-0.2610372031852584,0.519320928366449,11,2
