SampleId,MappedGroup,Year,AbsAUC_250,AbsAUC_308,AbsAUC_440,MaxAbs_250,MaxAbs_308,MaxAbs_440,MeanAbs_250,MeanAbs_308,MeanAbs_440,MedianAbs_250,MedianAbs_308,MedianAbs_440,MedianAbs_vs_YearMedian_250,MedianAbs_vs_YearMedian_308,MedianAbs_vs_YearMedian_440
1,سمنان,1394,319295.07949225244,345431.86735572165,778380.7602785766,505608.25,336597.3333333333,1845250.0,10644.568888888889,11515.669074074074,25947.0287037037,4690.375,4311.5,1359.1666666666665,0.9721991916260753,1.0040949405166222,0.8415024249303478
2,سمنان,1394,319295.07949225244,345431.86735572165,778380.7602785766,505608.25,336597.3333333333,1845250.0,10644.568888888889,11515.669074074074,25947.0287037037,4690.375,4311.5,1359.1666666666665,0.9721991916260753,1.0040949405166222,0.8415024249303478
3,سمنان,1404,0.17813201923367378,0.2782148994601863,0.47939331076412417,0.2758108,0.5844144,1.952058,0.005937922494996334,0.009273846541274,0.015979804485098226,0.0011637955,0.001734242,0.000110507,1.3144774700310853,1.005994519429111,0.8445506243546858
4,اصفهان,1394,445297.32694949664,312931.272202775,1044758.5438272784,813967.3333333334,421523.0,2586113.0,14844.651851851853,10432.578148148146,34826.14277777778,4969.5,4280.666666666667,1827.1666666666665,1.0300549279718105,0.9969142391367632,1.1312558043545557
5,اصفهان,1404,0.17993505679929017,0.3775745073264658,0.5277165806687417,0.4592593,0.4965814,1.875185,0.0059978772801760555,0.01258587927593339,0.017590564249583666,0.0008093118999999999,0.002489969,0.0001616627,0.9140972436979269,1.4443746418022305,1.2355084675166663
6,اصفهان,1404,0.1668576943680403,0.37959398206311235,0.43711791961457824,0.4886017,0.5390136,1.907963,0.0055619824245646664,0.012653439863148888,0.014570653364432022,0.0009565428,0.003615104,0.00016364455,1.0803908072513173,2.0970399812519,1.2506547718673169
7,اصفهان,1404,0.15985578901335462,0.42407631196471357,0.3929803348973439,0.4327624,0.4534879,1.77411,0.005328594410950944,0.014136057783864465,0.01309937351953311,0.0011280105,0.005120099,0.0001770258,1.2740592210646111,2.970053506335605,1.3529210811703127
8,اصفهان,1404,0.19162051101919625,0.24078830101346207,0.4443544471904031,0.7670046,0.655428,1.963765,0.006387376682651888,0.008026310238603666,0.014811855690933112,0.00048600135,0.0012304335000000001,8.736551e-05,0.5489261858975155,0.7137466152486096,0.6676916034058072
9,زنجان,1394,360006.3639877117,421999.6332510499,809944.4976209567,872195.0,254629.66666666666,2461563.6666666665,12001.645,14068.127777777778,26999.019259259258,4112.5,5066.166666666666,1603.0,0.8524199398901441,1.1798474586139303,0.9924672376431741
10,زنجان,1394,376558.37171778665,398368.77788467164,960721.4625091451,679588.6666666666,203235.66666666666,2534133.3333333335,12553.361296296298,13280.49111111111,32024.884259259263,4800.333333333334,4307.166666666667,1304.8333333333335,0.9949908453380317,1.0030857608632366,0.8078629656382212
11,زنجان,1404,0.15533442306027564,0.26406269168984353,0.4288671696470918,0.268072,0.4796709,1.887445,0.005177871126669977,0.008802107877480557,0.0142956078966045,0.00090262295,0.0015775415000000002,9.4413755e-05,1.01948970562955,0.9150961072168585,0.7215578717449603
12,زنجان,1404,0.1770789190548791,0.3161601574988023,0.48697978887589727,0.5977504,0.4909619,1.931494,0.005902676027270722,0.010538896727463833,0.016232699018518166,0.00070811065,0.0029339789999999998,0.00013506409999999999,0.7997930011879814,1.7019347900235973,1.0322284559611943
13,اراک,1394,438050.55045032664,516528.3379937675,1128523.5253002401,714902.6666666666,279481.5,2527990.6666666665,14603.151851851853,17219.048055555555,37618.3337037037,5129.333333333334,4190.5,1530.0,1.0631844405292432,0.975915539425932,0.9472706635022187
14,اراک,1404,0.17078131949730546,0.23668020484437108,0.47667351089822857,0.3106337,0.6273931,1.995634,0.005692809651229943,0.007889775512418854,0.015889174723500245,0.0007558316,0.0013863145,0.0001039505,0.85369260264157,0.804169654065066,0.7944425210799475
15,اراک,1404,0.18580025296948588,0.29156337934684984,0.5180453605008023,0.3089348,0.5960184,1.993142,0.006193503650269001,0.009718887681585221,0.017268198619552835,0.001102798,0.0013362985,0.0001643449,1.2455823424264323,0.7751565048714897,1.256007202299478
16,اراک,1404,0.1692909821278792,0.2798038578655543,0.464732906896491,0.2675315,0.5323046,1.937741,0.005643210744542611,0.00932681513180561,0.01549111363554489,0.0010940505,0.0016452895,0.00010319054999999999,1.2357022632638157,0.9543951881422906,0.7886345971748705
17,اراک,1404,0.19708235580913458,0.31481147980446966,0.5155387046196303,0.3420804,0.5229509,1.952495,0.006569548997586111,0.0104937853834835,0.017184650730535222,0.0013009014999999999,0.0017239080000000001,9.967389e-05,1.469335216092212,1.0,0.7617584952207577
18,اراک,1404,0.18216771050256725,0.2711846499487273,0.5938436255645347,0.2967176,0.2962607,1.673002,0.0060724332136827775,0.009039525858151555,0.01979479980421011,0.001000188,0.0022182390000000003,0.0001256317,1.1296869525577742,1.286750221009474,0.9601412641166676
19,اراک,1404,0.18708146098732548,0.29419150215682116,0.49642924542781275,0.3240433,0.6002464,1.969864,0.006236099727589445,0.009806415099347333,0.016547679971156668,0.0010392595,0.001637466,8.5949895e-05,1.1738172198343875,0.9498569529232418,0.6568727545356374
20,خراسان شمالی,1394,280119.343269055,304118.10798436,663372.7095148984,414465.0,146788.5,1944272.0,9338.97351851852,10138.634444444444,22113.47574074074,4620.0,4054.0,1711.0,0.9576121877914809,0.9441263803442854,1.0593334021256837
21,خراسان شمالی,1404,0.2178518489955588,0.24624886511142485,0.5277496625757002,0.363888,0.6163943,2.011344,0.007262040919471489,0.008208416360326834,0.017591707093226668,0.0016265515,0.002194777,0.00035636125,1.8371486232721015,1.2731404460098799,2.723493680792314
22,خراسان شمالی,1404,0.18377730334050904,0.27539124852738944,0.4527996021438618,0.3765453,0.608792,1.952964,0.0061259670111286114,0.009179721858508332,0.015093339188655054,0.0008853674,0.002002634,0.0001817495,1.0,1.1616826419971367,1.3890219959020873
23,خراسان شمالی,1404,0.1408721009995959,0.27182973050663034,0.3937670469638491,0.4139333,0.4400817,1.73738,0.004695753376271667,0.009061016111964887,0.01312562774885767,0.0006222576,0.0016131325,0.00011087955,0.7028241609076639,0.9357416405051776,0.8473978406858081
24,خراسان رضوی,1394,445575.1496435817,300029.53730574,1059574.4098861464,901053.3333333334,215172.33333333334,2569096.6666666665,14854.035,10002.403148148147,35320.06351851852,5438.166666666667,4359.833333333334,1820.6666666666665,1.1271979825197775,1.0153511751120772,1.1272314518625528
25,خراسان رضوی,1394,445575.1496435817,300029.53730574,1059574.4098861464,901053.3333333334,215172.33333333334,2569096.6666666665,14854.035,10002.403148148147,35320.06351851852,5438.166666666667,4359.833333333334,1820.6666666666665,1.1271979825197775,1.0153511751120772,1.1272314518625528
26,خراسان رضوی,1394,313735.1623124583,455744.8879427375,757246.7816995002,532961.6666666666,224257.5,1800348.0,10459.211851851853,15193.098333333333,25242.359444444446,4504.166666666666,2916.5,1192.1666666666665,0.9336027913082529,0.6792167213305645,0.7381075224435043
27,خراسان رضوی,1394,440256.0446169,308528.05555999,1020459.1287640017,837510.3333333334,329381.5,2432118.3333333335,14676.672037037039,10285.885555555555,34016.175,4824.5,3153.25,1485.6666666666665,1.0,0.7343528635472665,0.9198225157362501
28,خراسان رضوی,1394,295452.46643303335,365813.24796199834,712326.7049893517,439081.0,309489.6666666667,1753962.3333333333,9849.860555555557,12195.359629629631,23745.077777777773,5065.833333333334,4238.166666666666,1615.1666666666665,1.0500224548312433,0.9870165156131735,1.0
29,خراسان رضوی,1394,295452.46643303335,365813.24796199834,712326.7049893517,439081.0,309489.6666666667,1753962.3333333333,9849.860555555557,12195.359629629631,23745.077777777773,5065.833333333334,4238.166666666666,1615.1666666666665,1.0500224548312433,0.9870165156131735,1.0
30,خراسان رضوی,1404,0.19561174078178328,0.2658663024911902,0.4887699575756753,0.7536231,0.5862774,1.957621,0.0065204266112251115,0.008862298143164167,0.016292396653085506,0.00025156885000000005,0.0012976975,0.000169903,0.28414062907669746,0.7527649387322293,1.298485025652078
31,خراسان رضوی,1404,0.16675753754846978,0.23556783340097565,0.4435247788283898,0.306607,0.5818481,1.914611,0.00555862568490944,0.00785240113601129,0.014784184927740168,0.0008940771,0.0008560568000000001,0.0001265705,1.0098373850223084,0.4965791677978175,0.9673160505658897
32,خراسان رضوی,1404,0.19346793307068205,0.2560208686221722,0.4808229674237659,0.7048871,0.7339427,1.979964,0.006448945561596072,0.008538783203727626,0.016027463161555445,0.0005449355,0.001244739,9.7513195e-05,0.6154908120628793,0.7220449119094522,0.7452453665385019
33,خراسان رضوی,1404,0.19965689723850993,0.2525651127748869,0.5003895406165673,0.6448592,0.5394415,1.950425,0.006655275857408666,0.008418910281056667,0.016679721610991443,0.00073456765,0.0011920555,0.0001308471,0.8296755109799615,0.6914844063604322,1.0
34,فارس,1394,437072.6567053783,305871.9436353284,970179.6027158101,892055.6666666666,338887.0,2532105.3333333335,14570.572037037036,10197.429629629629,32340.19555555556,5028.5,4445.5,1978.1666666666665,1.0422841745258575,1.0353018805674694,1.224744608399546
35,فارس,1394,437072.6567053783,305871.9436353284,970179.6027158101,892055.6666666666,338887.0,2532105.3333333335,14570.572037037036,10197.429629629629,32340.19555555556,5028.5,4445.5,1978.1666666666665,1.0422841745258575,1.0353018805674694,1.224744608399546
36,فارس,1394,475539.40525032,237997.52376013002,1005270.833140322,971844.3333333334,210842.33333333334,2610488.0,15852.597592592596,7934.840370370371,33509.767592592594,4754.5,4096.833333333334,1827.1666666666665,0.9854907244274018,0.9541017330719818,1.1312558043545557
37,قم,1394,444924.4136149034,267542.6627411333,994841.9227811949,918650.3333333334,257483.66666666666,2529674.3333333335,14832.115740740743,8919.461666666666,33162.17148148148,4352.5,4183.5,1301.8333333333335,0.9021660275676235,0.9742853261396937,0.8060055721803737
38,قم,1404,0.18601217498802589,0.22160719523805392,0.4536481433717626,0.3500299,0.3071636,1.534754,0.0062004727434247465,0.0073869339923257225,0.015121613465546668,0.001094945,0.001433045,0.0002422184,1.236712578303651,0.8312769590952649,1.8511560439627626
39,یزد,1394,383367.695932765,284711.344679725,951932.2591011217,648296.3333333334,268921.3333333333,2527594.0,12780.413703703702,9491.685,31731.951296296298,5250.333333333334,4333.833333333334,1473.3333333333333,1.0882647597333057,1.0092960971917637,0.9121865648539883
40,یزد,1394,422021.06345499004,,950222.5883787717,922391.0,,2510628.0,14068.890555555556,,31674.99,4454.5,,1664.3333333333333,0.9233081148305524,,1.0304406150036116
41,قزوین,1404,0.16546043050478337,0.3722043501646917,0.49506977153766285,0.4024845,0.4996551,1.831881,0.005515379202740333,0.012406841875884554,0.01650234055676963,0.0008035450999999999,0.002514705,0.0001477301,0.9075837895093042,1.458723435357339,1.1290284614638002
42,قزوین,1404,0.1873797820294733,0.3314525378477969,0.5213720011159136,0.5480539,0.6083344,1.932395,0.006246035198326178,0.011048445760296222,0.01737908581380872,0.00071637335,0.0021284815,0.0001876801,0.8091255110590247,1.2346839274485644,1.434346653460413
43,لرستان,1404,0.15162335130606286,0.3007027864011568,0.4535641270200848,0.3548979,0.4097565,1.858914,0.0050541442258409995,0.010023458449707222,0.01511882747363522,0.00080605595,0.0021281019999999998,0.00014783445,0.9104197308371643,1.2344637880907796,1.1298259571668001
