SampleId,ActualClass,Year,Modality,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
1,G1,1394,250 nm,-8.913502401974853,3.999152406448828,-2.3421103810893817,-3.159276617244826,1.8694405497390496,-3.2854476854307584,-1.0219327546879784,-0.4315324995467459,-0.12316295478953765,0.5987875160459326
4,G2,1394,250 nm,3.9617428466099116,1.3734162112817003,-0.9402553807042259,0.03436529557854922,1.753525889778941,0.6828938908271173,-0.31572004321353464,2.640849424576363,-0.18281083892276775,-0.2860008013438585
9,G3,1394,250 nm,10.290292490755371,2.999322715543093,0.20691043195520378,2.0967364463278444,-3.5820321050627904,-0.8078704193104377,0.1072712960157705,0.209660938289276,-0.8985593499191775,0.7722064484813267
10,G3,1394,250 nm,13.426953662057047,-3.8439995606378448,1.2494660448766264,2.301117913905087,-0.45022553129407833,-0.046507697014389754,-0.5536268737490441,0.2672528175318537,0.7774809779545829,1.1663533435619036
13,G4,1394,250 nm,9.199396284558006,-0.5187521228686626,1.581454215715275,-0.11897029254607362,0.5947167085955568,1.2427255071366474,-1.3398981803216796,-0.5944495950035746,1.3859518276804472,0.4898833587852214
20,G5,1394,250 nm,-1.118027788253124,0.8719987803613662,10.328554791493465,0.9367699656234679,0.8984924885036746,-0.46945205908489884,-0.2727266371692178,-0.32471282071978025,-0.7578117829690044,-0.7594975566144325
24,G6,1394,250 nm,14.723617832080283,-3.681077192593046,-2.7514451798673627,2.5231657519320696,-0.4309580436593007,-1.9564383390159128,0.7203363816190286,-0.2099199302935802,0.8217691065989239,-1.638450232473528
26,G6,1394,250 nm,-28.90427826209256,-11.77767326214751,0.2318660634025692,-1.7731230059590446,-1.7907289505515833,-0.1735295574599933,-0.5334903074988794,0.421577724403805,0.12490148046165009,-0.1617102653011112
27,G6,1394,250 nm,-12.24403863446625,3.4843566455247594,-1.0503282542651173,2.2390174065469486,0.547147301616913,0.9789573756572235,0.4896597688409571,-0.7453719971777539,0.5999639365329604,-0.19245281041730963
28,G6,1394,250 nm,-11.164553937569528,2.0441203386461213,0.32386184162095943,3.4079942575131583,0.9343218041365345,-0.8545374003955597,1.7770131930265398,0.3096963963988389,0.14607696592090552,0.7495384435278776
34,G7,1394,250 nm,-17.263210957042865,3.237793066812433,-2.4469662481667522,2.289512090302423,0.14736186466106732,1.782122549946915,0.16842095406980123,-0.49399101869459133,-0.48740809115575623,-0.03923190081589226
36,G7,1394,250 nm,2.877041904207657,3.478151286750836,-2.0502442354257524,-0.2685775122779979,-0.14593682049581427,1.0100623503692447,-0.9940156828723031,-0.20590258697311392,0.05993526071137269,-0.6456081294644052
37,G8,1394,250 nm,16.40777283341136,-9.073416314015008,-2.425370327250372,-1.056085442421097,1.979368502254088,0.8832737974882956,0.5719329577369071,-0.8034917022728157,-1.4673335908442982,0.33572491755212186
39,G9,1394,250 nm,4.919761742498979,2.296703821333473,1.8237457522599303,-7.160235364040058,-0.7209703854566212,0.6610070284961543,1.9091778530456542,0.05102208192884978,0.7234288318931851,0.10885540589814902
40,G9,1394,250 nm,3.8010323852205516,5.10990317955946,-1.73913913455508,-2.292410893240441,-1.6035232727656301,0.35274065779034647,-0.712401924842036,-0.09068723244703149,-0.7224217791534855,-0.4983977374219932
3,G1,1404,250 nm,23.481515930429165,-7.3213094065019115,-3.1873751893462545,-10.550097595502063,0.1711801559787436,2.790223495858941,-1.931312566458562,1.401625115450286,-2.9714749612755136,-1.1864962265014927
5,G2,1404,250 nm,3.274244278749646,13.811846536121626,3.4685826922846212,2.7029560193883793,-1.0467660449574148,1.818196985397004,2.219831879092367,1.5441579477205856,1.3684903749440518,-1.055256548756852
6,G2,1404,250 nm,-12.475639239584288,4.333326247705571,0.7736088640452939,0.9722395735228092,7.098689113929106,-1.6914388147621084,-1.3084889281654193,2.435287067082922,-2.0846400365799775,-2.8118751107768336
7,G2,1404,250 nm,2.7101438403764972,15.481955474118001,5.137439427812565,0.2116689478398507,-4.818827268230929,1.6516951562782065,1.1765895780168667,-3.034410623525777,-2.1188921976319164,-1.067694621412976
8,G2,1404,250 nm,2.7705842617847773,14.948874804395233,4.04572628550193,0.8345877352432677,-1.6214276634966114,-1.507013086497053,2.333642911118968,-3.4277835919361523,-2.8833389662870172,0.6717551375212194
11,G3,1404,250 nm,5.145179423322089,-1.3031802681306053,-8.701682014102968,9.108988315581861,0.6902728724787093,-3.2587947018995487,0.9347753236403558,0.5867332645985845,0.9755062198318214,-0.8669049489257066
12,G3,1404,250 nm,-21.2930522053285,-18.129552333153732,-2.6716608240628963,-8.226740588234616,-0.12436459176927846,0.890820856904005,5.2477722994193,-2.4851263207112866,2.526736462025394,-2.027041264219073
14,G4,1404,250 nm,20.13209392823193,-3.1749534902566743,-7.414584043158011,-3.339649846596641,2.078577963068423,-0.07375462037689662,0.8743260469925297,-0.2893874106977557,1.861341186932165,1.9438466932118836
15,G4,1404,250 nm,22.16404508644146,-5.433607406253465,-4.526928910423525,-8.62969642917759,2.693963395302676,0.9133969428965956,-2.840543168750764,-1.285221738202674,0.32484340982186793,-0.9592097522961175
16,G4,1404,250 nm,21.978264771477207,-4.961302813578146,-6.773159577348327,-5.598973515078267,1.5138286618565258,1.486270203957099,-0.24529396946168885,0.16160833558789983,1.0624176461079253,0.588070829581576
17,G4,1404,250 nm,-9.883349455554466,-22.894082435570272,-10.303151171566164,11.894537378460743,-4.411211098459133,9.426389578319325,-1.6940254067018652,-1.2383404190414224,-1.9289562244762894,0.842443630798483
18,G4,1404,250 nm,-5.5325827509878875,1.542927509181289,0.756714460549871,-6.154499115866977,-13.375776916316136,-0.22402797864058296,0.73309773496183,4.606741243223086,0.34055845973746707,1.01076255198893
19,G4,1404,250 nm,-1.1383418211520298,-2.5178939866682444,-8.172609414707,12.014747481568463,1.346122731586676,-0.5552658512837629,-1.676885221332364,2.074550353042061,-0.505088302253957,-0.8589971455062226
21,G5,1404,250 nm,13.310332789120983,-26.113011322834794,36.71008280966526,6.299535320384541,0.5067932548881643,-1.9916668984599946,0.04745397934727222,0.23916380816291494,0.2563664119223411,0.1630454386455129
22,G5,1404,250 nm,7.193127541852397,-1.8085340453754661,-8.640898586146056,5.290416468016043,0.9079956436645762,-6.764937997042063,1.2016132058753122,-1.4811730894571185,0.004028894616526379,0.41422606173437104
23,G5,1404,250 nm,-6.337686249354364,12.209102422800038,5.010744542982998,-0.7762272510529586,0.17533296743512403,0.19429599452513655,-3.2868759459553503,-2.744444486078593,0.6474127719242011,0.8804136940550876
30,G6,1404,250 nm,-15.656068922358815,-0.6733844979590358,0.9550615509697403,-5.441099591856239,6.499602691772941,-1.632251394877185,1.8674336980085726,1.7323427446003605,-2.4536440651444416,1.2292956444427623
31,G6,1404,250 nm,5.5945324143204,-1.718924653081372,-8.982446417825047,8.601327529384111,1.5767322612878973,-3.785639674131798,1.1298097058228702,0.14219525768567218,0.7980309096370458,0.9686906921984562
32,G6,1404,250 nm,-15.177675006298642,4.34374934696602,3.0509575897311896,-4.074477150269912,4.4615680394864015,-1.604739412935539,-2.593597555838783,0.82753227437762,-0.39209321899443556,2.587570763796162
33,G6,1404,250 nm,-20.350430365109514,-11.170101959433678,-1.904744108822709,-5.4985118156100246,3.831879390085705,2.0328269892662707,3.4225817713427733,-0.09107718602456785,-0.04725525973099353,0.9198092746809564
38,G8,1404,250 nm,-12.346310983946955,-8.62541093281732,-3.8853675610871456,-4.595662783441639,-8.938267681543463,-8.3389734980388,-3.932345523877514,-1.0217203417546183,-0.14225698526809832,-0.8260980684062443
41,G10,1404,250 nm,8.478901022465122,13.752445869081331,2.963032797392376,2.1842038329476665,-0.7325035356161038,2.2558265354330005,4.674536483036609,1.1463317414716563,1.4873600860904406,-0.533277367701769
42,G10,1404,250 nm,2.5226756452814554,14.461923868154813,3.945093101851386,1.8189103070879555,-1.1895714108736148,2.182063231663363,2.566432584721419,0.6856436431828995,-0.8709150715103094,0.5865783099141663
43,G11,1404,250 nm,-10.355935804933528,9.803631441775966,4.225621967681324,0.5010145152682435,1.8788347821479852,3.875008212424147,-4.842371136953972,0.17117903028197123,2.9451970204013938,-0.3551291016289461
44,G11,1404,250 nm,-8.208568129244139,11.155466031314855,4.121941728127554,0.45050225799300475,0.8273422862930584,1.9114897460222342,-4.078157777900773,-0.6564066190385313,1.8002654351602858,-0.25852856643734273
1,G1,1394,308 nm,18.741616385031172,5.835065498236068,-9.991183419986037,-1.2681479963382565,9.570186439818437,-5.839358556463238,-5.698348679273882,7.450612259292241,-4.786953201600227,-2.795530356591875
4,G2,1394,308 nm,-3.543785760219027,22.14230354514357,-5.402104348547732,-7.553310612698079,-7.235290366029142,8.237933258693516,11.925303172945211,-0.5338816986533234,7.474550079701876,-0.24911990645502516
