Model,PLSComponents,Preprocessing,PreprocessingCode,Modality,AccuracyMean,AccuracyStd,BalancedAccuracyMean,BalancedAccuracyStd,MacroF1Mean,MacroF1Std,TotalRepeats,ChanceBalancedAccuracy,EvaluationLevel
PLS-DA,4,AsLS + L2,asls_l2,250 nm,0.27125,0.04817389006724003,0.1577435064935065,0.03174368694391169,0.12555665049456471,0.029823775282230378,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,AsLS + L2,asls_l2,308 nm,0.24874999999999997,0.03845280771351595,0.1731168831168831,0.030836977975467552,0.13870386587701017,0.02758554109758857,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,AsLS + L2,asls_l2,440 nm,0.22999999999999998,0.05938279034765615,0.12951298701298702,0.03793591857369507,0.1003658230111268,0.0355718328589761,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,AsLS + L2,asls_l2,Combined,0.2575,0.055071723568834344,0.14392857142857143,0.033760005866585466,0.11222523513787479,0.027913762135307885,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,AsLS + SNV,asls_snv,250 nm,0.275,0.04866642633922877,0.15540584415584419,0.031022754322286038,0.12295373917812702,0.028731806195836262,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,AsLS + SNV,asls_snv,308 nm,0.25,0.04659455581480467,0.177012987012987,0.03756773302015615,0.14078194757140283,0.031205191148983343,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,AsLS + SNV,asls_snv,440 nm,0.2,0.056777497395766895,0.10759740259740261,0.034985638548080185,0.08536859723600379,0.0290412972057513,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,AsLS + SNV,asls_snv,Combined,0.29500000000000004,0.04261208131133953,0.17136363636363636,0.03107516828185124,0.13588173966213343,0.028466259890909503,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,Raw,raw,250 nm,0.195,0.04907030402231176,0.12561688311688313,0.03263692992799363,0.08518234590334102,0.028004954813489594,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,Raw,raw,308 nm,0.215,0.039236127283544774,0.1744318181818182,0.037832961815156115,0.11697718922032826,0.02709595302796155,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,Raw,raw,440 nm,0.19625,0.03561028089278654,0.12308441558441559,0.025645976053564647,0.08962246443453137,0.02145854339905275,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,Raw,raw,Combined,0.22000000000000003,0.03203616377585937,0.1533766233766234,0.03202351894459171,0.11001938346518554,0.026086209547082663,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,SNV,snv,250 nm,0.27,0.05882623832771795,0.14876623376623377,0.03120327329212817,0.11362367444918901,0.02453176860444536,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,SNV,snv,308 nm,0.24874999999999997,0.05286215938397562,0.1794805194805195,0.043861296954128756,0.14218235342197144,0.0355185965658795,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,SNV,snv,440 nm,0.1975,0.04791714339961166,0.09909090909090909,0.022294134496494287,0.0727753477472943,0.015432227447907875,20,0.09090909090909091,Repeat-pooled OOF
PLS-DA,4,SNV,snv,Combined,0.29125,0.050831895291709984,0.16756493506493506,0.030266453774312214,0.12974781903676041,0.026099394446719243,20,0.09090909090909091,Repeat-pooled OOF
