SampleId,HPLCNumber,Group,Region,HarvestYear,Wavelength,Max,AUC,PeakHeightRobustZ,AUCRobustZ,Flag
5,04-27,G2,اصفهان,1404,250 nm,0.4592593,0.17993042353320837,0.7548136540144598,0.10855141315239047,False
6,04-19,G2,اصفهان,1404,250 nm,0.4886017,0.16682237960701232,1.0123371129542829,-0.6695964175693209,False
7,04-20,G2,اصفهان,1404,250 nm,0.4327624,0.15984426196474086,0.517774824736668,-1.0874195469793106,False
8,04-21,G2,اصفهان,1404,250 nm,0.7670046,0.19160923729361332,3.2301132304396,0.7946063650010641,False
11,04-13,G3,زنجان,1404,250 nm,0.268072,0.15531997291067545,-1.0617384970631736,-1.3596621845945276,False
12,04-22,G3,زنجان,1404,250 nm,0.5977504,0.1770601855640172,1.9276468273258307,-0.061096030359711624,False
14,04-4,G4,اراک,1404,250 nm,0.3106337,0.17015734130345717,-0.6346966364124897,-0.4707932714693123,False
15,04-5,G4,اراک,1404,250 nm,0.3089348,0.18571703197320316,-0.6514750903287649,0.4493219122844951,False
16,04-6,G4,اراک,1404,250 nm,0.2675315,0.16921797463349844,-1.0672532769618437,-0.5267332530070197,False
17,04-7,G4,اراک,1404,250 nm,0.3420804,0.197028256652901,-0.32799308953661,1.1106581549451535,False
18,04-14,G4,اراک,1404,250 nm,0.2967176,0.16957178560424857,-0.772778276515182,-0.5056582732365065,False
19,04-15,G4,اراک,1404,250 nm,0.3240433,0.18706994065121405,-0.5030208214761428,0.528754156332105,False
21,04-3,G5,خراسان شمالی,1404,250 nm,0.363888,0.2178518450219201,-0.11949197723782098,2.311975682433924,False
22,04-12,G5,خراسان شمالی,1404,250 nm,0.3765453,0.18377423568775175,0.0,0.335097403001226,False
23,04-23,G5,خراسان شمالی,1404,250 nm,0.4139333,0.14086449444470905,0.3466517118693147,-2.2367003355419413,False
30,04-1,G6,خراسان رضوی,1404,250 nm,0.7536231,0.1931619703691447,3.131779931399579,0.8853126118840804,False
31,04-11,G6,خراسان رضوی,1404,250 nm,0.306607,0.1667402412733609,-0.6745,-0.6745,False
