Scenario,Preprocessing,PreprocessingCode,Modality,SampleId,ActualGroup,MostFrequentPredictedGroup,PredictionCount,CorrectRate,Stability,MeanDecisionMargin,MedianDecisionMargin,MajorityPredictionCorrect,RobustnessStatus
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,37,G8,G9,20,0.0,0.7,0.04405080695829074,0.02332930540690087,False,MIXED / UNSTABLE
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,38,G8,G4,20,0.0,0.95,0.45263500925243083,0.45363546480975436,False,STABLE INCORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,39,G9,G9,20,0.85,0.85,0.0746527110654139,0.04102449935991331,True,STABLE CORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,40,G9,G9,20,1.0,1.0,0.06667678174747252,0.04637396241818542,True,STABLE CORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,41,G10,G2,20,0.0,0.8,0.15899006302664148,0.1496062767405627,False,STABLE INCORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,42,G10,G2,20,0.0,0.8,0.127191926299485,0.11438674335292258,False,STABLE INCORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,43,G11,G2,20,0.0,0.75,0.15270900393403064,0.10139581042641564,False,STABLE INCORRECT
AsLS + L2 | Combined,AsLS + L2,asls_l2,Combined,44,G11,G2,20,0.1,0.7,0.0856282643442359,0.05736245271776019,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,1,G1,G9,20,0.0,0.4,0.12299717468596247,0.08836822677618814,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,3,G1,G4,20,0.0,1.0,0.7717425226399051,0.7999301352785337,False,STABLE INCORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,4,G2,G1,20,0.0,0.25,0.04608633306319934,0.02825128217215167,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,5,G2,G4,20,0.3,0.3,0.05066434542454425,0.04093861645909762,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,6,G2,G2,20,0.8,0.8,0.10491136185176893,0.06891840725085523,True,STABLE CORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,7,G2,G2,20,0.95,0.95,0.2451108613637191,0.2128743333454927,True,STABLE CORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,8,G2,G6,20,0.2,0.7,0.21322864613492606,0.23090430495486425,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,9,G3,G6,20,0.05,0.95,0.21732890538546495,0.24446366324880497,False,STABLE INCORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,10,G3,G6,20,0.0,0.5,0.12070179730745627,0.09761639246459411,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,11,G3,G4,20,0.0,0.8,0.30389690206378206,0.33429595885441216,False,STABLE INCORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,12,G3,G6,20,0.0,0.75,0.26530356286280465,0.2518828883890315,False,STABLE INCORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,13,G4,G6,20,0.15,0.35,0.09415318827214827,0.07522642715284318,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,14,G4,G4,20,0.85,0.85,0.30972409990510535,0.37137534835717123,True,STABLE CORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,15,G4,G4,20,0.9,0.9,0.3880293452872302,0.34726705937007024,True,STABLE CORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,16,G4,G4,20,0.9,0.9,0.5535628183680071,0.5442800790106037,True,STABLE CORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,17,G4,G4,20,0.45,0.45,0.251038357432083,0.20031173390012666,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,18,G4,G4,20,0.65,0.65,0.25230616452920296,0.21268025692792206,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,19,G4,G4,20,0.55,0.55,0.2118971089998903,0.17520335972196957,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,20,G5,G6,20,0.0,0.8,0.39716471506655177,0.3245674337831467,False,STABLE INCORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,21,G5,G2,20,0.0,0.45,0.6544725144809067,0.30342238794862075,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,22,G5,G4,20,0.0,0.65,0.16355270414168643,0.16653885876959468,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,23,G5,G2,20,0.0,0.55,0.15099563966547902,0.1410210357377364,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,24,G6,G6,20,0.65,0.65,0.17431073340234565,0.18728993175905673,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,26,G6,G6,20,0.7,0.7,0.2913967408621718,0.2419265445698885,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,27,G6,G6,20,0.75,0.75,0.13429939961620466,0.15939879329519913,True,STABLE CORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,28,G6,G6,20,0.4,0.4,0.21651318171522266,0.20432840249711073,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,30,G6,G6,20,0.6,0.6,0.24247681777548977,0.2029555657735742,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,31,G6,G4,20,0.0,0.95,0.33101004938583023,0.3412318635761821,False,STABLE INCORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,32,G6,G2,20,0.35,0.55,0.12341819387513837,0.11284268365888042,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,33,G6,G6,20,0.5,0.5,0.1664110187747479,0.062448683557958934,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,34,G7,G6,20,0.0,0.75,0.179978479017679,0.11938389888512418,False,STABLE INCORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,36,G7,G6,20,0.0,0.6,0.11135329323776635,0.10354089816636611,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,37,G8,G6,20,0.0,0.55,0.14423625433693213,0.1356148482547667,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,38,G8,G4,20,0.0,0.8,0.2787931660052142,0.2340194991822104,False,STABLE INCORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,39,G9,G4,20,0.0,0.3,0.08169185314422675,0.06059281751645028,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,40,G9,G6,20,0.1,0.45,0.09423929471639991,0.08527360944267441,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,41,G10,G2,20,0.0,0.55,0.1276561493742076,0.07832448883775409,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,42,G10,G2,20,0.0,0.85,0.18583446968587522,0.1540297697621939,False,STABLE INCORRECT
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,43,G11,G2,20,0.0,0.35,0.1039332337098237,0.09246546507165287,False,MIXED / UNSTABLE
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,44,G11,G2,20,0.2,0.55,0.0761538624235141,0.07351094035669381,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,1,G1,G7,20,0.0,0.25,0.04929179341399796,0.037687019799869964,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,3,G1,G4,20,0.0,1.0,0.2417041032960212,0.22606871379539967,False,STABLE INCORRECT
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,4,G2,G4,20,0.1,0.35,0.10727185350120827,0.0819228740502435,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,5,G2,G4,20,0.1,0.6,0.07024850012345576,0.05705625788428878,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,6,G2,G2,20,0.7,0.7,0.07113319881345526,0.07120892275655392,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,7,G2,G2,20,0.65,0.65,0.06513740306812962,0.059510190501663396,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,8,G2,G6,20,0.3,0.45,0.07549076832803706,0.04521819318407626,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,9,G3,G3,20,0.65,0.65,0.28786302544689335,0.25474456434368153,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,10,G3,G3,20,0.4,0.4,0.2747159855882177,0.2514875670522012,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,11,G3,G4,20,0.0,0.45,0.09497487782938811,0.075161239856539,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,12,G3,G2,20,0.0,0.55,0.08121026138411802,0.07795779942951364,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,13,G4,G3,20,0.05,0.55,0.1614755897234898,0.13924422132753161,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,14,G4,G4,20,0.45,0.45,0.10685440062932332,0.050787255723998156,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,15,G4,G4,20,0.95,0.95,0.14351268312770052,0.17644474331854348,True,STABLE CORRECT
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,16,G4,G4,20,1.0,1.0,0.15587181296495367,0.15695303273118422,True,STABLE CORRECT
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,17,G4,G6,20,0.15,0.55,0.07394799332656675,0.05347192808496477,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,18,G4,G6,20,0.25,0.6,0.12284822643346964,0.09889256261694494,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,19,G4,G4,20,0.65,0.65,0.09949068010834519,0.09404749963021584,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,20,G5,G3,20,0.0,0.8,0.4846589105958493,0.4739895555835146,False,STABLE INCORRECT
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,21,G5,G4,20,0.0,0.65,0.11436556521287282,0.08761317298176294,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,22,G5,G2,20,0.05,0.4,0.08214896550609314,0.05842130165871093,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,23,G5,G2,20,0.0,0.55,0.07495804470677078,0.05517847472198259,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,24,G6,G6,20,0.8,0.8,0.15258997208018585,0.16070764025602274,True,STABLE CORRECT
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,26,G6,G4,20,0.05,0.85,0.9611048263382518,0.9910162148201813,False,STABLE INCORRECT
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,27,G6,G4,20,0.35,0.65,0.6440529669477945,0.5507082395771757,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,28,G6,G6,20,0.85,0.85,0.3974552102444323,0.3766820438974219,True,STABLE CORRECT
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,30,G6,G6,20,0.45,0.45,0.07812881135850416,0.059227633272075766,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,31,G6,G4,20,0.05,0.7,0.1288038069000024,0.13472497268541783,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,32,G6,G2,20,0.2,0.65,0.08818370320111234,0.08105839963396967,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,33,G6,G6,20,0.5,0.5,0.05710212914721757,0.045755755017029776,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,34,G7,G7,20,0.55,0.55,0.054224747137107766,0.037555566168716664,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,36,G7,G9,20,0.05,0.75,0.09177896110507712,0.0453403207319866,False,STABLE INCORRECT
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,37,G8,G9,20,0.0,0.6,0.1424663588811023,0.1294914691695764,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,38,G8,G4,20,0.0,0.85,0.5799753785003121,0.6259892862769854,False,STABLE INCORRECT
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,39,G9,G9,20,0.9,0.9,0.24754967516550744,0.11301498527177145,True,STABLE CORRECT
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,40,G9,G9,20,0.95,0.95,0.28786039076373376,0.22529057685276277,True,STABLE CORRECT
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,41,G10,G4,20,0.0,0.55,0.07138045813049843,0.03836525874956773,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,42,G10,G2,20,0.0,0.65,0.06471294625786593,0.049678678319059685,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,43,G11,G2,20,0.0,0.6,0.08808115804958772,0.06847301313789633,False,MIXED / UNSTABLE
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,44,G11,G2,20,0.0,0.5,0.05220929880742298,0.043476834916796214,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,1,G1,G9,20,0.0,0.5,0.10308631937743651,0.10064437223580572,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,3,G1,G4,20,0.0,0.75,0.3039672059610373,0.1950630216218071,False,STABLE INCORRECT
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,4,G2,G6,20,0.0,0.6,0.13118506674322136,0.1298020101806308,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,5,G2,G4,20,0.0,0.85,0.21617164377471682,0.17976567838866736,False,STABLE INCORRECT
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,6,G2,G2,20,0.4,0.4,0.08750070123471729,0.0688203855916253,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,7,G2,G6,20,0.35,0.35,0.09011620152586271,0.08233998797607495,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,8,G2,G6,20,0.1,0.55,0.18284517749445633,0.1438260959744142,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,9,G3,G6,20,0.0,0.7,0.32874215633197307,0.31506956647600515,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,10,G3,G6,20,0.05,0.6,0.14638643048871833,0.13122310938009102,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,11,G3,G4,20,0.0,0.4,0.08776463014996125,0.08443569667071875,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,12,G3,G6,20,0.0,0.4,0.14875137310809736,0.08268625753169828,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,13,G4,G9,20,0.15,0.35,0.07094069026046118,0.04325229118934115,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,14,G4,G6,20,0.15,0.5,0.1400543205152736,0.11104384537734886,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,15,G4,G4,20,0.75,0.75,0.12845014314325578,0.07350457704389116,True,STABLE CORRECT
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,16,G4,G4,20,0.6,0.6,0.13053797071327017,0.08307935852741358,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,17,G4,G2,20,0.2,0.45,0.07278726678673432,0.07720602471025059,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,18,G4,G8,20,0.05,0.8,0.6608183721967223,0.6847602839418172,False,STABLE INCORRECT
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,19,G4,G4,20,0.4,0.4,0.06755645870000095,0.05836109711898835,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,20,G5,G6,20,0.0,0.85,0.583743775280248,0.4941736600608303,False,STABLE INCORRECT
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,21,G5,G4,20,0.0,0.55,0.3598528947832934,0.2984327787209223,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,22,G5,G4,20,0.0,0.35,0.14731714241474628,0.10307885714152161,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,23,G5,G2,20,0.0,0.45,0.10230582597938905,0.10326124181463653,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,24,G6,G6,20,0.8,0.8,0.6577425734926946,0.6706922283997986,True,STABLE CORRECT
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,26,G6,G6,20,0.55,0.55,0.23796728592933394,0.17111794048130471,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,27,G6,G6,20,0.6,0.6,0.13042709281548692,0.11739744507217409,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,28,G6,G6,20,0.65,0.65,0.19302959499712363,0.21186321015900306,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,30,G6,G6,20,0.65,0.65,0.13161024861029863,0.11640445925407687,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,31,G6,G4,20,0.1,0.4,0.10412225541463016,0.0827243489210063,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,32,G6,G6,20,0.4,0.4,0.09555327405809418,0.06795266041642133,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,33,G6,G6,20,0.55,0.55,0.11010682267061198,0.09263627871152144,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,34,G7,G6,20,0.0,0.35,0.05401483185249224,0.0510784259384003,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,36,G7,G6,20,0.0,0.4,0.09499296465918208,0.06316693461498935,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,37,G8,G4,20,0.0,0.45,0.11713496669468562,0.09086754038094544,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,38,G8,G4,20,0.0,0.85,0.591219931921521,0.567618983620911,False,STABLE INCORRECT
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,39,G9,G9,20,0.4,0.4,0.08412208524033407,0.06879341017532192,True,MOSTLY CORRECT / MIXED
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,40,G9,G1,20,0.15,0.6,0.07012830322372415,0.08190620731397442,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,41,G10,G4,20,0.0,0.75,0.19269257406368226,0.12388054936983436,False,STABLE INCORRECT
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,42,G10,G2,20,0.0,0.45,0.07666201139587939,0.07470220373406053,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,43,G11,G4,20,0.0,0.4,0.09539043678601851,0.07686816163390701,False,MIXED / UNSTABLE
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,44,G11,G2,20,0.0,0.4,0.06740937848297877,0.05315956217967892,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,1,G1,G9,20,0.0,0.65,0.06648662440596684,0.05746159035760104,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,3,G1,G4,20,0.0,0.95,0.4495742676768564,0.44389469525121744,False,STABLE INCORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,4,G2,G9,20,0.0,0.3,0.033922384947030176,0.01855669553575591,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,5,G2,G4,20,0.0,0.75,0.10234838915739833,0.0917130194793905,False,STABLE INCORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,6,G2,G2,20,0.6,0.6,0.08240434897441454,0.06898890737377229,True,MOSTLY CORRECT / MIXED
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,7,G2,G2,20,0.8,0.8,0.14334574074697098,0.1361100961181616,True,STABLE CORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,8,G2,G6,20,0.3,0.7,0.20499724100322095,0.15066750448274824,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,9,G3,G6,20,0.15,0.65,0.3302111364431018,0.13782452277566198,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,10,G3,G6,20,0.2,0.5,0.12731211025368566,0.09361030023148442,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,11,G3,G4,20,0.0,0.8,0.2222728804173813,0.21480590009286893,False,STABLE INCORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,12,G3,G2,20,0.0,0.65,0.13066326989340096,0.10188704773359522,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,13,G4,G3,20,0.05,0.4,0.16594168909194984,0.1111012926708248,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,14,G4,G4,20,0.45,0.45,0.18166763467416008,0.1407614880470764,True,MOSTLY CORRECT / MIXED
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,15,G4,G4,20,0.95,0.95,0.3258582394652367,0.3176744411390857,True,STABLE CORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,16,G4,G4,20,0.9,0.9,0.3325022666639259,0.31140236598455817,True,STABLE CORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,17,G4,G4,20,0.85,0.85,0.18316970810144434,0.12826762268995198,True,STABLE CORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,18,G4,G4,20,0.65,0.65,0.32564033427151495,0.35816279859358774,True,MOSTLY CORRECT / MIXED
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,19,G4,G4,20,0.8,0.8,0.19859632219273668,0.19354044990198965,True,STABLE CORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,20,G5,G3,20,0.0,0.55,0.32809177264395784,0.3270960492470556,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,21,G5,G4,20,0.0,0.8,0.2349195129984817,0.14708974415455284,False,STABLE INCORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,22,G5,G4,20,0.05,0.4,0.12020373777353346,0.09350702464984541,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,23,G5,G2,20,0.0,0.5,0.1098949366258181,0.1100503502907428,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,24,G6,G6,20,0.85,0.85,0.23524006571500475,0.2584881832924397,True,STABLE CORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,26,G6,G6,20,0.6,0.6,0.32444357042004335,0.2524755406861342,True,MOSTLY CORRECT / MIXED
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,27,G6,G6,20,0.75,0.75,0.2208047206402099,0.17762205484694804,True,STABLE CORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,28,G6,G6,20,0.75,0.75,0.24500437520621587,0.17771796343490748,True,STABLE CORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,30,G6,G6,20,0.6,0.6,0.1844755842627904,0.13993057988717966,True,MOSTLY CORRECT / MIXED
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,31,G6,G4,20,0.0,0.75,0.20211879915413844,0.23743529839303076,False,STABLE INCORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,32,G6,G2,20,0.25,0.75,0.14714856135897175,0.1187194671941681,False,STABLE INCORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,33,G6,G2,20,0.5,0.5,0.1148387265151574,0.08087890997273701,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,34,G7,G7,20,0.6,0.6,0.017877382698730262,0.01224766071182573,True,MOSTLY CORRECT / MIXED
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,36,G7,G9,20,0.0,0.85,0.09017619636227629,0.07985670132915337,False,STABLE INCORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,37,G8,G9,20,0.0,0.65,0.051433767966715706,0.03466710698902048,False,MIXED / UNSTABLE
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,38,G8,G4,20,0.0,0.85,0.3664859008693967,0.40480060286758546,False,STABLE INCORRECT
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,39,G9,G9,20,0.95,0.95,0.08068885055230343,0.06207907332034002,True,STABLE CORRECT
