SampleId,ActualClass,Modality,OwnGroupSimilarity,NearestOtherGroup,NearestOtherSimilarity,SimilarityGap,OwnGroupWins,GroupSize
1,G1,250 nm,-0.021807786073345874,G7,0.9867815992745077,-1.0085893853478536,False,2
3,G1,250 nm,-0.021807786073345877,G4,0.8689046899122748,-0.8907124759856206,False,2
4,G2,250 nm,-0.026222699393709265,G9,0.9870980717486845,-1.0133207711423937,False,5
5,G2,250 nm,0.92249329308872,G10,0.9960135206328797,-0.07352022754415977,False,5
6,G2,250 nm,0.8159230739533165,G11,0.9539463813037933,-0.13802330735047674,False,5
7,G2,250 nm,0.913991388172223,G10,0.9799092571010919,-0.06591786892886886,False,5
8,G2,250 nm,0.9244748278486985,G10,0.9831200215831255,-0.058645193734427004,False,5
9,G3,250 nm,0.4585976873781678,G9,0.9740189838393661,-0.5154212964611984,False,4
10,G3,250 nm,0.46131054383377995,G9,0.9454501139437071,-0.4841395701099272,False,4
11,G3,250 nm,0.2626872734795225,G4,0.939892726685313,-0.6772054532057905,False,4
12,G3,250 nm,0.2597139697220046,G11,0.6669854548372555,-0.40727148511525085,False,4
13,G4,250 nm,-0.019491634025970404,G9,0.978801225267226,-0.9982928592931964,False,7
14,G4,250 nm,0.8943195791772378,G10,0.8046612904136043,0.08965828876363346,True,7
15,G4,250 nm,0.8426539935599564,G10,0.7470920106794126,0.09556198288054385,True,7
16,G4,250 nm,0.8733648007593435,G10,0.7685601993835265,0.10480460137581704,True,7
17,G4,250 nm,0.6289213805005043,G3,0.5676907799027643,0.06123060059773999,True,7
18,G4,250 nm,0.7661056952185362,G11,0.8787381344106004,-0.11263243919206423,False,7
19,G4,250 nm,0.8645291345814996,G11,0.8446312691892007,0.019897865392298875,True,7
20,G5,250 nm,-0.031482921834848285,G9,0.9489343142593307,-0.980417236094179,False,4
21,G5,250 nm,0.1908805700472776,G4,0.27445144520050024,-0.08357087515322265,False,4
22,G5,250 nm,0.5703488114039097,G4,0.944220585478,-0.37387177407409034,False,4
23,G5,250 nm,0.5243341887986459,G11,0.9881236610471978,-0.46378947224855194,False,4
24,G6,250 nm,0.41284607144143026,G9,0.9352737632821501,-0.5224276918407198,False,8
26,G6,250 nm,0.4395348066397251,G7,0.794020837206912,-0.35448603056718686,False,8
27,G6,250 nm,0.5562345476726559,G7,0.9910413498416524,-0.4348068021689965,False,8
28,G6,250 nm,0.5585166535839095,G7,0.9877101826983626,-0.4291935291144532,False,8
30,G6,250 nm,0.5757543856704961,G11,0.9083093151132252,-0.33255492944272913,False,8
31,G6,250 nm,0.4681818354872548,G4,0.9409558310372148,-0.47277399554996,False,8
32,G6,250 nm,0.5623511513227326,G11,0.9562281511461755,-0.39387699982344293,False,8
33,G6,250 nm,0.5369753149160341,G11,0.7926371689924429,-0.25566185407640873,False,8
