Modality,Year,EligibleSamples,EligibleGroups,OwnGroupWinRate,MeanOwnSimilarity,MeanNearestOtherSimilarity,MeanSimilarityGap,TopCentroidOverlap,MeanCentroidSimilarity
250 nm,1394,10,4,0.6,0.9586444297780471,0.9563815091031364,0.0022629206749107287,0.9869662565913839,0.9283605209699476
250 nm,1404,23,7,0.6521739130434783,0.9164462001865941,0.8961280989305775,0.02031810125601661,0.9806824708287588,0.8600726904788746
308 nm,1394,10,4,1.0,0.8463077678766491,0.3904083296415027,0.4558994382351463,0.49600315284633895,0.22249773651796712
308 nm,1404,23,7,0.6956521739130435,0.9112182719067006,0.9077502483756131,0.003468023531087313,0.9710207221653292,0.896093108700394
440 nm,1394,10,4,0.7,0.9786090692667528,0.9674893660741877,0.01111970319256499,0.9816348057108649,0.9306941173383904
440 nm,1404,23,7,0.6086956521739131,0.8916445848714496,0.8981462049162828,-0.00650162004483357,0.9767711677677493,0.8886967950760185
Combined,1394,10,4,0.9,0.9317098081476815,0.7517801782533067,0.17992962989437472,0.8108235709554201,0.7236819643346218
Combined,1404,23,7,0.6521739130434783,0.9068749079687346,0.8855041980174048,0.021370709951329687,0.9579990326533215,0.8810748546665989
