Preprocessing,PreprocessingCode,Modality,SampleId,ActualGroup,MostFrequentPredictedGroup,CorrectRate,MeanDecisionMargin,PredictionCount
AsLS + SNV,asls_snv,Combined,37,G8,G9,0.0,0.1668144436703535,20
AsLS + SNV,asls_snv,Combined,38,G8,G4,0.0,0.31535568430086897,20
AsLS + SNV,asls_snv,Combined,39,G9,G8,0.0,0.11197471524277103,20
AsLS + SNV,asls_snv,Combined,40,G9,G2,0.0,0.10246839982198716,20
AsLS + SNV,asls_snv,Combined,41,G10,G4,0.0,0.10773283268164521,20
AsLS + SNV,asls_snv,Combined,42,G10,G2,0.0,0.1414918185284058,20
AsLS + SNV,asls_snv,Combined,43,G11,G4,0.0,0.07311888336105078,20
AsLS + SNV,asls_snv,Combined,44,G11,G2,0.0,0.08407323225133338,20
Raw,raw,250 nm,1,G1,G6,0.0,0.19399390131443112,20
Raw,raw,250 nm,3,G1,G4,0.0,0.0586082171249893,20
Raw,raw,250 nm,4,G2,G7,0.0,0.09106126301877326,20
Raw,raw,250 nm,5,G2,G4,0.0,0.07960030968574108,20
Raw,raw,250 nm,6,G2,G4,0.0,0.06202119954676988,20
Raw,raw,250 nm,7,G2,G4,0.05,0.06485500092911142,20
Raw,raw,250 nm,8,G2,G4,0.1,0.023546891080317562,20
Raw,raw,250 nm,9,G3,G6,0.0,0.19945669523876206,20
Raw,raw,250 nm,10,G3,G4,0.0,0.20952965674472485,20
Raw,raw,250 nm,11,G3,G4,0.0,0.038042828929440387,20
Raw,raw,250 nm,12,G3,G4,0.0,0.05689221678066466,20
Raw,raw,250 nm,13,G4,G3,0.0,0.5921776828362109,20
Raw,raw,250 nm,14,G4,G4,0.9,0.04207128642093529,20
Raw,raw,250 nm,15,G4,G4,0.8,0.05549191664109354,20
Raw,raw,250 nm,16,G4,G4,0.8,0.042532091972444605,20
Raw,raw,250 nm,17,G4,G4,0.8,0.03921633477181332,20
Raw,raw,250 nm,18,G4,G4,0.8,0.049782920427719694,20
Raw,raw,250 nm,19,G4,G4,0.9,0.05089603087658062,20
Raw,raw,250 nm,20,G5,G6,0.0,0.53884188806553,20
Raw,raw,250 nm,21,G5,G4,0.05,0.05637078293346196,20
Raw,raw,250 nm,22,G5,G4,0.0,0.06761961954180586,20
Raw,raw,250 nm,23,G5,G4,0.0,0.034078408104928626,20
Raw,raw,250 nm,24,G6,G6,0.65,0.38166433214083784,20
Raw,raw,250 nm,26,G6,G1,0.2,0.26776105365210723,20
Raw,raw,250 nm,27,G6,G7,0.4,0.19245381343789789,20
Raw,raw,250 nm,28,G6,G6,0.4,0.16089886831172243,20
Raw,raw,250 nm,30,G6,G4,0.0,0.05937723852265244,20
Raw,raw,250 nm,31,G6,G4,0.1,0.0508190502286819,20
Raw,raw,250 nm,32,G6,G4,0.05,0.07315036579458395,20
Raw,raw,250 nm,33,G6,G4,0.0,0.056279120970454954,20
Raw,raw,250 nm,34,G7,G6,0.2,0.1641721236702901,20
Raw,raw,250 nm,36,G7,G7,0.6,0.18179670414772228,20
Raw,raw,250 nm,37,G8,G7,0.0,0.146455940014799,20
Raw,raw,250 nm,38,G8,G4,0.0,0.056113507877144884,20
Raw,raw,250 nm,39,G9,G4,0.0,0.30855289635514954,20
Raw,raw,250 nm,40,G9,G7,0.0,0.2146584025463157,20
Raw,raw,250 nm,41,G10,G4,0.0,0.07117191272918626,20
Raw,raw,250 nm,42,G10,G4,0.0,0.03225230205642111,20
Raw,raw,250 nm,43,G11,G4,0.0,0.07280892900729441,20
Raw,raw,250 nm,44,G11,G4,0.0,0.030615242067289106,20
Raw,raw,308 nm,1,G1,G7,0.0,0.19988902102855452,20
Raw,raw,308 nm,3,G1,G4,0.0,0.057409837283037855,20
Raw,raw,308 nm,4,G2,G7,0.0,0.10303131241106714,20
Raw,raw,308 nm,5,G2,G4,0.0,0.07784694916641718,20
Raw,raw,308 nm,6,G2,G4,0.0,0.0605956633580801,20
Raw,raw,308 nm,7,G2,G4,0.05,0.06550241520540484,20
Raw,raw,308 nm,8,G2,G4,0.2,0.02621135455897129,20
Raw,raw,308 nm,9,G3,G3,0.5,0.2880437825813127,20
Raw,raw,308 nm,10,G3,G3,0.55,0.19727098956476238,20
Raw,raw,308 nm,11,G3,G4,0.0,0.03821879190022728,20
Raw,raw,308 nm,12,G3,G4,0.0,0.05696348277484139,20
Raw,raw,308 nm,13,G4,G3,0.0,0.36077593982696116,20
Raw,raw,308 nm,14,G4,G4,0.65,0.043636235991276175,20
Raw,raw,308 nm,15,G4,G4,0.7,0.05522863952953423,20
Raw,raw,308 nm,16,G4,G4,0.6,0.04489077013857186,20
Raw,raw,308 nm,17,G4,G4,0.6,0.038417933727031305,20
Raw,raw,308 nm,18,G4,G4,0.6,0.0494439024698755,20
Raw,raw,308 nm,19,G4,G4,0.7,0.04949773610873645,20
Raw,raw,308 nm,20,G5,G3,0.0,0.3534543730827391,20
Raw,raw,308 nm,21,G5,G4,0.05,0.05493233476633055,20
Raw,raw,308 nm,22,G5,G4,0.0,0.06633547588347008,20
Raw,raw,308 nm,23,G5,G4,0.0,0.03694606731265014,20
Raw,raw,308 nm,24,G6,G6,0.55,0.18656743486178903,20
Raw,raw,308 nm,26,G6,G3,0.15,0.48226162657014937,20
Raw,raw,308 nm,27,G6,G4,0.05,0.7743826658950584,20
Raw,raw,308 nm,28,G6,G3,0.45,0.4957552526332235,20
Raw,raw,308 nm,30,G6,G4,0.1,0.0581583392028438,20
Raw,raw,308 nm,31,G6,G4,0.3,0.050178376460846066,20
Raw,raw,308 nm,32,G6,G4,0.05,0.0697388454281323,20
Raw,raw,308 nm,33,G6,G4,0.1,0.0555061492974796,20
Raw,raw,308 nm,34,G7,G7,0.8,0.16534870999221166,20
Raw,raw,308 nm,36,G7,G7,0.85,0.21051430083734052,20
Raw,raw,308 nm,37,G8,G7,0.0,0.10974344020401987,20
Raw,raw,308 nm,38,G8,G4,0.0,0.054793144388184375,20
Raw,raw,308 nm,39,G9,G3,0.0,0.15189616366347508,20
Raw,raw,308 nm,40,G9,G3,0.0,0.08831970838077076,20
Raw,raw,308 nm,41,G10,G4,0.0,0.0697994144638064,20
Raw,raw,308 nm,42,G10,G4,0.0,0.03263675007553587,20
Raw,raw,308 nm,43,G11,G4,0.0,0.07093826082417706,20
Raw,raw,308 nm,44,G11,G4,0.0,0.03149792594865765,20
Raw,raw,440 nm,1,G1,G6,0.0,0.1270346346141282,20
Raw,raw,440 nm,3,G1,G4,0.0,0.05651026749713768,20
Raw,raw,440 nm,4,G2,G1,0.0,0.23531833728974907,20
Raw,raw,440 nm,5,G2,G4,0.05,0.0790111204056994,20
Raw,raw,440 nm,6,G2,G4,0.05,0.06041566859836032,20
Raw,raw,440 nm,7,G2,G4,0.05,0.06370991883048567,20
Raw,raw,440 nm,8,G2,G4,0.2,0.02313880313771085,20
Raw,raw,440 nm,9,G3,G6,0.0,0.2125599976781894,20
Raw,raw,440 nm,10,G3,G4,0.05,0.19570925451385132,20
Raw,raw,440 nm,11,G3,G4,0.0,0.03720437349345396,20
Raw,raw,440 nm,12,G3,G4,0.0,0.056173963913864436,20
Raw,raw,440 nm,13,G4,G3,0.0,0.530132288991011,20
Raw,raw,440 nm,14,G4,G4,0.75,0.04158276898419964,20
Raw,raw,440 nm,15,G4,G4,0.6,0.054161018000608574,20
Raw,raw,440 nm,16,G4,G4,0.65,0.041928245791621875,20
Raw,raw,440 nm,17,G4,G4,0.65,0.03896150021504985,20
Raw,raw,440 nm,18,G4,G4,0.6,0.04905394156246753,20
Raw,raw,440 nm,19,G4,G4,0.75,0.04934312026082199,20
Raw,raw,440 nm,20,G5,G3,0.0,0.7763961275355638,20
Raw,raw,440 nm,21,G5,G4,0.05,0.05499463760189964,20
Raw,raw,440 nm,22,G5,G4,0.0,0.06627932863605421,20
Raw,raw,440 nm,23,G5,G4,0.0,0.03362189399557344,20
Raw,raw,440 nm,24,G6,G6,0.85,0.4359996192481013,20
Raw,raw,440 nm,26,G6,G8,0.2,0.1840464709601017,20
Raw,raw,440 nm,27,G6,G6,0.55,0.19571783557152914,20
Raw,raw,440 nm,28,G6,G6,0.75,0.1866985578271293,20
Raw,raw,440 nm,30,G6,G4,0.05,0.058043120150378026,20
Raw,raw,440 nm,31,G6,G4,0.15,0.050013483066374265,20
Raw,raw,440 nm,32,G6,G4,0.1,0.07146883993481379,20
Raw,raw,440 nm,33,G6,G4,0.05,0.055135318984552414,20
Raw,raw,440 nm,34,G7,G6,0.25,0.13111520558950135,20
Raw,raw,440 nm,36,G7,G7,0.45,0.20620675758448787,20
Raw,raw,440 nm,37,G8,G6,0.0,0.3081394019522278,20
Raw,raw,440 nm,38,G8,G4,0.0,0.054980953508278675,20
Raw,raw,440 nm,39,G9,G6,0.0,0.15421474469713908,20
Raw,raw,440 nm,40,G9,G6,0.0,0.21020746584735756,20
Raw,raw,440 nm,41,G10,G4,0.0,0.06979398322405578,20
Raw,raw,440 nm,42,G10,G4,0.0,0.031937366022298824,20
Raw,raw,440 nm,43,G11,G4,0.0,0.07153493128725519,20
Raw,raw,440 nm,44,G11,G4,0.0,0.030196355999998516,20
Raw,raw,Combined,1,G1,G7,0.0,0.13251129348115515,20
Raw,raw,Combined,3,G1,G4,0.0,0.057487403427167474,20
Raw,raw,Combined,4,G2,G7,0.0,0.1554446004281678,20
Raw,raw,Combined,5,G2,G4,0.0,0.07959866005318927,20
Raw,raw,Combined,6,G2,G4,0.05,0.06090109494060517,20
Raw,raw,Combined,7,G2,G4,0.1,0.06366910704485808,20
Raw,raw,Combined,8,G2,G4,0.25,0.02285414047521952,20
Raw,raw,Combined,9,G3,G5,0.15,0.142495465425247,20
Raw,raw,Combined,10,G3,G4,0.0,0.14420920622927805,20
Raw,raw,Combined,11,G3,G4,0.0,0.037271493250310636,20
Raw,raw,Combined,12,G3,G4,0.0,0.05643463659645147,20
Raw,raw,Combined,13,G4,G3,0.0,0.4526286722517356,20
Raw,raw,Combined,14,G4,G4,0.85,0.041940414112454236,20
Raw,raw,Combined,15,G4,G4,0.7,0.054369702669864295,20
Raw,raw,Combined,16,G4,G4,0.75,0.041854789430760965,20
Raw,raw,Combined,17,G4,G4,0.7,0.03879865683789537,20
Raw,raw,Combined,18,G4,G4,0.7,0.049079101723781327,20
Raw,raw,Combined,19,G4,G4,0.9,0.04978158567830119,20
Raw,raw,Combined,20,G5,G3,0.0,0.458072851496994,20
Raw,raw,Combined,21,G5,G4,0.05,0.05515324442018156,20
Raw,raw,Combined,22,G5,G4,0.0,0.06688320582788944,20
Raw,raw,Combined,23,G5,G4,0.0,0.03397250919345428,20
Raw,raw,Combined,24,G6,G6,0.65,0.262668977363539,20
Raw,raw,Combined,26,G6,G6,0.6,0.20236223565151654,20
Raw,raw,Combined,27,G6,G6,0.4,0.20048663687844143,20
Raw,raw,Combined,28,G6,G6,0.65,0.4371539879609168,20
Raw,raw,Combined,30,G6,G4,0.0,0.05850313304977932,20
Raw,raw,Combined,31,G6,G4,0.05,0.04986166196916865,20
Raw,raw,Combined,32,G6,G4,0.05,0.07175785884933429,20
Raw,raw,Combined,33,G6,G4,0.0,0.055468881065134146,20
Raw,raw,Combined,34,G7,G7,0.65,0.16684552460124152,20
Raw,raw,Combined,36,G7,G7,0.55,0.1910844154333654,20
Raw,raw,Combined,37,G8,G7,0.0,0.1399429526087837,20
Raw,raw,Combined,38,G8,G4,0.0,0.054868206123011756,20
Raw,raw,Combined,39,G9,G1,0.0,0.13849713690463647,20
Raw,raw,Combined,40,G9,G7,0.0,0.06453850901046419,20
Raw,raw,Combined,41,G10,G4,0.0,0.07031537646313055,20
Raw,raw,Combined,42,G10,G4,0.0,0.031809754075958964,20
Raw,raw,Combined,43,G11,G4,0.0,0.07157891964881838,20
Raw,raw,Combined,44,G11,G4,0.0,0.030546199888197727,20
SNV,snv,250 nm,1,G1,G9,0.0,0.19702368060283737,20
SNV,snv,250 nm,3,G1,G4,0.0,0.7395559774704524,20
SNV,snv,250 nm,4,G2,G6,0.0,0.09585937786033136,20
SNV,snv,250 nm,5,G2,G2,0.55,0.10380723570777417,20
SNV,snv,250 nm,6,G2,G2,0.6,0.09720436030593435,20
SNV,snv,250 nm,7,G2,G2,0.55,0.09242808968486901,20
SNV,snv,250 nm,8,G2,G6,0.0,0.38825603326219327,20
SNV,snv,250 nm,9,G3,G6,0.0,0.25623306185452893,20
SNV,snv,250 nm,10,G3,G6,0.0,0.07085428990250231,20
SNV,snv,250 nm,11,G3,G4,0.0,0.33592707379221165,20
SNV,snv,250 nm,12,G3,G6,0.0,0.3092336601975442,20
SNV,snv,250 nm,13,G4,G9,0.05,0.111688689111109,20
SNV,snv,250 nm,14,G4,G4,0.85,0.24671059336655143,20
SNV,snv,250 nm,15,G4,G4,1.0,0.5909131223951192,20
SNV,snv,250 nm,16,G4,G4,1.0,0.5442825604981222,20
SNV,snv,250 nm,17,G4,G4,0.55,0.2513619517895972,20
SNV,snv,250 nm,18,G4,G4,0.65,0.16205269348503185,20
SNV,snv,250 nm,19,G4,G4,0.6,0.24757186822201266,20
SNV,snv,250 nm,20,G5,G6,0.0,0.4167690306285466,20
SNV,snv,250 nm,21,G5,G2,0.0,0.5239279369278449,20
SNV,snv,250 nm,22,G5,G4,0.0,0.16367506126463355,20
SNV,snv,250 nm,23,G5,G2,0.0,0.1367851600115989,20
SNV,snv,250 nm,24,G6,G6,0.6,0.12635023298512146,20
SNV,snv,250 nm,26,G6,G6,0.45,0.18574253375448602,20
SNV,snv,250 nm,27,G6,G6,0.8,0.15940061371409342,20
SNV,snv,250 nm,28,G6,G5,0.3,0.2264094132773525,20
SNV,snv,250 nm,30,G6,G6,0.7,0.2525814782201612,20
SNV,snv,250 nm,31,G6,G4,0.05,0.30452413381215593,20
SNV,snv,250 nm,32,G6,G6,0.65,0.2012439442096658,20
SNV,snv,250 nm,33,G6,G6,0.65,0.19100336257243705,20
SNV,snv,250 nm,34,G7,G6,0.0,0.18801355508518566,20
SNV,snv,250 nm,36,G7,G6,0.0,0.10877144383960577,20
SNV,snv,250 nm,37,G8,G6,0.0,0.14483470081047123,20
SNV,snv,250 nm,38,G8,G4,0.0,0.16744748120874892,20
SNV,snv,250 nm,39,G9,G6,0.0,0.13527782667962523,20
SNV,snv,250 nm,40,G9,G6,0.0,0.15142551143247665,20
SNV,snv,250 nm,41,G10,G2,0.0,0.13685624888904716,20
SNV,snv,250 nm,42,G10,G2,0.0,0.12055830616965191,20
SNV,snv,250 nm,43,G11,G2,0.0,0.15387073325983514,20
SNV,snv,250 nm,44,G11,G2,0.2,0.10827520185635517,20
SNV,snv,308 nm,1,G1,G7,0.0,0.08657345117375667,20
SNV,snv,308 nm,3,G1,G4,0.0,0.27888889945465534,20
SNV,snv,308 nm,4,G2,G7,0.0,0.11432436231633077,20
SNV,snv,308 nm,5,G2,G4,0.45,0.12015429368190511,20
SNV,snv,308 nm,6,G2,G4,0.45,0.15990895157564194,20
SNV,snv,308 nm,7,G2,G4,0.1,0.18732440947637544,20
SNV,snv,308 nm,8,G2,G6,0.05,0.15949214439275833,20
SNV,snv,308 nm,9,G3,G3,0.5,0.1601703220656488,20
SNV,snv,308 nm,10,G3,G5,0.1,0.13159325158814203,20
SNV,snv,308 nm,11,G3,G4,0.0,0.1235913242719009,20
SNV,snv,308 nm,12,G3,G4,0.0,0.11563394366878217,20
SNV,snv,308 nm,13,G4,G3,0.0,0.25305731032440104,20
SNV,snv,308 nm,14,G4,G6,0.4,0.08804780293053034,20
SNV,snv,308 nm,15,G4,G4,0.9,0.30473155299865634,20
SNV,snv,308 nm,16,G4,G4,1.0,0.19975240786617338,20
SNV,snv,308 nm,17,G4,G4,0.7,0.09161864710195729,20
SNV,snv,308 nm,18,G4,G4,0.45,0.14503068765839897,20
SNV,snv,308 nm,19,G4,G4,0.5,0.10297742802165089,20
SNV,snv,308 nm,20,G5,G3,0.0,0.41338536017110855,20
SNV,snv,308 nm,21,G5,G4,0.0,0.18452960345657096,20
SNV,snv,308 nm,22,G5,G4,0.0,0.10859367696199444,20
SNV,snv,308 nm,23,G5,G4,0.0,0.0753136763927488,20
SNV,snv,308 nm,24,G6,G6,0.5,0.10537224403099676,20
SNV,snv,308 nm,26,G6,G4,0.0,0.36092934924199216,20
SNV,snv,308 nm,27,G6,G4,0.0,0.3549965121941574,20
SNV,snv,308 nm,28,G6,G6,0.65,0.2847171587831826,20
SNV,snv,308 nm,30,G6,G6,0.5,0.0793997489672542,20
SNV,snv,308 nm,31,G6,G4,0.15,0.1516797586988606,20
SNV,snv,308 nm,32,G6,G6,0.55,0.1300820036514282,20
SNV,snv,308 nm,33,G6,G6,0.65,0.09126839324408006,20
SNV,snv,308 nm,34,G7,G7,0.8,0.09570311669451756,20
SNV,snv,308 nm,36,G7,G7,0.55,0.08991963379274655,20
SNV,snv,308 nm,37,G8,G7,0.0,0.09447086426965715,20
SNV,snv,308 nm,38,G8,G4,0.0,0.3703094727744977,20
SNV,snv,308 nm,39,G9,G7,0.0,0.09074256289141884,20
SNV,snv,308 nm,40,G9,G7,0.0,0.09074256289141884,20
SNV,snv,308 nm,41,G10,G4,0.0,0.09478909325252906,20
SNV,snv,308 nm,42,G10,G2,0.0,0.0511482264408354,20
SNV,snv,308 nm,43,G11,G2,0.0,0.12521818321462092,20
SNV,snv,308 nm,44,G11,G2,0.0,0.0807835056295414,20
SNV,snv,440 nm,1,G1,G6,0.0,0.3159533262152763,20
SNV,snv,440 nm,3,G1,G4,0.0,0.3258779500476486,20
SNV,snv,440 nm,4,G2,G6,0.0,0.15337863647298025,20
SNV,snv,440 nm,5,G2,G4,0.15,0.18223637659887432,20
SNV,snv,440 nm,6,G2,G4,0.35,0.12003965987559051,20
SNV,snv,440 nm,7,G2,G4,0.2,0.1652047102948056,20
SNV,snv,440 nm,8,G2,G6,0.0,0.21260554967540174,20
SNV,snv,440 nm,9,G3,G6,0.0,0.30147959181735395,20
SNV,snv,440 nm,10,G3,G6,0.0,0.11882033238987737,20
SNV,snv,440 nm,11,G3,G4,0.0,0.08710265909022719,20
SNV,snv,440 nm,12,G3,G6,0.0,0.1877614449857738,20
SNV,snv,440 nm,13,G4,G9,0.05,0.17623760978070638,20
SNV,snv,440 nm,14,G4,G6,0.2,0.15164031412806192,20
SNV,snv,440 nm,15,G4,G4,0.85,0.34088433798320344,20
SNV,snv,440 nm,16,G4,G4,0.65,0.10744080678638421,20
SNV,snv,440 nm,17,G4,G2,0.2,0.07872893209510601,20
SNV,snv,440 nm,18,G4,G8,0.15,0.5194859525555698,20
SNV,snv,440 nm,19,G4,G2,0.35,0.06524297578331474,20
SNV,snv,440 nm,20,G5,G6,0.0,0.3234950236943256,20
SNV,snv,440 nm,21,G5,G4,0.0,0.46099157473552455,20
SNV,snv,440 nm,22,G5,G4,0.05,0.16648720255974622,20
SNV,snv,440 nm,23,G5,G2,0.0,0.08525354632060045,20
SNV,snv,440 nm,24,G6,G6,0.8,0.4959423696937272,20
SNV,snv,440 nm,26,G6,G9,0.0,0.16165387465318215,20
SNV,snv,440 nm,27,G6,G6,0.75,0.2231179289586706,20
SNV,snv,440 nm,28,G6,G6,0.7,0.20004267806571513,20
SNV,snv,440 nm,30,G6,G6,0.85,0.18995489404640487,20
SNV,snv,440 nm,31,G6,G4,0.2,0.1055080226922565,20
SNV,snv,440 nm,32,G6,G6,0.7,0.19906873161859476,20
SNV,snv,440 nm,33,G6,G6,0.7,0.13055298312538505,20
SNV,snv,440 nm,34,G7,G6,0.0,0.12637007657949975,20
SNV,snv,440 nm,36,G7,G6,0.0,0.10845126882742073,20
SNV,snv,440 nm,37,G8,G6,0.0,0.17215819457297837,20
SNV,snv,440 nm,38,G8,G4,0.0,0.558152137304295,20
SNV,snv,440 nm,39,G9,G6,0.0,0.2515893696979114,20
SNV,snv,440 nm,40,G9,G6,0.0,0.1569402574796041,20
SNV,snv,440 nm,41,G10,G4,0.0,0.2542184069530034,20
SNV,snv,440 nm,42,G10,G6,0.0,0.07994298634039454,20
SNV,snv,440 nm,43,G11,G4,0.0,0.15372153443448036,20
SNV,snv,440 nm,44,G11,G2,0.0,0.07070927630128294,20
SNV,snv,Combined,1,G1,G9,0.0,0.1673310950368025,20
SNV,snv,Combined,3,G1,G4,0.0,0.49815704552251494,20
SNV,snv,Combined,4,G2,G7,0.0,0.11896460201051162,20
SNV,snv,Combined,5,G2,G4,0.25,0.10008587464309629,20
SNV,snv,Combined,6,G2,G2,0.5,0.114177619115916,20
SNV,snv,Combined,7,G2,G3,0.1,0.16042460790563273,20
SNV,snv,Combined,8,G2,G6,0.0,0.4664844484769296,20
SNV,snv,Combined,9,G3,G6,0.2,0.16231258467140336,20
SNV,snv,Combined,10,G3,G5,0.05,0.15089857509705942,20
SNV,snv,Combined,11,G3,G4,0.0,0.24437015973387885,20
SNV,snv,Combined,12,G3,G6,0.05,0.22010602583667996,20
SNV,snv,Combined,13,G4,G3,0.2,0.10757343793555649,20
SNV,snv,Combined,14,G4,G4,0.55,0.06612249337376715,20
SNV,snv,Combined,15,G4,G4,1.0,0.5149270483312285,20
SNV,snv,Combined,16,G4,G4,1.0,0.34864985710800356,20
SNV,snv,Combined,17,G4,G4,0.95,0.18678330328241105,20
SNV,snv,Combined,18,G4,G4,0.9,0.2640578590730328,20
SNV,snv,Combined,19,G4,G4,0.9,0.18036343754197684,20
SNV,snv,Combined,20,G5,G3,0.0,0.2776844984898874,20
SNV,snv,Combined,21,G5,G4,0.0,0.30837603669045743,20
SNV,snv,Combined,22,G5,G4,0.15,0.1117985940834075,20
SNV,snv,Combined,23,G5,G6,0.0,0.09822651987823611,20
SNV,snv,Combined,24,G6,G6,0.75,0.20010573292095996,20
SNV,snv,Combined,26,G6,G4,0.05,0.1848252384271487,20
SNV,snv,Combined,27,G6,G6,0.95,0.33118222821018184,20
SNV,snv,Combined,28,G6,G6,0.5,0.17260478505315768,20
SNV,snv,Combined,30,G6,G6,0.75,0.2651385487357801,20
SNV,snv,Combined,31,G6,G4,0.1,0.16200858916157967,20
SNV,snv,Combined,32,G6,G6,0.65,0.22392498488173232,20
SNV,snv,Combined,33,G6,G6,0.65,0.16411540494090762,20
SNV,snv,Combined,34,G7,G9,0.2,0.085925307038287,20
SNV,snv,Combined,36,G7,G9,0.25,0.10060410979334225,20
SNV,snv,Combined,37,G8,G9,0.0,0.13526538903357294,20
SNV,snv,Combined,38,G8,G4,0.0,0.20954553203110077,20
SNV,snv,Combined,39,G9,G7,0.0,0.08758294037049863,20
SNV,snv,Combined,40,G9,G7,0.0,0.07002019484952339,20
SNV,snv,Combined,41,G10,G4,0.0,0.1283292713645877,20
SNV,snv,Combined,42,G10,G6,0.0,0.15036744279634257,20
SNV,snv,Combined,43,G11,G4,0.0,0.1408219741216052,20
SNV,snv,Combined,44,G11,G2,0.0,0.09374930590475358,20
