Preprocessing,PreprocessingCode,Modality,SampleId,ActualGroup,MostFrequentPredictedGroup,CorrectRate,MeanDecisionMargin,PredictionCount
AsLS + L2,asls_l2,308 nm,27,G6,G6,0.65,2.2092512965315487,20
AsLS + L2,asls_l2,308 nm,28,G6,G6,0.65,0.30515665464109637,20
AsLS + L2,asls_l2,308 nm,30,G6,G2,0.2,0.06317560615754501,20
AsLS + L2,asls_l2,308 nm,31,G6,G4,0.1,0.21702381780119673,20
AsLS + L2,asls_l2,308 nm,32,G6,G2,0.3,0.05754097200494561,20
AsLS + L2,asls_l2,308 nm,33,G6,G6,0.45,0.05402708096199184,20
AsLS + L2,asls_l2,308 nm,34,G7,G7,0.8,0.10832125366922259,20
AsLS + L2,asls_l2,308 nm,36,G7,G8,0.25,0.19144627701510147,20
AsLS + L2,asls_l2,308 nm,37,G8,G7,0.0,0.1348130144468527,20
AsLS + L2,asls_l2,308 nm,38,G8,G4,0.0,0.446888690271763,20
AsLS + L2,asls_l2,308 nm,39,G9,G8,0.0,0.24058477295204878,20
AsLS + L2,asls_l2,308 nm,40,G9,G8,0.0,0.24058477295203723,20
AsLS + L2,asls_l2,308 nm,41,G10,G2,0.0,0.0974437943686297,20
AsLS + L2,asls_l2,308 nm,42,G10,G2,0.0,0.07420562321096333,20
AsLS + L2,asls_l2,308 nm,43,G11,G2,0.0,0.114021157671222,20
AsLS + L2,asls_l2,308 nm,44,G11,G2,0.0,0.10981365059890853,20
AsLS + L2,asls_l2,440 nm,1,G1,G9,0.0,0.4201736426809882,20
AsLS + L2,asls_l2,440 nm,3,G1,G4,0.0,0.43539389722845856,20
AsLS + L2,asls_l2,440 nm,4,G2,G6,0.0,0.21587542293960144,20
AsLS + L2,asls_l2,440 nm,5,G2,G2,0.5,0.13099875762404734,20
AsLS + L2,asls_l2,440 nm,6,G2,G2,0.65,0.13361614022997584,20
AsLS + L2,asls_l2,440 nm,7,G2,G2,0.5,0.14413452605835914,20
AsLS + L2,asls_l2,440 nm,8,G2,G6,0.0,0.2370211145679666,20
AsLS + L2,asls_l2,440 nm,9,G3,G6,0.0,0.20981258047206636,20
AsLS + L2,asls_l2,440 nm,10,G3,G6,0.0,0.12627579393389263,20
AsLS + L2,asls_l2,440 nm,11,G3,G4,0.0,0.09680146066269497,20
AsLS + L2,asls_l2,440 nm,12,G3,G4,0.0,0.17073789099612935,20
AsLS + L2,asls_l2,440 nm,13,G4,G6,0.0,0.21175300125091537,20
AsLS + L2,asls_l2,440 nm,14,G4,G4,0.45,0.09199318799928088,20
AsLS + L2,asls_l2,440 nm,15,G4,G4,0.8,0.3528072054863362,20
AsLS + L2,asls_l2,440 nm,16,G4,G4,0.75,0.17313587210357723,20
AsLS + L2,asls_l2,440 nm,17,G4,G4,0.35,0.07293139679430356,20
AsLS + L2,asls_l2,440 nm,18,G4,G8,0.3,0.7678305928000991,20
AsLS + L2,asls_l2,440 nm,19,G4,G6,0.2,0.05903232527533804,20
AsLS + L2,asls_l2,440 nm,20,G5,G6,0.0,0.22014688785979683,20
AsLS + L2,asls_l2,440 nm,21,G5,G2,0.05,0.2699335397164925,20
AsLS + L2,asls_l2,440 nm,22,G5,G4,0.0,0.16744172014145325,20
AsLS + L2,asls_l2,440 nm,23,G5,G6,0.0,0.0757671835533969,20
AsLS + L2,asls_l2,440 nm,24,G6,G6,0.8,0.395216447064382,20
AsLS + L2,asls_l2,440 nm,26,G6,G9,0.1,0.18670138352962856,20
AsLS + L2,asls_l2,440 nm,27,G6,G6,0.9,0.25321025442069345,20
AsLS + L2,asls_l2,440 nm,28,G6,G6,0.6,0.14054434741744476,20
AsLS + L2,asls_l2,440 nm,30,G6,G6,0.5,0.1269254011839091,20
AsLS + L2,asls_l2,440 nm,31,G6,G4,0.3,0.13520483189483007,20
