Components,AccuracyMean,AccuracyStd,BalancedAccuracyMean,BalancedAccuracyStd,MacroF1Mean,MacroF1Std,Splits
2,0.26375000000000004,0.054287340924154534,0.1446969696969697,0.030870750326652225,0.08999369733450088,0.025330967008571525,40
3,0.28875,0.06148535368645705,0.1871212121212121,0.05279947543268232,0.12788030893645866,0.04673576391914956,40
4,0.3175,0.0788946067507721,0.23731060606060606,0.06068825768272326,0.1676942501942502,0.05736734294451569,40
5,0.32,0.07909747313543118,0.24602272727272725,0.061185735483434145,0.18286952946043855,0.05816422163353992,40
6,0.33625,0.08842460209924757,0.2649621212121212,0.06923105946088039,0.2140991205763933,0.07038524615783093,40
7,0.35625,0.08179673054716263,0.2893939393939394,0.056955932473959574,0.24048503264412355,0.0610237762370526,40
8,0.36124999999999996,0.08584982415644372,0.30303030303030304,0.06834350163906412,0.25825622609713517,0.06375054664252047,40
9,0.38375,0.08651922863200368,0.3505681818181818,0.0651914258595701,0.30491063229699594,0.05943713738681676,40
10,0.38625,0.09934884150151078,0.3712121212121212,0.08641099316398934,0.3204891194663922,0.07571335278245832,40
