Modality,Year,GroupA,GroupB,GroupASize,GroupBSize,CentroidCorrelationSimilarity,CorrelationDistance
Combined,1404,G11,G2,2,4,0.9579990326533215,0.042000967346678464
Combined,1404,G10,G2,2,4,0.9556072855284916,0.04439271447150839
Combined,1404,G3,G6,2,4,0.9353064431639248,0.06469355683607525
Combined,1404,G11,G6,2,4,0.9323277954702953,0.06767220452970468
Combined,1404,G2,G6,4,4,0.9274379581279243,0.07256204187207571
Combined,1404,G10,G4,2,6,0.9047656282569261,0.09523437174307392
Combined,1404,G10,G5,2,3,0.8966202651652393,0.1033797348347607
Combined,1404,G4,G5,6,3,0.8958977667765555,0.10410223322344447
Combined,1404,G11,G3,2,2,0.8889689024857168,0.1110310975142832
Combined,1404,G2,G5,4,3,0.8855125683082751,0.11448743169172493
Combined,1404,G10,G11,2,2,0.8839021889943416,0.11609781100565841
Combined,1404,G2,G3,4,2,0.8782818688925607,0.12171813110743934
Combined,1404,G3,G4,2,6,0.874834742585518,0.12516525741448203
Combined,1404,G5,G6,3,4,0.8601405109816163,0.13985948901838374
Combined,1404,G10,G6,2,4,0.8527741964728376,0.1472258035271624
Combined,1404,G2,G4,4,6,0.8489096140725254,0.1510903859274746
Combined,1404,G3,G5,2,3,0.8451891819724318,0.15481081802756824
Combined,1404,G11,G5,2,3,0.8373550595727308,0.16264494042726918
Combined,1404,G10,G3,2,2,0.8357013021696695,0.16429869783033046
Combined,1404,G4,G6,6,4,0.8305254981350803,0.16947450186491975
Combined,1404,G11,G4,2,6,0.7745141382125924,0.2254858617874076
