Normalization,Modality,PC,YearEtaSquared
MaxNormalized,Combined,PC2,1.079510103226314e-06
MaxNormalized,Combined,PC3,0.00042082506991114165
MaxNormalized,Combined,PC4,0.002165965417422438
MaxNormalized,Combined,PC5,1.2173615380272888e-05
MaxNormalized,Combined,PC6,0.004331170894704041
MaxNormalized,Combined,PC7,0.004160487010403882
MaxNormalized,Combined,PC8,0.0008329277025583262
MaxNormalized,Combined,PC9,0.00034582368979771026
MaxNormalized,Combined,PC10,4.208792015702114e-05
SNV,250 nm,PC1,0.9815409473657084
SNV,250 nm,PC2,0.0006084302090500995
SNV,250 nm,PC3,0.006840432895283059
SNV,250 nm,PC4,0.0002706753099630323
SNV,250 nm,PC5,0.0079483152594324
SNV,250 nm,PC6,1.2549107581732501e-06
SNV,250 nm,PC7,1.6013293883952364e-07
SNV,250 nm,PC8,0.0004943625227430464
SNV,250 nm,PC9,0.0014263138270812381
SNV,250 nm,PC10,2.5480554461248592e-05
SNV,308 nm,PC1,0.948952525393924
SNV,308 nm,PC2,7.990574614576417e-05
SNV,308 nm,PC3,0.012898983272637273
SNV,308 nm,PC4,0.00045249058220241096
SNV,308 nm,PC5,0.00824809181888581
SNV,308 nm,PC6,0.003313754496918227
SNV,308 nm,PC7,0.002426747747599547
SNV,308 nm,PC8,0.009602819569698176
SNV,308 nm,PC9,0.0027688621850137565
SNV,308 nm,PC10,0.003071323302947028
SNV,440 nm,PC1,0.9708303660675027
SNV,440 nm,PC2,0.004983822379702092
SNV,440 nm,PC3,0.019761440647186896
SNV,440 nm,PC4,0.0005429360846357646
SNV,440 nm,PC5,0.0013670883824435057
SNV,440 nm,PC6,0.00012971132485815437
SNV,440 nm,PC7,0.0012331101107906075
SNV,440 nm,PC8,1.8001588541464274e-06
SNV,440 nm,PC9,2.811096014648392e-05
SNV,440 nm,PC10,7.310171434392734e-05
SNV,Combined,PC1,0.9820863886127982
SNV,Combined,PC2,0.0013494020003969084
SNV,Combined,PC3,0.008916573215383512
SNV,Combined,PC4,0.0005061064688254574
SNV,Combined,PC5,0.003284778465068662
SNV,Combined,PC6,0.0011324706759991636
SNV,Combined,PC7,1.383527407298693e-06
SNV,Combined,PC8,0.0003770189023446713
SNV,Combined,PC9,0.00013006279543768953
SNV,Combined,PC10,0.0002411814724035598
AsLS+SNV,250 nm,PC1,0.9812631880007726
AsLS+SNV,250 nm,PC2,0.00040741166712816737
