SampleId,HPLCNumber,Group,Region,HarvestYear,Min,Median,Mean,Std,Max,PeakTimeMin,AUC,NegativePoints,MissingPoints
1,1,G1,سمنان,1394,-37172.0,-7.0,23628.09537037037,140200.55437079503,1845250.0,16.8,708873.0344534,929,0
3,04-10,G1,سمنان,1404,-0.0001816154,0.00010353325,0.015970266682576,0.11874631745347429,1.952058,17.91667,0.4791086183212324,248,0
4,3,G2,اصفهان,1394,-44084.0,-42.5,32767.627962962968,203192.72059333694,2586113.0,16.71667,983054.6071826417,1132,0
5,04-27,G2,اصفهان,1404,-0.0002074093,0.0001604706,0.01758148694230589,0.11868681344856072,1.875185,17.98333,0.527445084819028,133,0
6,04-19,G2,اصفهان,1404,-0.0001768172,0.00016006825,0.01456168693835569,0.10519030915627599,1.907963,18.0,0.43685172654530036,197,0
7,04-20,G2,اصفهان,1404,-0.0001939684,0.00016950070000000002,0.013078595274363109,0.09366251018023608,1.77411,18.0,0.3923583892478216,420,0
8,04-21,G2,اصفهان,1404,-0.0002044588,6.5907835e-05,0.014791524977387331,0.1199922074032308,1.963765,17.98333,0.44374706741374603,302,0
9,5,G3,زنجان,1394,-37377.0,-94.66666666666666,24741.93666666667,173577.3662363891,2461563.6666666665,16.7,742284.3043815902,1152,0
10,6,G3,زنجان,1394,-43411.0,40.0,30331.29092592593,182910.08335146972,2534133.3333333335,16.68333,909963.990532545,797,0
11,04-13,G3,زنجان,1404,-0.0001953095,7.863343e-05,0.014280494046558278,0.10645499447135423,1.887445,17.96667,0.4284159255481302,362,0
12,04-22,G3,زنجان,1404,-0.0001691878,0.00012215975,0.01622001415691772,0.1146593558192597,1.931494,18.05,0.48660129717529704,262,0
13,7,G4,اراک,1394,-44892.333333333336,129.16666666666669,36056.229999999996,191348.79366533726,2527990.6666666665,16.71667,1081712.9072046902,697,0
14,04-4,G4,اراک,1404,-0.0002670139,7.8573825e-05,0.015865197778224687,0.12550626318000155,1.995634,17.93333,0.4759580669033648,353,0
15,04-5,G4,اراک,1404,-0.0001091212,0.0001643449,0.017265284813447725,0.12429828362395678,1.993142,17.91667,0.5179590489489436,76,0
16,04-6,G4,اراک,1404,-0.0002074689,6.957352e-05,0.015470251098857333,0.114534859816637,1.937741,17.91667,0.4641084864064387,413,0
17,04-7,G4,اراک,1404,-0.0001646429,7.3298815e-05,0.017154513860449888,0.12145704775947272,1.952495,18.0,0.514635876728376,622,0
18,04-14,G4,اراک,1404,-0.0003344864,4.7937034999999994e-05,0.01973039062869789,0.12017927712730145,1.673002,18.01667,0.591912092610803,760,0
19,04-15,G4,اراک,1404,-0.000189811,7.69794e-05,0.016530247897122,0.12051225201042892,1.969864,17.98333,0.49590891432291406,463,0
20,10,G5,خراسان شمالی,1394,-39889.333333333336,-299.5,19589.497592592594,130416.97012009376,1944272.0,16.71667,587716.4358294415,1166,0
21,04-3,G5,خراسان شمالی,1404,-5.502999e-05,0.00035636125,0.017591298255023112,0.13240353077771735,2.011344,17.83333,0.5277373974129772,25,0
22,04-12,G5,خراسان شمالی,1404,-0.0001091212,0.0001817495,0.015091089030507722,0.11443733184963673,1.952964,17.95,0.452732851400577,67,0
23,04-23,G5,خراسان شمالی,1404,-0.0002217144,9.180605499999999e-05,0.01310887468819589,0.09547177109633692,1.73738,18.01667,0.3932679513060897,245,0
24,17,G6,خراسان رضوی,1394,-46495.666666666664,-17.0,33208.72462962963,197785.1116208935,2569096.6666666665,16.66667,996289.2427155765,966,0
26,20,G6,خراسان رضوی,1394,-40004.666666666664,26.333333333333332,23537.498703703706,133264.84514012354,1800348.0,16.78333,706148.9542855,868,0
27,21,G6,خراسان رضوی,1394,-42970.333333333336,-67.33333333333333,31943.091666666667,192560.9789039801,2432118.3333333335,16.73333,958319.0616980983,1128,0
28,22,G6,خراسان رضوی,1394,-38567.0,-0.3333333333333333,21741.937037037034,130232.1741272713,1753962.3333333333,16.71667,652283.738862915,900,0
30,04-1,G6,خراسان رضوی,1404,-0.0003639758,-4.211068e-05,0.016149444914533285,0.1259912105250684,1.957621,18.01667,0.48448536742412107,1022,0
31,04-11,G6,خراسان رضوی,1404,-0.0001476109,0.0001244247,0.014778012138229614,0.11638474194596517,1.914611,17.96667,0.4433409547499697,92,0
32,04-16,G6,خراسان رضوی,1404,-0.0002340376,3.585219e-05,0.01597967546874678,0.12566262820591592,1.979964,18.01667,0.4793915199143555,716,0
33,04-18,G6,خراسان رضوی,1404,-0.0004217178,8.746981499999999e-06,0.016593632272044776,0.12509230042073338,1.950425,18.03333,0.49781129018556497,846,0
34,24,G7,فارس,1394,-43143.0,-5.333333333333334,30290.144074074073,189432.5496776108,2532105.3333333335,16.73333,908730.36648441,916,0
36,25,G7,فارس,1394,-39143.0,13.833333333333332,31808.646851851856,195786.79798322552,2610488.0,16.71667,954281.3041403119,881,0
37,26,G8,قم,1394,-36468.333333333336,30.666666666666668,31445.887777777778,190855.96679675733,2529674.3333333335,16.7,943400.0764580384,848,0
38,04-2,G8,قم,1404,-0.0002138764,0.0002422184,0.015110644472258888,0.09936664798686606,1.534754,18.03333,0.45331960720899556,121,0
39,28,G9,یزد,1394,-38465.0,-47.0,29705.435740740748,187295.17516341916,2527594.0,16.75,891189.367255545,1112,0
40,29,G9,یزد,1394,-40006.0,-37.66666666666667,29523.81777777778,178057.47216469253,2510628.0,16.73333,885741.5684675282,996,0
41,04-8,G10,قزوین,1404,-0.0001471937,0.0001477301,0.01649641075564192,0.11238718892113264,1.831881,17.96667,0.494892847384555,166,0
42,04-9,G10,قزوین,1404,-0.0001074821,0.0001876801,0.01737551076034461,0.12521821030944547,1.932395,17.98333,0.5212659049417191,78,0
43,04-24,G11,لرستان,1404,-0.0001755804,0.00014676155,0.015111135312060332,0.1055465088009482,1.858914,18.01667,0.4533347548997047,153,0
44,04-25,G11,لرستان,1404,-0.0002664179,0.00011469425,0.015046075165115613,0.10916531274945679,1.881179,18.01667,0.45138435046389647,173,0
