Modality,GroupA,GroupB,CentroidCorrelationSimilarity,CorrelationDistance
308 nm,قم,لرستان,0.39168308587877754,0.6083169141212225
308 nm,قزوین,قم,0.3688137050986798,0.6311862949013203
308 nm,سمنان,یزد,0.3412622055037522,0.6587377944962478
308 nm,خراسان شمالی,فارس,0.30724963317271375,0.6927503668272863
308 nm,زنجان,فارس,0.295527823722887,0.704472176277113
308 nm,اصفهان,فارس,0.2634605953553418,0.7365394046446583
308 nm,اراک,فارس,0.2620984333259485,0.7379015666740515
308 nm,خراسان رضوی,فارس,0.1432129382467974,0.8567870617532026
308 nm,فارس,قزوین,0.13915591041413242,0.8608440895858676
308 nm,خراسان شمالی,یزد,0.10378587454153927,0.8962141254584607
308 nm,فارس,لرستان,0.07732383819568134,0.9226761618043187
308 nm,اراک,یزد,0.0696502373309998,0.9303497626690002
308 nm,اصفهان,یزد,0.04711819980113881,0.9528818001988612
308 nm,قزوین,یزد,0.0370173957918592,0.9629826042081409
308 nm,زنجان,یزد,0.03535345175666335,0.9646465482433366
308 nm,خراسان رضوی,یزد,0.014140085446406728,0.9858599145535932
308 nm,لرستان,یزد,0.008091384815043434,0.9919086151849565
440 nm,فارس,یزد,0.9816348057108673,0.018365194289132747
440 nm,خراسان رضوی,زنجان,0.9526548238125536,0.04734517618744638
440 nm,اصفهان,قزوین,0.947184229094478,0.05281577090552203
440 nm,اراک,قزوین,0.9155767697698074,0.0844232302301926
440 nm,اصفهان,لرستان,0.9123959582938297,0.08760404170617031
440 nm,زنجان,قم,0.8786912780346672,0.12130872196533282
440 nm,اراک,اصفهان,0.873743964837503,0.12625603516249695
440 nm,قزوین,لرستان,0.873164859308513,0.12683514069148705
440 nm,اراک,خراسان شمالی,0.8725407139502874,0.12745928604971257
440 nm,خراسان رضوی,قم,0.8692328100570134,0.13076718994298664
440 nm,اصفهان,خراسان شمالی,0.8468624560649315,0.1531375439350685
440 nm,خراسان رضوی,خراسان شمالی,0.8109152760909819,0.1890847239090181
440 nm,اصفهان,خراسان رضوی,0.8051346984400453,0.19486530155995474
440 nm,خراسان شمالی,قزوین,0.7980555719042166,0.2019444280957834
440 nm,خراسان شمالی,زنجان,0.788410915841888,0.21158908415811195
440 nm,اصفهان,زنجان,0.7581765884907044,0.24182341150929565
440 nm,اراک,لرستان,0.7307182741140898,0.26928172588591015
440 nm,خراسان رضوی,فارس,0.7027975358044696,0.2972024641955304
440 nm,زنجان,فارس,0.7027485542769198,0.29725144572308015
440 nm,اراک,خراسان رضوی,0.6999906451263207,0.3000093548736793
440 nm,اراک,زنجان,0.6976723011328091,0.3023276988671909
440 nm,خراسان شمالی,سمنان,0.696566853620519,0.30343314637948104
440 nm,خراسان شمالی,لرستان,0.6905324594441002,0.30946754055589976
440 nm,فارس,قم,0.6871071229348052,0.31289287706519475
440 nm,خراسان رضوی,یزد,0.6771612664129291,0.32283873358707094
440 nm,اراک,سمنان,0.6688392854320756,0.3311607145679244
440 nm,خراسان رضوی,لرستان,0.6674355610044239,0.3325644389955761
440 nm,قم,یزد,0.649430633865394,0.350569366134606
440 nm,زنجان,یزد,0.6376558475864144,0.36234415241358564
440 nm,خراسان رضوی,قزوین,0.6289804626445692,0.3710195373554308
440 nm,سمنان,یزد,0.6235052341928428,0.37649476580715724
440 nm,خراسان شمالی,قم,0.6212033794374437,0.37879662056255625
440 nm,خراسان رضوی,سمنان,0.6104862798832175,0.38951372011678254
440 nm,زنجان,قزوین,0.5896992669869514,0.4103007330130486
440 nm,زنجان,لرستان,0.5896964114259916,0.4103035885740084
440 nm,اصفهان,قم,0.5814324252002666,0.4185675747997334
440 nm,سمنان,فارس,0.5793300384329352,0.4206699615670648
440 nm,زنجان,سمنان,0.54176238410213,0.45823761589787004
440 nm,قم,لرستان,0.5191689547019142,0.48083104529808585
440 nm,اراک,قم,0.5020703570918198,0.4979296429081802
440 nm,اصفهان,سمنان,0.4471029613262701,0.55289703867373
440 nm,سمنان,قم,0.4329236200282413,0.5670763799717586
440 nm,خراسان شمالی,فارس,0.4303786653502214,0.5696213346497786
440 nm,سمنان,قزوین,0.42740313997008766,0.5725968600299123
440 nm,خراسان شمالی,یزد,0.41467354731753586,0.5853264526824642
440 nm,قزوین,قم,0.37259380983261003,0.62740619016739
440 nm,اصفهان,فارس,0.23546703162824734,0.7645329683717527
440 nm,اصفهان,یزد,0.2234332873191354,0.7765667126808646
440 nm,سمنان,لرستان,0.20793524423435492,0.7920647557656451
440 nm,اراک,فارس,0.1877568228578015,0.8122431771421985
440 nm,اراک,یزد,0.1770033559592656,0.8229966440407344
440 nm,فارس,قزوین,-0.0025262149084396,1.0025262149084395
440 nm,قزوین,یزد,-0.003277644960279492,1.0032776449602796
440 nm,فارس,لرستان,-0.005250344378056306,1.0052503443780563
440 nm,لرستان,یزد,-0.006403255236537453,1.0064032552365374
Combined,اصفهان,قزوین,0.9284979660834971,0.0715020339165029
Combined,اصفهان,لرستان,0.9253854226351288,0.0746145773648712
Combined,اراک,قزوین,0.8879526735028235,0.11204732649717652
Combined,قزوین,لرستان,0.8839021889943268,0.11609781100567318
Combined,اراک,خراسان شمالی,0.8690047284926535,0.13099527150734647
Combined,اصفهان,خراسان شمالی,0.8685715538275535,0.13142844617244653
Combined,اراک,اصفهان,0.8545296512498723,0.14547034875012765
Combined,خراسان رضوی,زنجان,0.8505812639237272,0.14941873607627276
Combined,خراسان شمالی,قزوین,0.8255449297120092,0.1744550702879908
Combined,فارس,یزد,0.8108235709555404,0.18917642904445964
Combined,اصفهان,خراسان رضوی,0.7908436119984502,0.2091563880015498
Combined,خراسان رضوی,خراسان شمالی,0.77760530131135,0.22239469868865003
Combined,خراسان شمالی,زنجان,0.7704670861491484,0.22953291385085162
Combined,خراسان شمالی,لرستان,0.7685892725138253,0.23141072748617475
Combined,اراک,لرستان,0.7583543286166545,0.24164567138334547
Combined,زنجان,قم,0.7519566875919051,0.24804331240809485
Combined,خراسان رضوی,قم,0.7392045231627175,0.26079547683728255
Combined,اصفهان,زنجان,0.7376619586048262,0.2623380413951738
Combined,اراک,سمنان,0.7198108128663581,0.28018918713364194
Combined,اراک,خراسان رضوی,0.7055997435137259,0.2944002564862741
Combined,اراک,زنجان,0.7005118772558296,0.29948812274417036
Combined,خراسان شمالی,سمنان,0.691936476940215,0.308063523059785
Combined,خراسان رضوی,لرستان,0.6834204155154487,0.31657958448455126
Combined,سمنان,فارس,0.6479120230214319,0.3520879769785681
Combined,خراسان رضوی,قزوین,0.6309420894204134,0.3690579105795866
Combined,فارس,قم,0.6277884649560673,0.3722115350439327
Combined,قم,یزد,0.6158486215218468,0.38415137847815317
Combined,خراسان شمالی,قم,0.6142737367888866,0.38572626321111336
Combined,زنجان,لرستان,0.6010168416904024,0.39898315830959763
Combined,خراسان رضوی,سمنان,0.600096089866986,0.39990391013301396
Combined,اصفهان,قم,0.5851959473511551,0.4148040526488449
Combined,زنجان,سمنان,0.5837258482564147,0.4162741517435853
Combined,زنجان,قزوین,0.5669132984427143,0.4330867015572857
Combined,سمنان,قم,0.5616363059326521,0.4383636940673479
Combined,اراک,قم,0.560747028372624,0.439252971627376
Combined,زنجان,فارس,0.5463583866328403,0.4536416133671597
Combined,سمنان,یزد,0.5377646362319941,0.4622353637680059
Combined,اصفهان,سمنان,0.5330859046690977,0.46691409533090233
Combined,خراسان رضوی,فارس,0.5205355531771644,0.4794644468228356
Combined,سمنان,قزوین,0.5159378480885757,0.4840621519114243
Combined,قم,لرستان,0.48839334707002924,0.5116066529299708
Combined,زنجان,یزد,0.4539698141339603,0.5460301858660397
Combined,خراسان رضوی,یزد,0.4523812776735152,0.5476187223264848
Combined,قزوین,قم,0.40111872219270356,0.5988812778072965
Combined,خراسان شمالی,فارس,0.3592644124290097,0.6407355875709904
Combined,سمنان,لرستان,0.33703414085551187,0.6629658591444881
Combined,خراسان شمالی,یزد,0.2829389570366577,0.7170610429633423
Combined,اصفهان,فارس,0.23857117256962854,0.7614288274303714
Combined,اراک,فارس,0.19886036896589743,0.8011396310341026
Combined,اصفهان,یزد,0.16531743316403527,0.8346825668359648
Combined,اراک,یزد,0.13471787583645078,0.8652821241635492
Combined,فارس,قزوین,0.03574128512295261,0.9642587148770474
Combined,فارس,لرستان,0.013910936539295218,0.9860890634607048
Combined,قزوین,یزد,0.0036463490005877214,0.9963536509994123
Combined,لرستان,یزد,-0.007814902761979717,1.0078149027619798
