Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ActualGroupTotal,WithinActualRate,IsCorrect
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G6,22,140,0.15714285714285714,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G5,8,140,0.05714285714285714,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G1,6,140,0.04285714285714286,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G3,5,140,0.03571428571428571,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G8,5,140,0.03571428571428571,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G9,3,140,0.02142857142857143,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,G2,2,140,0.014285714285714285,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G6,29,80,0.3625,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G2,20,80,0.25,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G4,13,80,0.1625,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G9,5,80,0.0625,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G3,4,80,0.05,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G1,3,80,0.0375,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G11,3,80,0.0375,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G8,2,80,0.025,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,G10,1,80,0.0125,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G6,79,160,0.49375,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G2,23,160,0.14375,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G4,22,160,0.1375,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G3,18,160,0.1125,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G5,9,160,0.05625,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G1,8,160,0.05,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,G9,1,160,0.00625,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,G6,27,40,0.675,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,G2,7,40,0.175,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,G3,5,40,0.125,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,G9,1,40,0.025,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G8,G4,22,40,0.55,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G8,G6,14,40,0.35,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G8,G2,2,40,0.05,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G8,G3,2,40,0.05,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G6,13,40,0.325,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G2,9,40,0.225,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G4,6,40,0.15,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G1,4,40,0.1,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G3,3,40,0.075,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G8,2,40,0.05,False
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G9,2,40,0.05,True
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,G5,1,40,0.025,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G4,24,40,0.6,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G7,5,40,0.125,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G2,4,40,0.1,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G8,3,40,0.075,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G9,3,40,0.075,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,G5,1,40,0.025,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G10,G2,22,40,0.55,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G10,G4,14,40,0.35,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G10,G6,4,40,0.1,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G11,G2,22,40,0.55,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G11,G6,10,40,0.25,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G11,G4,8,40,0.2,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G2,37,100,0.37,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G4,29,100,0.29,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G6,25,100,0.25,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G3,3,100,0.03,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G5,3,100,0.03,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,G7,3,100,0.03,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,G3,21,80,0.2625,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,G4,18,80,0.225,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,G2,17,80,0.2125,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,G6,13,80,0.1625,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,G5,11,80,0.1375,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,G4,70,140,0.5,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,G6,33,140,0.2357142857142857,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,G2,16,140,0.11428571428571428,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,G3,14,140,0.1,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,G5,7,140,0.05,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,G4,26,80,0.325,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,G2,23,80,0.2875,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,G3,16,80,0.2,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,G6,14,80,0.175,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,G5,1,80,0.0125,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G6,65,160,0.40625,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G4,60,160,0.375,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G2,29,160,0.18125,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G3,4,160,0.025,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G5,1,160,0.00625,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,G9,1,160,0.00625,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G9,15,40,0.375,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G7,12,40,0.3,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G2,4,40,0.1,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G4,4,40,0.1,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G8,4,40,0.1,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,G6,1,40,0.025,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G8,G4,17,40,0.425,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G8,G9,12,40,0.3,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G8,G7,8,40,0.2,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G8,G6,3,40,0.075,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G9,G9,37,40,0.925,True
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G9,G7,2,40,0.05,False
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G9,G4,1,40,0.025,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G4,17,40,0.425,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G9,10,40,0.25,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G6,7,40,0.175,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G5,3,40,0.075,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G2,1,40,0.025,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G3,1,40,0.025,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,G8,1,40,0.025,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G10,G4,23,40,0.575,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G10,G2,12,40,0.3,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G10,G6,5,40,0.125,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,G2,13,40,0.325,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,G6,12,40,0.3,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,G4,9,40,0.225,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,G5,4,40,0.1,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,G3,2,40,0.05,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G4,36,100,0.36,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G6,36,100,0.36,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G2,17,100,0.17,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G5,5,100,0.05,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G3,3,100,0.03,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,G9,3,100,0.03,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G6,38,80,0.475,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G4,15,80,0.1875,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G5,12,80,0.15,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G2,11,80,0.1375,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G8,3,80,0.0375,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,G3,1,80,0.0125,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G4,46,140,0.32857142857142857,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G6,29,140,0.20714285714285716,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G2,28,140,0.2,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G8,20,140,0.14285714285714285,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G9,7,140,0.05,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G5,5,140,0.03571428571428571,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G1,4,140,0.02857142857142857,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,G3,1,140,0.007142857142857143,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,G6,34,80,0.425,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,G4,21,80,0.2625,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,G2,17,80,0.2125,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,G1,4,80,0.05,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,G3,4,80,0.05,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G6,86,160,0.5375,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G4,30,160,0.1875,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G5,18,160,0.1125,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G2,11,160,0.06875,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G3,10,160,0.0625,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G1,3,160,0.01875,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G7,1,160,0.00625,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,G8,1,160,0.00625,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G6,15,40,0.375,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G3,8,40,0.2,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G1,5,40,0.125,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G4,4,40,0.1,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G9,4,40,0.1,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G2,3,40,0.075,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,G8,1,40,0.025,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G4,26,40,0.65,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G6,9,40,0.225,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G3,2,40,0.05,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G2,1,40,0.025,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G7,1,40,0.025,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,G9,1,40,0.025,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G1,17,40,0.425,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G9,11,40,0.275,True
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G6,4,40,0.1,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G4,3,40,0.075,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G5,2,40,0.05,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G2,1,40,0.025,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G3,1,40,0.025,False
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,G8,1,40,0.025,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G1,G4,21,40,0.525,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G1,G9,13,40,0.325,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G1,G6,4,40,0.1,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G1,G5,2,40,0.05,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G10,G2,20,40,0.5,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G10,G4,11,40,0.275,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G10,G6,8,40,0.2,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G10,G3,1,40,0.025,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G11,G2,19,40,0.475,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G11,G4,14,40,0.35,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G11,G6,6,40,0.15,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G11,G5,1,40,0.025,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G2,34,100,0.34,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G6,33,100,0.33,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G4,18,100,0.18,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G9,6,100,0.06,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G7,3,100,0.03,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G1,2,100,0.02,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G3,2,100,0.02,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G5,1,100,0.01,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,G8,1,100,0.01,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,G6,33,80,0.4125,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,G4,17,80,0.2125,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,G2,13,80,0.1625,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,G5,10,80,0.125,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,G3,7,80,0.0875,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G4,93,140,0.6642857142857143,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G6,26,140,0.18571428571428572,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G5,9,140,0.06428571428571428,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G3,8,140,0.05714285714285714,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G1,2,140,0.014285714285714285,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G7,1,140,0.007142857142857143,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,G9,1,140,0.007142857142857143,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G6,25,80,0.3125,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G4,24,80,0.3,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G2,14,80,0.175,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G3,12,80,0.15,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G1,2,80,0.025,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G9,2,80,0.025,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G5,G5,1,80,0.0125,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G6,86,160,0.5375,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G2,33,160,0.20625,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G4,27,160,0.16875,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G5,8,160,0.05,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G3,5,160,0.03125,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G6,G9,1,160,0.00625,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,G9,22,40,0.55,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,G7,12,40,0.3,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,G2,3,40,0.075,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,G6,2,40,0.05,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G7,G8,1,40,0.025,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G8,G4,17,40,0.425,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G8,G9,13,40,0.325,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G8,G6,5,40,0.125,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G8,G7,5,40,0.125,False
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G9,G9,34,40,0.85,True
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G9,G7,6,40,0.15,False
Raw | 250 nm,Raw,raw,250 nm,G1,G6,16,40,0.4,False
Raw | 250 nm,Raw,raw,250 nm,G1,G4,13,40,0.325,False
Raw | 250 nm,Raw,raw,250 nm,G1,G2,5,40,0.125,False
Raw | 250 nm,Raw,raw,250 nm,G1,G3,2,40,0.05,False
Raw | 250 nm,Raw,raw,250 nm,G1,G8,2,40,0.05,False
Raw | 250 nm,Raw,raw,250 nm,G1,G5,1,40,0.025,False
Raw | 250 nm,Raw,raw,250 nm,G1,G9,1,40,0.025,False
Raw | 250 nm,Raw,raw,250 nm,G10,G4,24,40,0.6,False
Raw | 250 nm,Raw,raw,250 nm,G10,G6,9,40,0.225,False
Raw | 250 nm,Raw,raw,250 nm,G10,G2,7,40,0.175,False
Raw | 250 nm,Raw,raw,250 nm,G11,G4,24,40,0.6,False
Raw | 250 nm,Raw,raw,250 nm,G11,G6,9,40,0.225,False
Raw | 250 nm,Raw,raw,250 nm,G11,G2,7,40,0.175,False
Raw | 250 nm,Raw,raw,250 nm,G2,G4,54,100,0.54,False
Raw | 250 nm,Raw,raw,250 nm,G2,G6,22,100,0.22,False
Raw | 250 nm,Raw,raw,250 nm,G2,G2,9,100,0.09,True
Raw | 250 nm,Raw,raw,250 nm,G2,G3,6,100,0.06,False
Raw | 250 nm,Raw,raw,250 nm,G2,G1,5,100,0.05,False
Raw | 250 nm,Raw,raw,250 nm,G2,G8,2,100,0.02,False
Raw | 250 nm,Raw,raw,250 nm,G2,G7,1,100,0.01,False
Raw | 250 nm,Raw,raw,250 nm,G2,G9,1,100,0.01,False
Raw | 250 nm,Raw,raw,250 nm,G3,G4,32,80,0.4,False
Raw | 250 nm,Raw,raw,250 nm,G3,G6,26,80,0.325,False
Raw | 250 nm,Raw,raw,250 nm,G3,G2,7,80,0.0875,False
Raw | 250 nm,Raw,raw,250 nm,G3,G5,5,80,0.0625,False
Raw | 250 nm,Raw,raw,250 nm,G3,G9,4,80,0.05,False
Raw | 250 nm,Raw,raw,250 nm,G3,G7,3,80,0.0375,False
Raw | 250 nm,Raw,raw,250 nm,G3,G8,3,80,0.0375,False
Raw | 250 nm,Raw,raw,250 nm,G4,G4,61,140,0.4357142857142857,True
Raw | 250 nm,Raw,raw,250 nm,G4,G6,41,140,0.29285714285714287,False
Raw | 250 nm,Raw,raw,250 nm,G4,G2,28,140,0.2,False
Raw | 250 nm,Raw,raw,250 nm,G4,G3,4,140,0.02857142857142857,False
Raw | 250 nm,Raw,raw,250 nm,G4,G9,4,140,0.02857142857142857,False
Raw | 250 nm,Raw,raw,250 nm,G4,G1,1,140,0.007142857142857143,False
Raw | 250 nm,Raw,raw,250 nm,G4,G7,1,140,0.007142857142857143,False
Raw | 250 nm,Raw,raw,250 nm,G5,G4,38,80,0.475,False
Raw | 250 nm,Raw,raw,250 nm,G5,G6,24,80,0.3,False
Raw | 250 nm,Raw,raw,250 nm,G5,G2,9,80,0.1125,False
Raw | 250 nm,Raw,raw,250 nm,G5,G1,6,80,0.075,False
Raw | 250 nm,Raw,raw,250 nm,G5,G3,2,80,0.025,False
Raw | 250 nm,Raw,raw,250 nm,G5,G8,1,80,0.0125,False
Raw | 250 nm,Raw,raw,250 nm,G6,G4,57,160,0.35625,False
Raw | 250 nm,Raw,raw,250 nm,G6,G6,44,160,0.275,True
Raw | 250 nm,Raw,raw,250 nm,G6,G2,16,160,0.1,False
Raw | 250 nm,Raw,raw,250 nm,G6,G7,13,160,0.08125,False
Raw | 250 nm,Raw,raw,250 nm,G6,G1,9,160,0.05625,False
Raw | 250 nm,Raw,raw,250 nm,G6,G3,9,160,0.05625,False
Raw | 250 nm,Raw,raw,250 nm,G6,G5,7,160,0.04375,False
Raw | 250 nm,Raw,raw,250 nm,G6,G9,5,160,0.03125,False
Raw | 250 nm,Raw,raw,250 nm,G7,G6,16,40,0.4,False
Raw | 250 nm,Raw,raw,250 nm,G7,G7,12,40,0.3,True
Raw | 250 nm,Raw,raw,250 nm,G7,G9,5,40,0.125,False
Raw | 250 nm,Raw,raw,250 nm,G7,G3,4,40,0.1,False
Raw | 250 nm,Raw,raw,250 nm,G7,G8,3,40,0.075,False
Raw | 250 nm,Raw,raw,250 nm,G8,G4,17,40,0.425,False
Raw | 250 nm,Raw,raw,250 nm,G8,G6,8,40,0.2,False
Raw | 250 nm,Raw,raw,250 nm,G8,G3,6,40,0.15,False
Raw | 250 nm,Raw,raw,250 nm,G8,G9,4,40,0.1,False
Raw | 250 nm,Raw,raw,250 nm,G8,G2,3,40,0.075,False
Raw | 250 nm,Raw,raw,250 nm,G8,G7,2,40,0.05,False
Raw | 250 nm,Raw,raw,250 nm,G9,G3,12,40,0.3,False
Raw | 250 nm,Raw,raw,250 nm,G9,G4,10,40,0.25,False
Raw | 250 nm,Raw,raw,250 nm,G9,G7,7,40,0.175,False
Raw | 250 nm,Raw,raw,250 nm,G9,G6,5,40,0.125,False
Raw | 250 nm,Raw,raw,250 nm,G9,G8,3,40,0.075,False
Raw | 250 nm,Raw,raw,250 nm,G9,G2,2,40,0.05,False
Raw | 250 nm,Raw,raw,250 nm,G9,G1,1,40,0.025,False
Raw | 308 nm,Raw,raw,308 nm,G1,G4,12,40,0.3,False
Raw | 308 nm,Raw,raw,308 nm,G1,G7,12,40,0.3,False
Raw | 308 nm,Raw,raw,308 nm,G1,G2,4,40,0.1,False
Raw | 308 nm,Raw,raw,308 nm,G1,G6,4,40,0.1,False
Raw | 308 nm,Raw,raw,308 nm,G1,G8,4,40,0.1,False
Raw | 308 nm,Raw,raw,308 nm,G1,G9,4,40,0.1,False
Raw | 308 nm,Raw,raw,308 nm,G10,G4,24,40,0.6,False
