Modality,Samples,Groups,OwnCentroidWinRate,MeanOwnCentroidSimilarity,MeanNearestOtherSimilarity,MeanSimilarityGap,MeanWithinGroupDistance,MeanBetweenGroupDistance,WithinBetweenDistanceRatio,MostOverlappingGroupA,MostOverlappingGroupB,MostOverlappingCentroidSimilarity
250 nm,40,11,0.3,0.5703849213371168,0.8881336473387869,-0.31774872600167026,40.752888496082065,43.081058149923976,0.9459583920678137,G7,G9,0.949832988552576
308 nm,40,11,0.35,0.584349021333624,0.7471160802313931,-0.16276705889776916,42.239231854099515,46.03840596810865,0.9174781568970727,G11,G2,0.9338199479182214
440 nm,40,11,0.225,0.5665481435820849,0.9073440346066363,-0.34079589102455154,40.63255713860179,43.04438276632554,0.943968864861722,G7,G9,0.9816347172027613
Combined,40,11,0.275,0.5732046675008275,0.8257368940237999,-0.25253222652297247,72.66601026765733,77.8973875600657,0.932842711979596,G10,G2,0.9284979447919041
