Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,PredictedGroup,ConfusionCount,ConfusionRate,UniqueSamplesAffected
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G4,74,0.0925,8
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G4,38,0.0475,4
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G6,30,0.0375,5
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G2,28,0.035,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G4,26,0.0325,5
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G2,25,0.03125,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G4,25,0.03125,4
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G2,25,0.03125,5
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G4,23,0.02875,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G8,G4,20,0.025,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G6,19,0.02375,4
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G2,17,0.02125,5
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G2,16,0.02,3
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G2,16,0.02,3
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G8,G9,16,0.02,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G6,15,0.01875,3
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G3,15,0.01875,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G3,14,0.0175,4
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G5,14,0.0175,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G9,13,0.01625,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G5,G6,11,0.01375,3
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G4,9,0.01125,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G3,9,0.01125,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G3,9,0.01125,3
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G2,8,0.01,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G2,7,0.00875,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G4,6,0.0075,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G7,5,0.00625,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G6,5,0.00625,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G6,5,0.00625,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G5,5,0.00625,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G5,5,0.00625,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G9,4,0.005,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G8,G7,4,0.005,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G4,3,0.00375,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G7,2,0.0025,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G9,2,0.0025,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G6,2,0.0025,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G8,2,0.0025,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G1,G8,1,0.00125,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G10,G3,1,0.00125,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G11,G3,1,0.00125,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G8,1,0.00125,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G5,1,0.00125,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G3,1,0.00125,1
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G4,G4,78,0.0975,6
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G6,G6,49,0.06125,7
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G9,G9,40,0.05,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G2,G2,34,0.0425,4
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G7,G7,11,0.01375,2
AsLS + L2 | 308 nm,AsLS + L2,asls_l2,308 nm,G3,G3,10,0.0125,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G6,40,0.05,5
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G6,G4,39,0.04875,7
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G3,G6,35,0.04375,4
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G5,G6,35,0.04375,4
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G6,30,0.0375,4
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G7,G6,28,0.035,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G10,G2,24,0.03,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G1,G4,22,0.0275,2
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G2,G4,20,0.025,4
AsLS + L2 | 440 nm,AsLS + L2,asls_l2,440 nm,G4,G2,20,0.025,5
