Scenario,Preprocessing,PreprocessingCode,Modality,ActualGroup,Samples,MajorityCorrectSamples,MajorityCorrectRate,MostlyCorrectSamples_75pct,MeanSampleCorrectRate,MeanStability,MeanDecisionMargin
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G11,2,0,0.0,0,0.1,0.45,0.0900435480666689
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G2,5,2,0.4,2,0.45,0.6,0.13200030956763154
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G3,4,0,0.0,0,0.0125,0.75,0.226807791904877
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G4,7,6,0.8571428571428571,3,0.6357142857142858,0.6642857142857144,0.2943872975419525
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G5,4,0,0.0,0,0.0,0.6125,0.341546393338656
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G6,8,6,0.75,1,0.49375,0.6375,0.2099795169258939
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G7,2,0,0.0,0,0.0,0.675,0.1456658861277227
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G8,2,0,0.0,0,0.0,0.675,0.21151471017107315
AsLS + SNV | 250 nm,AsLS + SNV,asls_snv,250 nm,G9,2,0,0.0,0,0.05,0.375,0.08796557393031333
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G1,2,0,0.0,0,0.0,0.625,0.1454979483550096
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G10,2,0,0.0,0,0.0,0.6000000000000001,0.06804670219418218
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G11,2,0,0.0,0,0.0,0.55,0.07014522842850535
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G2,5,2,0.4,0,0.37,0.55,0.07785634476685718
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G3,4,2,0.5,0,0.2625,0.5125,0.18469103756215427
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G4,7,4,0.5714285714285714,2,0.5,0.6785714285714286,0.12342876947340697
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G5,4,0,0.0,0,0.0125,0.6000000000000001,0.18903287150539652
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G6,8,4,0.5,2,0.40625,0.6812499999999999,0.3134276782771876
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G7,2,1,0.5,0,0.30000000000000004,0.65,0.07300185412109245
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G8,2,0,0.0,0,0.0,0.725,0.3612208686907072
AsLS + SNV | 308 nm,AsLS + SNV,asls_snv,308 nm,G9,2,2,1.0,2,0.925,0.925,0.2677050329646206
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G1,2,0,0.0,0,0.0,0.625,0.20352676266923692
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G10,2,0,0.0,0,0.0,0.6,0.13467729272978082
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G11,2,0,0.0,0,0.0,0.4,0.08139990763449864
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G2,5,1,0.2,0,0.16999999999999998,0.55,0.1415637581545949
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G3,4,0,0.0,0,0.0125,0.5249999999999999,0.1779111475196875
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G4,7,3,0.42857142857142855,1,0.32857142857142857,0.55,0.1815921746165312
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G5,4,0,0.0,0,0.0,0.55,0.2983049096144192
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G6,8,7,0.875,1,0.5375000000000001,0.575,0.20756989349853427
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G7,2,0,0.0,0,0.0,0.375,0.07450389825583717
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G8,2,0,0.0,0,0.0,0.65,0.3541774493081033
AsLS + SNV | 440 nm,AsLS + SNV,asls_snv,440 nm,G9,2,1,0.5,0,0.275,0.5,0.07712519423202911
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G1,2,0,0.0,0,0.0,0.8,0.2580304460414116
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G10,2,0,0.0,0,0.0,0.65,0.10161420811312077
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G11,2,0,0.0,0,0.0,0.7,0.06669942295236085
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G2,5,2,0.4,1,0.33999999999999997,0.6300000000000001,0.11340362096580699
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G3,4,0,0.0,0,0.0875,0.65,0.20261484925189244
AsLS + SNV | Combined,AsLS + SNV,asls_snv,Combined,G4,7,6,0.8571428571428571,4,0.6642857142857144,0.7142857142857143,0.24476802778013834
