TopK,Feature,SelectionCount,MeanFScore,SelectionRate
20,308_area_middle,3,2.4837950356526393,0.075
20,308_peak_3_time,3,1.6126232567386538,0.075
20,440_abs_area,2,3.02556078040728,0.05
20,440_positive_area,2,3.02551093255098,0.05
20,440_area_late,2,2.823169817170575,0.05
20,440_peak_3_time,2,2.196788782868893,0.05
20,440_area,1,3.5336671123939114,0.025
20,440_area_middle,1,3.2844971980850164,0.025
20,440_std,1,0.7722580645161292,0.025
30,308_fraction_late,40,24.475997477530136,1.0
30,250_area_early,36,2.8285202070585282,0.9
30,250_peak_3_area,35,3.0733336675171965,0.875
30,308_area_early,34,2.706685311483752,0.85
30,308_peak_2_time,34,2.2721671766723177,0.85
30,250_peak_2_height,33,2.358290678178225,0.825
30,440_retention_center,33,1.994061926604998,0.825
30,308_peak_1_area,32,1.9647946702738568,0.8
30,440_peak_3_height,31,2.058318617854501,0.775
30,250_retention_center,30,2.489825752065672,0.75
30,308_peak_2_height,30,2.18933178037713,0.75
30,250_peak_3_height,29,2.1103795226822357,0.725
30,250_fraction_early,28,1.8689234905105379,0.7
30,250_tmax,27,2.783003907237964,0.675
30,250_area_middle,27,1.7533650525901872,0.675
30,250_peak_count,26,1.9501661521520195,0.65
30,250_std,25,3.4724781001096092,0.625
30,250_peak_1_time,25,2.9432603533307997,0.625
30,308_std,25,2.362189184672361,0.625
30,250_peak_2_area,24,3.7108539967141905,0.6
30,250_fraction_middle,24,1.6816727778558074,0.6
30,308_area_late,23,2.750878323140841,0.575
30,250_area_late,20,3.579019025655138,0.5
30,250_peak_3_time,20,1.7412451298144784,0.5
30,308_peak_2_area,19,1.7446162377005805,0.475
30,250_range,18,2.4387204732062204,0.45
30,308_peak_count,17,1.8963699063680968,0.425
30,250_positive_area,17,1.8270634445891154,0.425
30,440_peak_1_time,17,1.8236745863549988,0.425
30,440_tmax,17,1.8236745863549988,0.425
30,440_peak_2_time,17,1.79238980945262,0.425
30,250_peak_1_area,16,2.4393119756949133,0.4
30,250_abs_area,16,1.7580402555669943,0.4
30,440_peak_count,16,1.5729279568489227,0.4
30,440_area_early,16,1.4665259675510631,0.4
30,250_max,15,2.8703208561604043,0.375
30,250_peak_1_height,15,2.8703208561604043,0.375
30,308_peak_1_time,15,1.9800306042692313,0.375
30,308_tmax,15,1.9800306042692313,0.375
30,250_peak_2_time,14,2.363233865116587,0.35
30,440_peak_1_area,14,1.8063755209359809,0.35
30,440_range,14,1.7733853233173602,0.35
30,250_fraction_late,14,1.7517804629657776,0.35
30,308_fraction_early,13,2.0984163082908713,0.325
30,308_fraction_middle,13,2.0721510859386485,0.325
30,440_max,13,1.8728897649109204,0.325
30,440_fraction_late,13,1.7292383511082279,0.325
30,440_peak_1_height,12,1.9221129605206795,0.3
30,440_peak_2_area,12,1.542994976561791,0.3
30,308_peak_3_area,12,1.512733947733021,0.3
30,308_retention_center,11,1.96181800688042,0.275
30,440_peak_3_area,11,1.926199090674666,0.275
30,440_fraction_early,11,1.89752794400991,0.275
30,440_peak_3_time,11,1.5774509467937852,0.275
30,440_fraction_middle,10,1.903370705998635,0.25
30,308_peak_3_height,10,1.5835252522911367,0.25
30,250_area,7,1.9036479032803248,0.175
30,308_positive_area,6,2.2134562897527856,0.15
30,440_area_late,6,1.5738360070588417,0.15
30,308_peak_3_time,6,1.3538327461361623,0.15
30,308_area,5,2.6086292720933733,0.125
30,308_abs_area,5,2.445913632074567,0.125
30,308_area_middle,3,2.4837950356526393,0.075
30,440_area,3,2.4382864991281408,0.075
30,440_abs_area,2,3.02556078040728,0.05
30,440_positive_area,2,3.02551093255098,0.05
30,440_area_middle,2,2.799423516509437,0.05
30,308_max,2,2.679138267639815,0.05
30,440_peak_2_height,2,1.0951966523803116,0.05
30,440_std,2,0.9004147465437787,0.05
30,308_peak_1_height,1,3.096461712459234,0.025
30,308_range,1,2.9560235957415393,0.025
40,308_fraction_late,40,24.475997477530136,1.0
40,250_area_early,40,2.6481439313709743,1.0
40,250_peak_3_area,39,2.926629374702144,0.975
40,308_peak_2_time,38,2.1895879295291243,0.95
40,308_peak_1_area,38,1.865609088902905,0.95
40,250_peak_2_height,37,2.2163411698968205,0.925
40,308_peak_2_height,37,2.057639077393529,0.925
40,440_retention_center,36,1.9000412393253798,0.9
40,250_area_middle,36,1.5413381860952011,0.9
40,250_peak_3_height,35,1.8948945460391708,0.875
40,308_area_early,34,2.706685311483752,0.85
40,250_retention_center,34,2.3027146957450038,0.85
40,440_peak_3_height,33,2.0067185087280945,0.825
40,250_fraction_early,33,1.7397318251896223,0.825
40,250_fraction_middle,33,1.5276567629801543,0.825
40,250_peak_2_area,32,3.0837123584231763,0.8
40,440_peak_2_time,32,1.4590412870678957,0.8
40,250_peak_count,31,1.798118351089062,0.775
40,250_peak_3_time,31,1.4927603057654673,0.775
40,308_area_late,29,2.3527359474086516,0.725
40,308_std,29,2.2214825424038707,0.725
40,250_peak_1_time,28,2.7227178509150822,0.7
40,250_tmax,28,2.7227178509150822,0.7
40,440_tmax,28,1.5348318752840484,0.7
40,250_std,27,3.287151439495429,0.675
40,308_peak_2_area,27,1.6215450186332963,0.675
40,440_peak_1_time,27,1.5206445995520832,0.675
40,250_abs_area,27,1.4825712237450406,0.675
40,250_max,26,2.1620884525816417,0.65
40,250_range,26,2.074350729552637,0.65
40,250_area_late,25,3.047930548907426,0.625
40,250_peak_1_height,25,2.2182801050304923,0.625
40,250_positive_area,25,1.545877564422966,0.625
40,440_peak_3_time,25,1.2250423410391913,0.625
40,250_fraction_late,22,1.5856176356319878,0.55
40,250_peak_1_area,21,2.0977745924644857,0.525
40,440_max,21,1.5493185647194774,0.525
40,440_fraction_late,21,1.521076631723309,0.525
40,440_peak_count,21,1.454276026656707,0.525
40,440_area_early,21,1.3479870570826131,0.525
40,440_range,20,1.59451839335009,0.5
40,440_peak_1_height,20,1.5929240205350945,0.5
40,440_peak_1_area,20,1.5586954132647652,0.5
40,308_peak_count,19,1.784581576297324,0.475
40,440_fraction_early,19,1.621454466012791,0.475
40,308_fraction_early,18,1.8234100558123845,0.45
40,308_fraction_middle,18,1.802522934021773,0.45
40,440_peak_2_area,18,1.41012442083325,0.45
40,308_peak_1_time,17,1.8699628395554238,0.425
40,308_tmax,17,1.8699628395554238,0.425
40,440_fraction_middle,17,1.6920534203729203,0.425
40,308_retention_center,17,1.6878994769618847,0.425
40,440_peak_3_area,17,1.5438110348435186,0.425
40,308_peak_3_height,17,1.3594035161971927,0.425
40,250_peak_2_time,16,2.2112970271758225,0.4
40,250_area,16,1.3314009402857183,0.4
40,308_peak_3_area,14,1.4310336833928632,0.35
40,440_area,12,1.6259922447045607,0.3
40,440_peak_2_height,12,1.2365534300351422,0.3
40,308_peak_3_time,12,1.0854110304279274,0.3
40,308_area,11,1.884628738202238,0.275
40,308_positive_area,9,1.8746065121039146,0.225
40,308_abs_area,9,1.87454958984593,0.225
40,440_area_late,8,1.5215451153841177,0.2
40,308_area_middle,5,1.8387586567742897,0.125
40,440_std,5,0.7515222011385199,0.125
40,440_positive_area,4,2.17759931933816,0.1
40,308_max,4,1.893854951353315,0.1
40,308_peak_1_height,4,1.893854951353315,0.1
40,440_abs_area,3,2.527965851734008,0.075
40,440_area_middle,2,2.799423516509437,0.05
40,308_range,2,2.5440752928097297,0.05
50,308_fraction_late,40,24.475997477530136,1.0
50,250_peak_3_area,40,2.9051793071842686,1.0
50,250_area_early,40,2.6481439313709743,1.0
50,250_area_middle,40,1.4389060824588067,1.0
50,250_peak_2_height,39,2.1588521011438413,0.975
50,308_peak_2_time,39,2.151402641396767,0.975
50,308_peak_2_height,39,1.9975478594689042,0.975
50,308_peak_1_area,39,1.855037422837079,0.975
50,440_retention_center,39,1.832568286206282,0.975
50,250_fraction_middle,39,1.3744806541523487,0.975
50,440_peak_3_height,38,1.9128607946354617,0.95
50,250_peak_3_height,38,1.8066133871792758,0.95
50,250_fraction_early,38,1.599040448965066,0.95
50,250_peak_3_time,38,1.329128363167449,0.95
50,308_area_early,37,2.581711795102773,0.925
50,250_retention_center,37,2.1895722586522797,0.925
50,440_peak_2_time,37,1.346698696553443,0.925
50,440_peak_1_time,37,1.3359910902562506,0.925
50,440_tmax,37,1.3359910902562506,0.925
50,250_peak_count,35,1.7299872434493277,0.875
50,250_peak_2_area,34,2.956991949039878,0.85
50,440_max,34,1.3139815519526679,0.85
50,440_peak_1_height,34,1.312496618841749,0.85
50,440_range,34,1.2995048877157405,0.85
50,440_peak_1_area,34,1.2629968551934194,0.85
50,308_area_late,33,2.1615530491993233,0.825
50,308_std,33,2.0814516717260365,0.825
50,250_range,33,1.8110044596939407,0.825
50,250_abs_area,33,1.4101892086525503,0.825
50,250_positive_area,33,1.4098827055730696,0.825
50,440_peak_3_time,32,1.1628632861556376,0.8
50,250_max,31,1.9503050037042797,0.775
50,250_peak_1_height,31,1.9503050037042797,0.775
50,440_peak_count,31,1.2621880339845595,0.775
50,250_peak_1_time,30,2.602635310680189,0.75
50,250_tmax,30,2.602635310680189,0.75
50,440_fraction_late,29,1.337681742017053,0.725
50,440_fraction_middle,29,1.3334616172979428,0.725
50,440_fraction_early,29,1.3332948250888097,0.725
50,308_peak_2_area,28,1.5994568816718855,0.7
50,250_std,27,3.287151439495429,0.675
50,250_area_late,27,2.91866525853795,0.675
50,308_area,27,1.3096546407651897,0.675
50,250_peak_1_area,26,1.8763234366385682,0.65
50,250_fraction_late,26,1.4688933181183192,0.65
50,308_peak_count,25,1.632626951485059,0.625
50,308_retention_center,25,1.4939344305460966,0.625
50,440_area_early,25,1.2908150635736697,0.625
50,308_peak_3_height,25,1.1758051503672111,0.625
50,440_peak_2_area,23,1.2848030227300125,0.575
50,308_fraction_early,22,1.6616577395210752,0.55
50,308_fraction_middle,21,1.6806899680951335,0.525
50,250_peak_2_time,20,1.9306058835813957,0.5
50,440_area,20,1.2951046591944584,0.5
50,250_area,20,1.2883105362570446,0.5
50,440_peak_2_height,19,1.1116996728633821,0.475
50,308_peak_1_time,18,1.8175174682839763,0.45
50,308_tmax,18,1.8175174682839763,0.45
50,440_peak_3_area,18,1.530960443313211,0.45
50,308_peak_3_area,18,1.2488386004812018,0.45
50,440_area_middle,16,1.2616997584120415,0.4
50,308_positive_area,15,1.5427195449130982,0.375
50,440_positive_area,15,1.4115095458489932,0.375
50,440_area_late,15,1.1090114941779998,0.375
50,308_abs_area,14,1.6117052730462595,0.35
50,440_abs_area,14,1.4317180625078865,0.35
50,308_peak_3_time,13,1.0663766652845648,0.325
50,440_std,12,0.7847872089180346,0.3
50,308_area_middle,10,1.4091410347727407,0.25
50,308_max,10,1.3967662700072785,0.25
50,308_peak_1_height,8,1.5073180049849018,0.2
50,308_range,7,1.34156777286743,0.175
60,308_fraction_late,40,24.475997477530136,1.0
60,250_peak_3_area,40,2.9051793071842686,1.0
60,250_area_early,40,2.6481439313709743,1.0
60,308_area_early,40,2.4543121961207106,1.0
