PC,ExplainedVarianceRatio,ExplainedVariancePercent,CumulativeVariancePercent
PC1,0.5024890004106225,50.24890004106225,50.24890004106225
PC2,0.23057652505168758,23.057652505168758,73.306552546231
PC3,0.09132878324733384,9.132878324733385,82.43943087096439
PC4,0.053295712714702605,5.32957127147026,87.76900214243464
PC5,0.027079819413512167,2.7079819413512167,90.47698408378587
PC6,0.025233060411022672,2.523306041102267,93.00029012488812
PC7,0.015322178270914519,1.532217827091452,94.53250795197958
PC8,0.009821555700873187,0.9821555700873187,95.5146635220669
