Group,N_1394,N_1404,PC_CentroidDistance
G1,2,1,2208.3804650946154
G2,1,4,1157.3525647973568
G3,2,2,989.8244986784077
G4,1,6,721.7323748178671
G5,1,3,2169.479997086139
G6,6,4,833.5232470068311
G8,1,1,1122.432279434282
