SourceYear,TargetYear,Model,TopK,TrainSamples,TestSamples,Accuracy,BalancedAccuracy,F1Macro,LowTrainingSampleClasses
1404,1394,XGBoost,30,21,14,0.21428571428571427,0.19047619047619047,0.14285714285714285,"G1,G8"
1404,1394,XGBoost,20,21,14,0.21428571428571427,0.19047619047619047,0.1285714285714286,"G1,G8"
1404,1394,XGBoost,10,21,14,0.21428571428571427,0.19047619047619047,0.11538461538461539,"G1,G8"
1404,1394,XGBoost,50,21,14,0.21428571428571427,0.19047619047619047,0.10476190476190476,"G1,G8"
1394,1404,SVM,10,14,21,0.19047619047619047,0.14285714285714285,0.045714285714285714,"G2,G4,G5,G8"
1394,1404,SVM,20,14,21,0.19047619047619047,0.14285714285714285,0.045714285714285714,"G2,G4,G5,G8"
1394,1404,SVM,30,14,21,0.19047619047619047,0.14285714285714285,0.045714285714285714,"G2,G4,G5,G8"
1394,1404,SVM,50,14,21,0.19047619047619047,0.14285714285714285,0.045714285714285714,"G2,G4,G5,G8"
1404,1394,SVM,50,21,14,0.07142857142857142,0.14285714285714285,0.02040816326530612,"G1,G8"
1404,1394,SVM,10,21,14,0.07142857142857142,0.14285714285714285,0.019047619047619046,"G1,G8"
1404,1394,SVM,20,21,14,0.07142857142857142,0.14285714285714285,0.019047619047619046,"G1,G8"
1404,1394,SVM,30,21,14,0.07142857142857142,0.14285714285714285,0.019047619047619046,"G1,G8"
1394,1404,XGBoost,30,14,21,0.14285714285714285,0.10714285714285714,0.061224489795918366,"G2,G4,G5,G8"
1394,1404,XGBoost,50,14,21,0.14285714285714285,0.10714285714285714,0.045112781954887216,"G2,G4,G5,G8"
1394,1404,XGBoost,10,14,21,0.047619047619047616,0.03571428571428571,0.025974025974025976,"G2,G4,G5,G8"
1394,1404,XGBoost,20,14,21,0.047619047619047616,0.03571428571428571,0.023809523809523808,"G2,G4,G5,G8"
