SourceYear,TargetYear,Model,TopK,Accuracy,BalancedAccuracy,F1Macro
1394,1404,SVM,10,0.19047619047619047,0.14285714285714285,0.045714285714285714
1394,1404,SVM,20,0.19047619047619047,0.14285714285714285,0.045714285714285714
1394,1404,SVM,30,0.19047619047619047,0.14285714285714285,0.045714285714285714
1394,1404,SVM,50,0.19047619047619047,0.14285714285714285,0.045714285714285714
1394,1404,XGBoost,10,0.047619047619047616,0.03571428571428571,0.025974025974025976
1394,1404,XGBoost,20,0.047619047619047616,0.03571428571428571,0.023809523809523808
1394,1404,XGBoost,30,0.14285714285714285,0.10714285714285714,0.061224489795918366
1394,1404,XGBoost,50,0.14285714285714285,0.10714285714285714,0.045112781954887216
1404,1394,SVM,10,0.07142857142857142,0.14285714285714285,0.019047619047619046
1404,1394,SVM,20,0.07142857142857142,0.14285714285714285,0.019047619047619046
1404,1394,SVM,30,0.07142857142857142,0.14285714285714285,0.019047619047619046
1404,1394,SVM,50,0.07142857142857142,0.14285714285714285,0.02040816326530612
1404,1394,XGBoost,10,0.21428571428571427,0.19047619047619047,0.11538461538461539
1404,1394,XGBoost,20,0.21428571428571427,0.19047619047619047,0.1285714285714286
1404,1394,XGBoost,30,0.21428571428571427,0.19047619047619047,0.14285714285714285
1404,1394,XGBoost,50,0.21428571428571427,0.19047619047619047,0.10476190476190476
