PC,explained_percent,cumulative_percent
1,36.20018004448197,36.20018004448197
2,18.15197698817007,54.35215703265204
3,13.774530812070745,68.12668784472278
4,8.082778056607872,76.20946590133066
5,6.274280089633691,82.48374599096434
6,5.602864984606259,88.08661097557061
7,4.073478000197499,92.16008897576809
8,2.7193156601581845,94.87940463592628
9,1.3865735198403368,96.26597815576662
10,1.2646791334012566,97.53065728916788
11,0.8003657462593711,98.33102303542725
12,0.5151738153913118,98.84619685081856
13,0.5064660132895556,99.35266286410811
14,0.28258549508869096,99.63524835919681
15,0.20569827844724475,99.84094663764405
16,0.06685134448723759,99.90779798213129
17,0.04010994178051382,99.9479079239118
18,0.025933219738234554,99.97384114365003
19,0.012946915245157708,99.98678805889519
20,0.005734122633518198,99.99252218152871
21,0.0035976592764034305,99.99611984080511
22,0.0016165668439316147,99.99773640764904
23,0.0012602093415723322,99.99899661699061
24,0.0006007618314473239,99.99959737882206
25,0.00040262117792144204,99.99999999999997
26,7.139226699763413e-30,99.99999999999997
27,2.5239531980328355e-31,99.99999999999997
