number,name,class,PC1,PC2,PC3
1,sunset yellow(127),pure_artificial_color,-49.66878065127639,38.367602423803596,92.09061670700264
2,orange 2,pure_artificial_color,-158.51510098014833,-0.20367251647742787,-26.688595967584092
3,Amuranth,pure_artificial_color,23.91803083320281,-2.2742115346705822,6.160411993631962
4,Azorubin,pure_artificial_color,13.975341966576597,113.52425588522274,-44.38230142211306
5,Quinoline yellow,pure_artificial_color,35.61015151993428,-4.909409417436423,-2.5136583521941014
6,Ponceau 4R (96),pure_artificial_color,43.16232798879294,7.203693144951648,-4.104586235852662
7,Erythrosin,pure_artificial_color,17.240771812841874,3.1941687798409584,8.735804737128575
8,Orange GG,pure_artificial_color,3.876550039321719,20.948072133884214,10.943979607882667
9,Tartarazin,pure_artificial_color,25.32466006387788,0.3946189383116131,17.111056188235505
10,saffron + sunset yellow(127),saffron_plus_artificial_color,4.774841212037483,-9.854356691799198,-7.3752324647032985
11,saffron + orange GG,saffron_plus_artificial_color,1.5348953182093323,-10.23741780711676,-8.613063009771485
12,saffron + Quinoline yellow,saffron_plus_artificial_color,12.89951288593272,-5.140730518123281,6.348395403513633
13,saffron + orange 2,saffron_plus_artificial_color,-24.711306063049953,-23.863538063352614,-15.693987491195012
14,saffron + Ponceau 4R (96),saffron_plus_artificial_color,-6.144203854326756,-19.53628306769861,-12.668077138987814
15,saffron + Erythrosin,saffron_plus_artificial_color,5.656967203207291,-14.291424103471808,-12.389830358216082
16,saffron + orange 2,saffron_plus_artificial_color,1.5348953182093337,-10.237417807116756,-8.613063009771485
17,saffron,real_saffron,-13.216439396866136,-10.498381936335372,-7.736276266407167
18,650,unknown_adulterated_saffron,-2.8296390360041226,1.4985562538720918,13.072172119479381
19,651,unknown_adulterated_saffron,18.298732268132692,-11.655487453551874,-4.448667238422339
20,saffron + Quinoline yellow 10 %,saffron_plus_artificial_color,11.670041963759678,-5.023734243545417,6.776731252481432
21,saffron 2,real_saffron,9.644758025451411,-5.568156878484258,5.113593531854771
22,445,artificial_color_adulterated_saffron,2.9763946531180356,-6.000923581782378,3.0438641649155835
23,372,artificial_color_adulterated_saffron,4.128477848521284,-9.991781752136253,-6.1704778325934
24,544,artificial_saffron,0.979836728111062,-10.780553678238142,-6.355849468213182
25,647,small_amount_artificial_color,8.697615148038324,-11.200221643954153,-8.028292752289262
26,648,small_amount_artificial_color,2.698583194341839,-6.033160908501426,5.358577819115269
27,646,small_amount_artificial_color,6.482083990052996,-7.830103956094036,1.0267554830729868
