Experiment,Fold,Accuracy,BalancedAccuracy,F1Macro
Raw,1,0.18181818181818182,0.07272727272727274,0.02909090909090909
Raw,2,0.23809523809523808,0.09090909090909091,0.03496503496503497
L1,1,0.22727272727272727,0.09090909090909091,0.03496503496503497
L1,2,0.2857142857142857,0.1212121212121212,0.08181818181818182
L2,1,0.18181818181818182,0.07272727272727274,0.02909090909090909
L2,2,0.2857142857142857,0.1212121212121212,0.08181818181818182
