Components,Fold,Accuracy,BalancedAccuracy,F1Macro
2,1,0.22727272727272727,0.10454545454545454,0.07988980716253442
2,2,0.09523809523809523,0.06363636363636363,0.027892561983471075
3,1,0.13636363636363635,0.05909090909090909,0.045454545454545456
3,2,0.19047619047619047,0.08484848484848485,0.054812834224598934
5,1,0.18181818181818182,0.10909090909090909,0.0831168831168831
5,2,0.19047619047619047,0.09696969696969697,0.060606060606060615
