SampleId,Group,MahalanobisSquared,MahalanobisDistance,ThresholdSquared,ThresholdDistance,IsNovel,NoveltyStatus
20,G5,21.993120221877298,4.689682315666734,20.090235029663233,4.482213184316787,True,NOVEL / OOD CANDIDATE
7,G2,15.031300161464225,3.877022073894373,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
23,G5,14.68665022885907,3.832316561671161,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
36,G7,13.881794577675175,3.7258280391981558,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
3,G1,11.301372884903778,3.3617514609060226,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
21,G5,11.203275353580395,3.34712941990303,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
14,G4,10.498446754896884,3.2401306694170353,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
4,G2,9.691940116749375,3.1131880953050968,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
10,G3,8.93194373162924,2.988635764296017,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
26,G6,8.598890397406015,2.93238646794825,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
38,G8,7.913432357781857,2.813082358869334,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
28,G6,7.0526112643306345,2.655675293466924,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
31,G6,5.983596405507302,2.4461390813907746,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
19,G4,5.7209180534699735,2.3918440696395686,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
24,G6,5.718729940089176,2.3913866145166023,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
30,G6,5.415748922526336,2.327176169207294,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
1,G1,5.3752357405959685,2.3184554644409214,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
9,G3,4.871766632363874,2.207207881547154,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
13,G4,4.473001770105668,2.114947226316928,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
37,G8,4.152980642059674,2.037886317256111,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
34,G7,4.131271309342686,2.0325529044388206,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
11,G3,3.9745333159619465,1.9936231629778849,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
6,G2,3.9372707868162706,1.9842557261644151,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
32,G6,3.869732079428318,1.9671634602717483,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
29,G6,3.8560205225250335,1.9636752589277673,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
39,G9,3.7115808877549186,1.9265463627317456,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
43,G11,3.6829644548207217,1.9191051182310785,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
42,G10,3.5920308971672488,1.8952653896399967,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
17,G4,3.5642939165208656,1.8879337691033724,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
41,G10,3.380467747215344,1.8386048371565176,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
40,G9,3.37847745537048,1.8380635068926428,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
2,G1,3.239455851490414,1.799848841289294,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
44,G11,3.198454962503823,1.7884224787515457,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
16,G4,3.174906043129863,1.7818266029919585,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
8,G2,3.1556897835913675,1.7764261266912755,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
18,G4,3.0667403890698024,1.751211120644739,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
25,G6,2.9272464762225927,1.710919774923007,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
33,G6,2.665482006651256,1.6326303949918537,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
5,G2,2.513519429678024,1.5854082848522093,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
15,G4,2.231107251909434,1.4936891416588105,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
22,G5,2.1858474194541113,1.4784611660284186,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
12,G3,2.1588826979554083,1.4693136826271673,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
27,G6,1.7270618148163044,1.3141772387377224,20.090235029663233,4.482213184316787,False,WITHIN REFERENCE DOMAIN
