Accuracy,BalancedAccuracy,F1Macro,TopK,Repeat
0.16279069767441862,0.10389610389610389,0.08145446741122166,10,1
0.18604651162790697,0.1266233766233766,0.11450216450216452,10,2
0.16279069767441862,0.08051948051948052,0.06969696969696969,10,3
0.20930232558139536,0.12987012987012989,0.1095740008783487,10,4
0.2558139534883721,0.12597402597402596,0.09765840220385674,10,5
0.18604651162790697,0.10714285714285715,0.09679233809668593,10,6
0.11627906976744186,0.07597402597402597,0.05661324321611403,10,7
0.20930232558139536,0.0896103896103896,0.060606060606060615,10,8
0.20930232558139536,0.15173160173160175,0.12537973722184248,10,9
0.18604651162790697,0.08051948051948052,0.06942148760330578,10,10
0.11627906976744186,0.07575757575757575,0.05844155844155843,10,11
0.13953488372093023,0.10692640692640691,0.08416961826052735,10,12
0.09302325581395349,0.05389610389610389,0.04304407713498623,10,13
0.2558139534883721,0.19264069264069264,0.17775154138790503,10,14
0.18604651162790697,0.12316017316017315,0.10636363636363635,10,15
0.20930232558139536,0.1305194805194805,0.11495388669301713,10,16
0.16279069767441862,0.12965367965367963,0.11978609625668449,10,17
0.18604651162790697,0.09935064935064934,0.07575757575757575,10,18
0.23255813953488372,0.1725108225108225,0.14254079254079255,10,19
0.2558139534883721,0.1305194805194805,0.10216682958618441,10,20
0.23255813953488372,0.1525974025974026,0.1400858866533924,20,1
0.23255813953488372,0.1487012987012987,0.13026973026973024,20,2
0.13953488372093023,0.08506493506493507,0.08016528925619835,20,3
0.20930232558139536,0.12987012987012989,0.11375111031861604,20,4
0.23255813953488372,0.13441558441558443,0.1178480610298792,20,5
0.13953488372093023,0.07532467532467532,0.061782531194295894,20,6
0.20930232558139536,0.13896103896103895,0.11654135338345864,20,7
0.18604651162790697,0.10324675324675324,0.08732040905953949,20,8
0.13953488372093023,0.09718614718614718,0.08773448773448773,20,9
0.3023255813953488,0.17077922077922078,0.14843674843674842,20,10
0.11627906976744186,0.04935064935064936,0.039064383891970096,20,11
0.20930232558139536,0.1608225108225108,0.15109013793224318,20,12
0.16279069767441862,0.1,0.08961038961038961,20,13
0.23255813953488372,0.1738095238095238,0.15232847960120688,20,14
0.20930232558139536,0.14134199134199132,0.1340909090909091,20,15
0.16279069767441862,0.07532467532467532,0.04780564263322884,20,16
0.23255813953488372,0.17445887445887445,0.14167650531286893,20,17
0.18604651162790697,0.13506493506493508,0.10372960372960373,20,18
0.23255813953488372,0.1603896103896104,0.11972252346583896,20,19
0.2558139534883721,0.13116883116883116,0.1102325094260578,20,20
0.2558139534883721,0.14805194805194805,0.12523997741389045,30,1
0.18604651162790697,0.10324675324675324,0.08637658637658638,30,2
0.13953488372093023,0.08506493506493507,0.07985448894539804,30,3
0.23255813953488372,0.1383116883116883,0.11586417535034134,30,4
0.2558139534883721,0.1616883116883117,0.14844142785319256,30,5
0.13953488372093023,0.08051948051948052,0.06324675324675325,30,6
0.23255813953488372,0.15562770562770564,0.12537462537462538,30,7
0.16279069767441862,0.10389610389610389,0.0889083139083139,30,8
0.18604651162790697,0.10194805194805195,0.08078046355558317,30,9
0.11627906976744186,0.06688311688311689,0.0606060606060606,30,10
0.11627906976744186,0.07575757575757575,0.05491276400367309,30,11
0.2558139534883721,0.17900432900432903,0.1702099070520123,30,12
0.23255813953488372,0.13744588744588745,0.12186147186147185,30,13
0.16279069767441862,0.10627705627705629,0.09297948428383208,30,14
0.23255813953488372,0.15043290043290042,0.1285862829980477,30,15
0.23255813953488372,0.1253246753246753,0.10826210826210826,30,16
0.18604651162790697,0.129004329004329,0.10476190476190475,30,17
0.11627906976744186,0.08636363636363636,0.06247086247086247,30,18
0.2558139534883721,0.174025974025974,0.12474477394263489,30,19
0.27906976744186046,0.14025974025974025,0.10602730602730602,30,20
0.20930232558139536,0.12012987012987013,0.0966155057064148,50,1
0.13953488372093023,0.07142857142857141,0.05905271199388846,50,2
0.13953488372093023,0.07987012987012987,0.06683303624480096,50,3
0.27906976744186046,0.17922077922077922,0.16706539074960125,50,4
0.20930232558139536,0.12987012987012989,0.12336902863218652,50,5
0.20930232558139536,0.11558441558441558,0.0924075924075924,50,6
0.18604651162790697,0.11471861471861472,0.08625414989051353,50,7
0.2558139534883721,0.1714285714285714,0.14066554876831555,50,8
0.20930232558139536,0.14134199134199132,0.1259018759018759,50,9
0.16279069767441862,0.10844155844155844,0.08997315815497633,50,10
0.13953488372093023,0.08484848484848485,0.06342045051722471,50,11
0.2558139534883721,0.18354978354978355,0.16356421356421355,50,12
0.2558139534883721,0.1699134199134199,0.16046176046176044,50,13
0.18604651162790697,0.11298701298701298,0.10679522497704318,50,14
0.16279069767441862,0.11536796536796536,0.10681818181818183,50,15
0.2558139534883721,0.14805194805194805,0.13359028885344676,50,16
0.18604651162790697,0.16385281385281383,0.12775655716832188,50,17
0.13953488372093023,0.10454545454545454,0.08065268065268065,50,18
0.2558139534883721,0.1844155844155844,0.15511357329539147,50,19
0.20930232558139536,0.10844155844155844,0.09413462354638824,50,20
