Components,AccuracyMean,AccuracyStd,BalancedAccuracyMean,BalancedAccuracyStd,F1MacroMean,F1MacroStd
2,0.16125541125541126,0.09336258366315887,0.08409090909090908,0.02892709559399512,0.05389118457300275,0.036767604669135215
3,0.1634199134199134,0.03826335396031101,0.07196969696969698,0.018213356485108044,0.0501336898395722,0.006617309449606728
5,0.18614718614718614,0.006122136633649751,0.10303030303030303,0.008570991287109662,0.07186147186147186,0.01591755524748937
