SampleId,Group,HarvestYear,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43
1,G1,1394,-289.51767595400645,-219.68885939358591,-273.37712785811715,255.84411149801758,42.31922808457585,72.72990171262612,-333.6240305762308,-135.23528887403026,40.08713989414826,101.89089424677003,-158.21252153971568,-40.94089380831203,-116.60251398729156,-8.57262537430729,26.475717570496112,-24.660104442077454,38.25571935043933,19.446341736833855,7.36337822540439,-1.0511471261289624,6.516180716223645,-53.572814295509716,13.762298746746525,-0.7101705796392336,-14.4370962167397,18.540465456899977,29.201440040894454,20.11100359515443,-2.589727328943188,-5.134279430355105,3.4921825346458615,-2.808421566790924,5.434020481131598,-21.783079390231006,-4.144789547327768,15.819191370235659,-3.869843822336177,-3.6852771456472277,-1.1977971793002198,2.2293873951268535,0.2707156787504255,-0.9422585582387001,-6.944163797906752e-13
2,G1,1394,-208.53784600741335,-31.00702826075457,67.90112198369282,335.07800863189317,266.40455929011966,-63.39669042471385,-27.035942438920458,-59.63162712363342,-43.848582623270104,29.782705380737102,-136.7411952238538,-18.556322823927868,6.0341984844492185,4.718249965616935,2.185170030177651,42.68986760935034,79.33654242266778,42.83505546241957,-7.009870576829572,-20.45969320492004,35.856490520925426,9.198888213018604,7.718312034746033,-1.128290300404883,-33.240135650887815,-20.14402436973725,-16.293987563895204,3.1875374624096495,13.533109874626708,9.894700632241877,-16.925276947587932,-9.100187948393254,-14.248171421392575,10.56688806584205,22.901496319354457,-18.952444659166776,2.338924505791488,-1.2492895978960163,7.872837940420741,1.8160979747205692,3.890407902039175,-4.387511387541361,-6.944163797906735e-13
3,G1,1404,1870.5692171131598,-276.9378831294112,-382.5316412043715,-155.7890409666596,309.5309349862213,71.77851416444607,34.06703054589052,-28.0434402996911,10.499183813554183,-15.77975551706474,-29.68943310296945,44.815270672552934,-37.73872682719433,38.97230356986595,-27.927322013210368,20.054248609557526,7.8978264691985824,-29.93300948293776,5.377834254377037,23.209459038228996,29.138413316371278,1.744524102772505,32.74947561382385,10.558149776560358,22.422422694642,-1.076655605428068,-26.41952302020187,-12.92076189342303,26.47127478943059,22.140195875469303,12.426024071431332,11.864206052640894,21.3144418076153,-8.497967642570783,-7.047984010691735,-4.729941703143555,-5.87334687294589,-12.481969921343822,8.664761698828492,1.9159910538977996,3.987131668108335,4.688076742520442,-6.944163797906537e-13
4,G2,1394,87.9381181485484,-384.52488033172443,-162.6368611832125,147.99538616988127,-372.3392381946596,-379.9048099982464,60.62238417962395,311.4294481746551,133.7663596248576,224.5647906031208,-106.14512605007656,59.418734693066796,36.421706912326975,23.131805464841676,19.9509391212917,67.97533253294498,33.83676737193318,-38.09616229357914,64.31062065218941,-0.2576846269032014,9.625137639965764,-14.953783393793907,-1.3496626287470082,11.962955038582942,17.065256246297313,3.0306493357848168,6.4634437912286575,-12.114032092563143,0.035315606300670765,0.5588105074938025,-6.080520885960057,-0.9749511185875522,3.406795906213799,1.7027837731157303,1.4397114713454597,-0.15172879442214018,1.9140979988409639,0.6587257551599208,-1.3899801720184506,-0.5343665999404884,-0.6453844361275937,-0.3814356297737236,-6.944163797906735e-13
5,G2,1404,-310.772721664941,-367.4702682759505,-113.26081288669558,-307.45401434709447,119.71464768649881,-19.381582814375882,-28.928445281991976,38.987590767865946,48.42198495911715,-41.076456506311935,51.4447736669669,-13.469300300016739,-41.298377626406335,14.921743129541005,45.137981215129635,-45.56098783658281,46.45965575243484,-17.00250063926342,-21.021382221311956,30.017751329597875,7.24690998462187,17.48399633081859,10.343939881525545,28.189107598454846,21.608751508551208,30.402811985224798,-25.28311193964717,-5.4045216882245,-36.82741519193662,16.298228631958736,-15.851520849865029,-3.402938722747463,-10.32253380896957,2.1106307942966835,19.946215188095017,12.49251577415457,-18.254328017454895,3.871268627309694,-6.625170285963311,-3.2035302469282243,4.348389197326997,0.75834752908,-6.944163797906944e-13
6,G2,1404,-247.9699281407504,570.6154873528093,103.35740585987115,-232.9804620369863,-68.30785899145415,112.25281066370614,146.1586866737363,-159.12466764087884,-70.43136824125598,238.43268331577968,121.46580289990112,111.02442463259867,-17.449653461676807,-24.23697754116669,20.67531360450533,5.626002409117694,65.0869982794459,5.927478620442068,-30.869254912011204,31.988625769154762,-6.666073882011506,-12.48439764415018,-4.530770109661396,-19.020268611671202,28.400336363746074,-45.944459146378165,15.288133787594083,8.823848960574127,4.098381898473682,22.61185284690822,-0.565775001420762,-10.57171750803614,-1.0930750031486274,-6.680852808924643,-3.6954952385310587,1.6891665519168026,-0.2381323934634913,10.878760648855096,-1.9732299632866408,-1.4266665495934598,2.8668370570801605,-2.1129028776633754,-6.944163797906759e-13
7,G2,1404,-2241.09932649619,-264.73816257824427,399.18687713100155,-74.48326066126131,77.08634617322312,196.01697254785327,205.81759897771872,-169.23145535044088,145.05461641351187,89.2011932379084,27.880539559591558,84.3545993798308,49.56500571761923,26.282955225113376,6.361653315489402,29.38439925707172,-29.582262310750412,-24.607783686708288,23.21957043912361,32.00445464442272,2.773696549369298,-48.808889860565785,9.013946779527862,-0.7662823326799427,-19.980589966198995,16.751894925676513,-29.21318792313902,9.284119702514868,-4.76553941435669,-14.341120651077594,2.328992823130281,11.64412855567995,7.575758858392651,3.185966218720604,2.298149926403337,-8.31745344626975,-2.581985272413598,-9.853318424954841,-2.5819038838922994,4.161271241175197,-6.703284150237154,-0.08740484617356763,-6.944163797906678e-13
8,G2,1404,210.85196793667285,-228.68381278749706,172.6758287444711,147.79751438260345,-67.2139303612294,88.02848006955955,281.0335813737625,-46.835168902809905,-9.628762904304226,-55.050100927680745,-33.5232678496086,123.12918710981387,84.08414555927929,-46.37504382455902,10.857389273669288,-26.238525336505308,-21.89240438218026,14.190370176818242,8.503334637854302,-34.803347697287066,20.25248598270354,19.200269184789303,6.894793957841237,-23.166871351685906,16.0714793417243,26.227245791101687,17.946455303068472,1.5960010655567463,-6.490926819383814,-1.681660351671895,4.725120299527288,-24.063997961306956,-11.971349268728057,-15.385540418399978,8.590419579252638,11.967437027637647,3.0720032816968263,-12.343076347882558,18.56670563210088,-4.839742105567738,1.8613894968415758,6.540113744730406,-6.944163797906754e-13
9,G3,1394,217.75681376780463,-591.1316404396213,150.4282875493058,409.40759507350305,-181.60949863531772,12.58304202832251,84.8832122450381,-5.908658178564935,-48.36919592922106,-104.59827064031023,-23.16811857096604,2.0188576215134515,-14.539622379409556,34.58528510039584,-32.146058318140234,-50.837630657347475,79.16080833467662,-37.296654400863844,-6.158222139468902,20.059889332051064,-52.55802143185856,9.796169081071941,-8.512791005314098,6.394235207226347,18.49882041867602,8.522066975696982,16.808102522996105,45.37367006882616,9.44327198998364,4.764641874284366,20.443710569034014,12.426845931203403,-11.792725620825443,17.981697442979264,-0.6993845145384265,-8.582939625553303,-3.732875252337538,-6.719313758647407,-3.0280462359479925,2.3855640402230724,0.1841921042960932,5.036366752768587,-6.944163797906743e-13
10,G3,1394,594.4514142163497,143.93657519995784,523.9692225481167,334.87407012900724,-96.54380120280108,330.58152780477934,-245.30753802037296,80.46884495354675,150.7153121006425,-11.234690516433824,122.63597736818684,90.26495116293208,-72.27921539491004,146.82621186980137,39.39653289454998,-12.802694146316806,20.21365611323184,30.184149680571036,6.327827919274505,-42.717980934204235,-33.04757797974575,5.652013308977813,-4.847415562057999,-26.35319174787051,11.958029516798607,-3.223757694147322,-25.464268701574674,-19.00443761675147,7.075243084267486,-10.811455525029082,0.8357796895520379,-6.721286331169185,4.758785516564393,2.8190577729737583,5.5471994192448015,4.217383343730335,5.159288721029531,0.8060200286594698,0.07470150823445788,-0.9062558879631342,-1.7023703378994886,-0.124164068179985,-6.944163797906734e-13
