PPM,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43
0.500998,0.0012080761881957387,-0.002983462955283884,-0.00754218958710831,0.0003195315892479607,-0.0013427355414073051,0.00709806098751089,0.005634745807299233,0.009442550986615438,0.006722189808513804,0.0005667471818395773,0.0007485297174873597,-0.005995383578413742,-0.003491851682033633,-0.00864181344423252,0.0013232207807015392,-0.003392718537962245,0.003195755313064865,0.013815385578545614,0.004841842325756987,-0.0009774716162998893,0.0014642656159144453,2.2480450613452732e-05,-0.007319746769894847,-0.00039037829427241837,-0.0048679646669972845,-0.011412535786141341,0.0036091309407602305,-0.003622716040190389,0.005928891566133314,0.007771102811050476,0.007975005911487554,0.011474374948067616,0.0016332337758964341,0.001791399037900652,-0.006067995139200969,-0.010714184251998642,0.009689369654293125,0.008381726027407579,0.011089384733565903,0.005697192572911314,-0.006396701847283916,-0.007906165842297471,0.36291664460556394
0.501998,0.001252799748280746,-0.002991568775327708,-0.007877555248548506,9.187047152680936e-05,-0.001749471143335241,0.007168677799606015,0.006516496659172964,0.009504037129294419,0.006748401170327356,0.00026601640841100515,0.0012252239188631983,-0.004805909622135941,-0.004110443491228477,-0.010010947913630153,0.0029131187888026093,-0.004365141414844482,0.002617713777545533,0.013949843836779427,0.004410323342084312,-0.0013445857735784744,-0.001083093559360366,0.0009357831347240076,-0.005217911678366477,-0.004656220260729703,-0.002522787744021724,-0.010730304582942449,0.004204832549997873,-0.003931704724562377,0.00791118683841931,-0.001358610049073388,0.006203961997602742,0.01095565251696309,-0.00673013331461705,0.0036826377554020333,-0.004362462749101212,-0.007413735085761494,0.010391874782113408,-0.0031483873794100198,0.0032710588891947186,-0.0019491553663771029,-0.00853149518060695,0.0017877870739968764,0.05106314167933151
0.502998,0.001406035782534871,-0.002972570346781153,-0.008026773315627012,0.00010375891969851977,-0.001752859151831671,0.007325070899788167,0.006208927846438727,0.01013913685233082,0.006730600030434,0.000874091570822844,0.0011195493745523128,-0.004194692686500198,-0.003590824136523864,-0.008922123904249114,0.0014391550994412301,-0.004750153995999192,0.005185277386558304,0.015011252635652372,0.0038572819895296476,-0.0006484848174822714,-0.000592869444341634,0.0012049612691551247,-0.006702783019593642,-0.005284392141042008,-0.006954917650042563,-0.013181036389919097,0.0027388252863748516,-0.0022714585789766666,0.004554759379576254,-0.0031316018985163346,0.00470635649211166,0.010962348762322587,-0.006357582409356661,-0.00025106056070733446,-0.0017267861293765931,0.0012267173133505957,0.013112958762519169,-0.006301881682138746,0.008340990319430572,-0.0017138405791560505,-0.018419570384725817,-0.002371409524726468,-0.29244240176080843
0.503998,0.001429313031261862,-0.0028838426090959744,-0.007987401573572452,0.0003697961351477592,-0.001319603795405125,0.007473060008935639,0.005724999083219431,0.010176149552664382,0.00646843566215729,0.0011512359110462124,0.0013183248214052427,-0.0038371657569250335,-0.0039742258879414925,-0.007842588329150692,0.0029938884294697446,-0.005170352217101813,0.005933175010034841,0.01214931033170353,0.004721498638105341,-0.0025038644778143868,-0.0005163755965085663,0.0009819157854505348,-0.006818974246773002,-0.0028912723122238504,-0.007929194695509055,-0.01133542209455164,0.004055203713577453,-0.0017693353028781734,-0.0005367920812854857,-0.00528705390195977,0.005448052169954742,0.008728018050131146,-0.0024026010270597285,0.004663707702182894,-0.002710552178119695,-0.0005020119803952475,0.019249693575048615,-0.0019167261707819566,0.002184485027922235,0.0018152929378855538,-0.01229013483711868,0.002742227265917559,0.14877900765078475
0.504998,0.001379175689125905,-0.003003752980500783,-0.00782757002887691,0.0001987353744097311,-0.0012047266215962336,0.007529993376539382,0.0057250350779316835,0.010046894154120262,0.006915103340933361,0.001008842708613074,0.0010348571999227165,-0.003886075102737497,-0.0027513804180271137,-0.007902431169910885,0.004136517431619448,-0.004504641284421076,0.00531396106095607,0.011541374616756335,0.0038319996036435653,-0.0012429890571791047,0.0002661163238082532,-0.00023466535176182494,-0.005360769732913794,-0.0011495436099774779,-0.0005679862718885246,-0.011579647212175985,0.007347153125068817,-0.001180530413298001,0.0057308595925885395,-0.004264949792374246,0.006933800123601837,0.00794365366395842,-0.00914164580871866,0.006155180025223105,-0.0035822157034910273,0.0007115878406064276,0.013005468135743442,-0.00827602921435723,-0.0006371244291260731,0.005053219233034651,-0.011451668953538734,0.002606846025868214,0.42895848596664926
0.505998,0.0013758535569788307,-0.002874918746013757,-0.007729407955031266,-5.000561902398429e-05,-0.0014597788443287962,0.00721383972906733,0.006039594232406608,0.009884981089135434,0.00695183112710118,0.0009423219875149187,0.0011673939424983288,-0.005093265439817768,-0.0029768506198860254,-0.009145376821641881,0.003039842353589306,-0.0036516989140125537,0.003974504064309425,0.009411159008076564,0.0038649214340150603,-0.000903615937628632,0.0020666992245034987,-0.00015649262944341774,-0.006057566572979287,-0.002888509782034806,0.0004526916786051552,-0.013793171058648414,0.008789852078483974,-0.006421092666080758,0.005551985110617845,-0.002117819742901765,0.007048908031626592,0.014716031256154815,-0.0061441383069161335,0.004834238560866805,-0.003058685202742685,-0.0016945765907976523,0.012555786747459441,-0.0023515790287719257,0.0008550052595957715,0.003966083656276745,-0.011690439724699117,0.005283202848829955,-0.01845233944301231
0.506998,0.0013177832964048615,-0.002879635260377767,-0.007886956321497307,-8.696836839332722e-05,-0.0014930850185117482,0.006940044726200469,0.005785830763007936,0.009953989350903034,0.006890925846600225,0.001383974688098309,0.0008178051599898761,-0.005617832283562617,-0.0030788246607301104,-0.009946999655621477,0.0020709193425127097,-0.003686582609234114,0.005808252967069557,0.00793512414035338,0.003736312699314137,-0.004123359410193962,0.0018558309121416133,0.0010776087768547007,-0.005504293389747004,-0.003924215479866237,-0.002673696612322916,-0.014227500447162842,0.0058539225556566155,-0.009101778565219492,0.00491772277903258,-0.004905127069966124,0.003730122280659181,0.02054183398762131,-0.0027941214564719537,0.008188188785682641,-0.006281240542382692,-0.012060266967029974,0.01160182133853773,0.006314021533885419,0.004399008775430649,0.009292650168417245,-0.009873286676123865,0.002086863748383486,-0.07365767399466887
0.507998,0.0013754178187582752,-0.0030994676452709715,-0.007862737472489634,0.00011271096231392517,-0.0013431229688835784,0.006973099231971971,0.005877969102727249,0.008739956188432804,0.007013733884949283,0.0011717698837220832,0.0010562543813481542,-0.004645976539916936,-0.00390757774022077,-0.010629959486279058,0.0017499022005559935,-0.001771192113297977,0.006262571573429517,0.011354145328309667,0.002870613320377717,-0.003190369951607425,0.0015013857972703208,0.00093219911140167,-0.01012147467331392,-0.004755987840864134,-0.004789265534536518,-0.01560533430240686,0.008196257634403042,-0.0033643620740729154,0.0022470800417593003,-0.003210288732477528,0.004250860031490892,0.020987931820246993,0.002224763322198811,0.008196004104473839,-0.008748453568358551,-0.0063661380133602724,0.013876739803966158,0.0011540301042763594,0.006385339962340197,0.0006372473749734029,-0.012110557110204099,0.00568603587374005,-0.08280417361122475
0.508998,0.0013222207152171672,-0.003129194477759625,-0.007537301143961193,0.0003225525185358088,-0.00145124631921645,0.006945777400543991,0.006068233487522078,0.007882818081093517,0.006866899748844437,0.0006598911832668491,0.001568799425358429,-0.005037397991324457,-0.00329666534680476,-0.009212747168573105,0.002017218078701592,-0.0011641564185849594,0.005850045329046973,0.01202338392767465,0.0002801042589451614,-0.00084673218703748,0.004342155005347016,2.9957662589213295e-05,-0.009721773265146677,-0.0071125289837565215,-0.00303144278834632,-0.01646491375436466,0.011656644702537418,-0.004341313347090936,0.001075292806986173,-0.0042400798470593895,0.0052373730188690045,0.020221261390485294,0.0018851021263063868,0.009306069812546537,-0.0013767084742968485,-0.009602294319044765,0.024421676169042235,0.0025977884724281528,0.011638999515511379,0.0025685545836496883,-0.017046799285299216,0.0017116260613489116,0.022749428887420944
0.509998,0.0012718190047930527,-0.0031855591932714836,-0.007722006973117755,0.00011135643248410766,-0.001809619758058582,0.006893501965793888,0.006341372599197982,0.008280791691708136,0.006941233712672375,0.0004835635849716267,0.000876324442823821,-0.005594449033670229,-0.0023631923555284726,-0.00943059955483638,0.002329849104444907,-0.0018676810592126497,0.005617599571116877,0.01198576490311725,0.0022483030648134264,0.0013080237398875537,0.004420290431756588,0.0012138074973014395,-0.006462857841529407,-0.0052617171222828964,-0.0013322833675050347,-0.012693867274599306,0.009275950378629329,-0.006249756316180205,0.0009158910660420862,-0.003980646368707598,0.004900245879208787,0.01794984438734615,-0.002603226597898562,0.00783367854636594,0.0002641387214468595,-0.012815501738445602,0.021149719330690805,0.001266560973992815,0.008263759180964085,0.00349951802013478,-0.023421941048011815,-3.723252643666282e-05,0.03346278575873266
