TopK,Fold,Accuracy,BalancedAccuracy,F1Macro
10,1,0.18181818181818182,0.1,0.06233766233766234
10,2,0.23809523809523808,0.11515151515151514,0.0707070707070707
20,1,0.13636363636363635,0.05454545454545454,0.022727272727272728
20,2,0.2857142857142857,0.13333333333333333,0.08831168831168831
30,1,0.18181818181818182,0.07727272727272727,0.046176046176046176
30,2,0.3333333333333333,0.1515151515151515,0.09523809523809522
50,1,0.22727272727272727,0.12272727272727274,0.0962219598583235
50,2,0.3333333333333333,0.1515151515151515,0.09523809523809522
