Experiment,AccuracyMean,AccuracyStd,BalancedAccuracyMean,BalancedAccuracyStd,F1MacroMean,F1MacroStd
L1,0.2564935064935065,0.041324422277135876,0.10606060606060605,0.021427478217774163,0.058391608391608396,0.033130177859789285
L2,0.23376623376623376,0.07346563960379714,0.09696969696969697,0.03428396514843865,0.05545454545454545,0.037283812098927054
Raw,0.20995670995670995,0.03979388811872344,0.08181818181818182,0.0128564869306645,0.03202797202797203,0.004153634239137763
