Model,TopK,AccuracyMean,AccuracyStd,BalancedAccuracyMean,BalancedAccuracyStd,F1MacroMean,F1MacroStd
RandomForest,10,0.1396103896103896,0.004591602475237323,0.07272727272727272,0.012856486930664506,0.06147186147186147,0.0012244273267299562
RandomForest,20,0.06818181818181818,0.09642365197998375,0.031818181818181815,0.044997704257325744,0.02846648301193756,0.04025768634854541
RandomForest,30,0.045454545454545456,0.0642824346533225,0.05454545454545454,0.077138921583987,0.030991735537190087,0.04382893271817444
RandomForest,50,0.045454545454545456,0.0642824346533225,0.020454545454545454,0.028927095593995127,0.021464646464646464,0.030355594141846735
XGBoost,10,0.23268398268398266,0.007652670792062209,0.15606060606060607,0.03642671297021608,0.14444444444444446,0.06713943174902574
XGBoost,20,0.18506493506493504,0.05969083217808517,0.10227272727272727,0.06749655638598862,0.08207070707070707,0.07321055057739508
XGBoost,30,0.2305194805194805,0.12397326683140769,0.12272727272727273,0.09642365197998376,0.10110771581359818,0.09761206673828046
XGBoost,50,0.20995670995670995,0.03979388811872344,0.10606060606060606,0.03428396514843867,0.08065268065268064,0.01736175158158112
