number,name,class,known_artificial_color,distance_to_real,distance_to_color,distance_margin,cosine_to_real,cosine_to_color,cosine_margin,color_evidence_score,color_evidence_rank,evidence_status
5,Quinoline yellow,pure_artificial_color,True,93.0942845023895,50.17475482180853,42.91952968058097,-0.24504323411477394,0.5476389764769083,0.7926822105916822,0.9376129375692718,1,moderate_evidence
7,Erythrosin,pure_artificial_color,True,88.66389522936046,49.60512437658483,39.05877085277563,-0.12935735834021844,0.5674454391793835,0.696802797519602,0.8505681559024145,2,moderate_evidence
3,Amuranth,pure_artificial_color,True,89.19233900776756,53.23651448602163,35.955824521745924,-0.14285980184872646,0.4373048858995467,0.5801646877482731,0.76279432806375,3,moderate_evidence
9,Tartarazin,pure_artificial_color,True,89.45085031974533,54.74279145053293,34.7080588692124,-0.14949433704675683,0.3806266767310068,0.5301210137777637,0.7260847458682176,4,moderate_evidence
18,650,unknown_adulterated_saffron,False,82.75234719119845,51.28278266493442,31.46956452626403,0.016221289401888148,0.5084642706039015,0.4922429812020134,0.6722208160006912,5,moderate_evidence
6,Ponceau 4R (96),pure_artificial_color,True,88.34883695498888,55.96227869355845,32.38655826143043,-0.1213453778604633,0.3335814542688412,0.4549268321293045,0.6658486202165048,6,moderate_evidence
8,Orange GG,pure_artificial_color,True,83.10395648110355,52.01877112409428,31.085185357009273,0.007843357798301151,0.48197020473067875,0.4741268469323776,0.6596969916782127,7,moderate_evidence
1,sunset yellow(127),pure_artificial_color,True,85.91536399837781,54.75644375209457,31.158920246283245,-0.060422671088373035,0.3801057367233298,0.4405284078117028,0.645412166860633,8,moderate_evidence
4,Azorubin,pure_artificial_color,True,82.45459934755817,53.54957272088627,28.905026626671905,0.023288066881529505,0.4256552980867289,0.4023672312051994,0.602613550641677,9,moderate_evidence
12,saffron + Quinoline yellow,saffron_plus_artificial_color,True,70.29240401890924,57.389182334907986,12.903221684001252,0.29017613622344685,0.2772186591836722,-0.012957477039774623,0.233765725507866,10,ambiguous
2,orange 2,pure_artificial_color,True,71.21080210467656,60.860641572818054,10.350160531858506,0.2715062471768214,0.1341701532076368,-0.1373360939691846,0.14875880325432897,11,ambiguous
19,651,unknown_adulterated_saffron,False,67.23013511025835,59.20663427165275,8.023500838605592,0.35067701660492046,0.20337441383582916,-0.1473026027690913,0.11782372786770512,12,ambiguous
20,saffron + Quinoline yellow 10 %,saffron_plus_artificial_color,True,64.6746673450636,57.59423217851792,7.080435166545676,0.39910267142649264,0.26900256522649196,-0.13010010620000068,0.11484616496344902,13,ambiguous
10,saffron + sunset yellow(127),saffron_plus_artificial_color,True,63.16618321883172,60.446306584013904,2.7198766348178154,0.4268074627298679,0.15168506843032536,-0.27512239429954255,0.0,14,ambiguous
11,saffron + orange GG,saffron_plus_artificial_color,True,52.03414702081903,62.52670367501307,-10.49255665419404,0.6110427521840525,0.06253395005793431,-0.5485088021261182,-0.2732507605941987,15,ambiguous
16,saffron + orange 2,saffron_plus_artificial_color,True,52.03414702081903,62.52670367501307,-10.49255665419404,0.6110427521840525,0.06253395005793431,-0.5485088021261182,-0.2732507605941987,16,ambiguous
13,saffron + orange 2,saffron_plus_artificial_color,True,52.23712833567193,64.0224594084532,-11.785331072781268,0.6080021105765957,-0.003427577878464719,-0.6114296884550604,-0.31626817003202035,17,ambiguous
14,saffron + Ponceau 4R (96),saffron_plus_artificial_color,True,44.41645003413752,67.92856381316487,-23.512113779027352,0.7165963645992078,-0.18303627522235574,-0.8996326398215636,-0.5792994183845019,18,moderate_real_saffron_similarity
15,saffron + Erythrosin,saffron_plus_artificial_color,True,27.769637531560708,66.50734875478612,-38.73771122322542,0.8892314560118049,-0.1164559590039466,-1.0056874150157515,-0.8001176381149437,19,moderate_real_saffron_similarity
26,648,small_amount_artificial_color,True,17.723947588877895,66.73267541836962,-49.00872782949173,0.9548874558721849,-0.12691803914540015,-1.081805495017585,-0.9511382562546508,20,moderate_real_saffron_similarity
22,445,artificial_color_adulterated_saffron,True,17.565037035268396,67.33476395455602,-49.76972691928763,0.9556930872823317,-0.15504704778504383,-1.1107401350673756,-0.9728129557994631,21,moderate_real_saffron_similarity
27,646,small_amount_artificial_color,True,14.327603490789683,67.24695678302473,-52.919353292235044,0.9705263205744455,-0.1509290432732517,-1.1214553638476972,-1.0134403721750729,22,moderate_real_saffron_similarity
25,647,small_amount_artificial_color,True,12.111070736869587,66.81526146435593,-54.70419072748634,0.9789452780127957,-0.1307614305133756,-1.1097067085261714,-1.028441875979475,23,moderate_real_saffron_similarity
24,544,artificial_saffron,True,12.449784050350404,67.58652498851345,-55.136740938163044,0.9777501340228211,-0.16688399602412338,-1.1446341300469445,-1.0490802463792366,24,moderate_real_saffron_similarity
23,372,artificial_color_adulterated_saffron,True,11.551183509724373,67.38982154595409,-55.83863803622972,0.9808485513493083,-0.15763189464356428,-1.1384804459928726,-1.0542894421496276,25,moderate_real_saffron_similarity
21,saffron 2,real_saffron,False,6.413799978099326,67.06849753099047,-60.65469755289114,0.994107628531213,-0.14257617163778272,-1.1366838001689958,-1.1082288306730645,26,moderate_real_saffron_similarity
17,saffron,real_saffron,False,6.413799978099326,67.26282486687411,-60.849024888774785,0.994107628531213,-0.1516728311714842,-1.1457804597026973,-1.1145324152634215,27,moderate_real_saffron_similarity
