model,accuracy,balanced_accuracy,roc_auc
logistic_regression,0.5925925925925926,0.45108695652173914,0.44565217391304346
rbf_svm,0.4074074074074074,0.44565217391304346,0.45652173913043476
linear_svm,0.5555555555555556,0.42934782608695654,0.06521739130434782
