ppm,global_mean,global_std
5.49996,5.7876521481481475,6.993401955151884
5.50096,5.914815740740742,7.131266645409675
5.50196,6.007768518518519,7.120516228321638
5.50296,6.1418016296296285,7.179868895536769
5.50396,6.299195074074072,7.299966629789917
5.50496,6.339531444444443,7.392762588379095
5.50596,6.437328037037037,7.459031781307662
5.50696,6.63185462962963,7.5663583917270865
5.50796,6.794481,7.747431858174547
5.50896,6.929797666666666,7.845396693088241
5.50996,7.040822407407409,7.90688949240864
5.51096,7.124160407407407,8.018462594850325
5.51196,7.259847822222223,8.178994019710922
5.51296,7.404171222222222,8.247894876046114
5.51396,7.512473925925927,8.393948602636204
5.51496,7.590698851851852,8.488354297693709
5.51596,7.6401052,8.583005993925662
5.51696,7.724516222222222,8.65757582322141
5.51796,7.8071194740740735,8.679535013743063
5.51896,7.903260518518518,8.787574790387767
5.51996,8.019328777777778,8.82624728241145
5.52096,8.128294629629629,9.042229836089703
5.52196,8.200200888888888,9.030759005472236
5.52296,8.147560777777777,8.999900574120257
5.52396,8.14509812222222,9.054697854817265
5.52496,8.27542174074074,9.193828450125796
5.52596,8.36612814814815,9.22257632855853
5.52696,8.35116762962963,9.182716217698843
5.52796,8.506071185185185,9.207096081605952
5.52896,8.542280740740742,9.217846361206362
5.52996,8.527866407407407,9.192820612069058
5.53096,8.619753185185184,9.270827929787748
5.53196,8.718095148148148,9.367043261669922
5.53296,8.735948851851852,9.302384970774954
5.53396,8.725486555555555,9.327185471827695
5.53496,8.787372988888889,9.369646529341189
5.53596,8.806016762962962,9.440063962590571
5.53696,8.865873296296298,9.506200213903
5.53796,8.931252592592593,9.524978381948253
5.53896,8.947034888888888,9.47348622705193
5.53996,8.953488444444444,9.457647258992989
5.54096,8.998087777777778,9.332650331582034
5.54196,8.966252962962963,9.296224466061163
5.54296,8.953352148148149,9.171290719095495
5.54396,8.96086428148148,9.14749735798841
5.54496,8.961172555555557,9.154693905046786
5.54596,9.013740925925926,9.177795262623262
5.54696,8.972712666666668,9.234969451576541
5.54796,8.88958831111111,9.145841470097228
5.54896,8.850143000000001,9.05956734638382
5.54996,8.785425481481482,8.968528490328346
5.55096,8.757963074074073,8.896799248318407
5.55196,8.678723245555558,8.83742299425781
5.55296,8.57667237037037,8.70632140640149
5.55396,8.462766981481481,8.659299608218193
5.55496,8.449555188888889,8.58736509794621
5.55596,8.410409185185184,8.474188638388924
5.55696,8.339279348148148,8.418248790978556
5.55796,8.249011455555555,8.313246505499581
5.55896,8.185789725925927,8.299306275648915
